PROLIFIC_PID,game,story,F,O,J,dominant,note
559c3ae1fdf99b32b55f2d33,tg,aid,55,45,30,F,deciding whether to share aid with a rejected neighbor
559e664dfdf99b4f28173b05,dglt,bonus,62,30,45,F,deciding whether to share bonus given Max's contribution
55a2860ffdf99b602e6b05d6,dglt,aid,55,45,20,balanced,contrast between who got help and who didn't
55a8dc81fdf99b51ef3ab182,dglt,aid,45,55,30,O,James's own financial hardship versus guilt over sharing aid with neighbor
55a9561afdf99b7cc59eac7b,tg,bonus,45,30,55,J,joint effort followed by leader's discretion over sharing bonus
55aa9c8dfdf99b634b427b9a,dgkw,bonus,70,30,40,F,deciding whether to share bonus given teammate's contribution
55b00063fdf99b5c0061941f,dgkw,bonus,70,45,40,F,deciding whether to share bonus given Max's contribution
55c0ca6cfdf99b2e8efc9f4b,ug,bonus,55,45,40,balanced,deciding whether to share bonus with teammate
55c237eefdf99b41c2f6481b,dgkw,aid,45,55,30,O,James's broke state and the sharing dilemma
55cdc77f34e90600128d237f,dglt,aid,45,55,30,balanced,deciding whether to share needed aid with an unsuccessful neighbour
55f6be3a32af74000b17021c,ug,aid,40,45,30,balanced,deciding whether to share received money with an unsuccessful acquaintance
55f6be3a32af74000b17021c,dgkw,aid,55,45,30,F,deliberating whether to share aid with unsuccessful neighbour
55fa90794f51400006296b94,ug,aid,55,45,20,balanced,dilemma over keeping aid vs unsuccessful neighbor amid own hardship
5601ab2ea66d100012d5c38a,dgkw,aid,45,55,30,O,James's need weighed against whether to share with unsuccessful neighbor
560379c9e372c00011bd4a90,tg,aid,45,70,15,O,James's right to keep his own money for himself/family
560aef7d01c38a00127693d3,dglt,aid,34,45,42,balanced,torn between own hardship and helping struggling friend
561487ad7ffc8a0012812266,dglt,bonus,55,45,60,J,team success and whether to share bonus with partner who helped
561487ad7ffc8a0012812266,tg,aid,25,60,35,O,James's financial struggle and approval versus neighbor's non-approval
56169e435c62cf000f822c76,dgkw,aid,55,20,40,F,considering sharing aid with the one who received none
561b6038811d220005f31397,ug,aid,55,55,30,balanced,keep-needed-funds versus share-with-neighbour dilemma
562a00dac8ffc20012513fbe,dgkw,aid,45,55,30,O,James's financial hardship vs. dilemma over acquaintance who didn't get grant
562ac2d39e2b900010006c38,dgkw,bonus,85,5,55,F,fairness of acknowledging Max's contribution and sharing bonus
5638d3a544e8c8000ee869a2,dglt,bonus,70,40,35,F,whether Steve should share bonus given Max's contribution
563fbaae074be600115e9681,ug,aid,62,30,40,F,dilemma over whether to share allocated welfare payment
564d1b57b48dec0005b518f0,tg,aid,70,30,15,F,moral question of equal desert given random luck
564d2bf7b48dec0005b51977,dgkw,aid,55,45,30,balanced,guilt over whether to share windfall with struggling neighbor
5654a29404212700104a1d0e,dgkw,bonus,55,25,40,F,dividing bonus in recognition of Max's hard work
565bbc1ec121fe0012fc3782,dglt,aid,45,55,30,O,own hardship weighed against sharing with an acquaintance
5664823551fac700118f9968,dglt,aid,55,40,30,F,whether to share unexpected aid with an equally needy acquaintance
566a17d07da0350012b3e876,dglt,bonus,62,30,40,F,whether to share bonus with a helping coworker
56780a5a89319e0011644cb4,dglt,aid,38,45,30,O,one person's hardship and aid amid a choice to help another struggler
567adef5b7d79a0012b26b95,ug,aid,55,45,40,balanced,whether to share received aid with an equally struggling neighbor
567b073bb7d79a0005b270bd,dglt,aid,55,30,35,F,one neighbor's choice to share aid with the other
5680383ac5767f000d1c7e77,dglt,aid,45,55,20,O,his own money struggle versus sharing grant with rejected neighbour
56849d528f456f000c45e1dd,ug,bonus,55,45,40,F,deciding whether to share bonus with contributing teammate
5685850c333cbd000d4e042f,dglt,aid,40,55,30,O,dilemma of keeping money vs. helping neighbor
568899d9d7848e0005399c6b,tg,aid,55,45,30,F,deciding whether to share funds with unselected neighbor
56942483e0c800000c5969d0,dgkw,aid,55,20,10,F,"one selected for assistance, the other not"
569a54a5217ca2000cc93db0,ug,bonus,75,45,40,F,deciding whether to share bonus given colleague's contribution
569c0c9a9e836300052ffa4a,tg,bonus,70,30,55,F,deciding whether to share a deserved bonus with a helpful teammate
56a7da16c89737000b22953c,dglt,aid,45,40,30,balanced,whether to share a welfare payment between struggling neighbours
56ad40ce5ea7aa000cbe1947,tg,aid,62,30,45,F,sense of obligation to share aid with someone denied assistance
56b12c0e9f1826000cbcc76c,dgkw,bonus,55,40,45,F,deciding whether to share deserved bonus with equally hardworking teammate
56b4b565b2de2a000d3316ba,dgkw,bonus,30,40,45,balanced,team success and the choice to keep or share a bonus
56b61b915cd743000e6e01c5,dglt,aid,55,45,30,balanced,deciding whether to share received assistance with a needy neighbor
56bfcce79f7a1e0005fdca9e,dgkw,bonus,68,25,55,F,whether to split bonus with a contributor
56c63573305eaa000bf21126,ug,bonus,70,35,40,F,whether to share bonus given Max's important contribution
56c984eb10a82f0006ffd111,dglt,bonus,45,40,35,balanced,choice between sharing bonus with team or keeping it
56cf6e8d31a5bc0006e1cdf5,tg,bonus,30,35,25,balanced,Steve deliberating how to split a bonus with teammate
56d1f7f67bbc32000589a588,dgkw,aid,45,55,30,O,dilemma between keeping needed money and sharing with unselected neighbour
56d1f7f67bbc32000589a588,ug,aid,55,45,30,F,dilemma over whether to share windfall with unselected neighbour
56d33245321cae000b68d9e4,dgkw,aid,55,30,20,F,contrast between one neighbor accepted and the other rejected
56d39b96da2aaa000dab6178,dglt,bonus,45,40,55,J,team effort and how to split a shared bonus
56d7c21f03a4c2000c877477,dgkw,bonus,45,30,55,J,team leader's bonus and choice to share with teammate
56e6a66af6ed900006a5867c,dgkw,aid,45,55,30,balanced,dilemma of sharing welfare money with neighbor vs keeping it
56e84b42b8d14c000c3d348d,tg,aid,35,55,30,O,his own desperate need weighed against sharing with a neighbor
56eb00e515ef53000b46726c,tg,bonus,30,45,25,O,deciding whether to keep or share a bonus
56f2b78bed0cf6000c915e73,dgkw,aid,45,20,15,F,contrast between one approval and neighbour's rejection
56ffd10b18705800099d0416,ug,aid,62,40,45,F,whether to share assistance with an equally needy peer
5702fde2d4cf7f00089471f3,dglt,bonus,30,25,55,J,team bonus and choice to share with teammate
570570eb61ab6a0010d484d0,tg,bonus,45,40,55,J,team-based bonus and choice to split with colleague
570d22b35e5156000efd8bd5,dgkw,bonus,55,40,30,F,deciding whether to share a bonus with Max
570d22b35e5156000efd8bd5,tg,aid,45,40,30,balanced,deciding whether to share aid with a struggling acquaintance
571073cced0d66001290077d,ug,aid,40,45,20,balanced,receiving money and deciding whether to share it
5712a503ba4da20011c0132f,dgkw,bonus,55,40,30,F,deciding whether to share bonus with Max
5716a297c5aca200128d2c52,tg,bonus,62,40,45,F,bonus recognition and Max's contribution deserving a share
571a1295c97ad400123ab3bd,tg,bonus,82,25,40,F,Max deserves a share for his contribution
571a428ec97ad400123ad82d,ug,bonus,45,40,55,J,team success and choice to share bonus with a colleague
571ca064e1d2ec0009a687eb,ug,bonus,55,30,40,F,deciding whether to share bonus with teammate
571ca064e1d2ec0009a687eb,dglt,aid,55,30,45,F,deciding whether to share funds with unsuccessful neighbour
5720b0c5fd3a5200133c8909,ug,bonus,55,40,30,F,deciding whether to share a bonus
5723d6abccc7cc00086bb0d2,dglt,aid,45,40,20,balanced,dilemma over keeping vs. sharing aid with a needier neighbor
572685c4f2a83f000d6aecee,dgkw,aid,45,55,25,O,James's hardship weighed against sharing with rejected neighbour
572a31e8d7299f000f7b594a,dgkw,aid,55,40,30,F,considering sharing approved funds with an unapproved peer
572d55e1109ab600105176ba,dgkw,bonus,55,30,60,J,team's joint achievement and how to share the bonus
572e0682bb6cca000e53dfa2,ug,bonus,55,40,45,balanced,deciding whether to keep bonus or share with hardworking teammate
572f8258ad13160010008a61,ug,bonus,45,40,40,balanced,bonus allocation choice between keeping all or sharing with teammate
573d5914f3580b000ece4529,dgkw,bonus,30,55,25,O,"Steve keeps full bonus, optional sharing with Max"
574027971407a30010773dd7,dglt,aid,45,55,35,O,James's financial struggle and dilemma over whether to share aid with neighbor
5744045f2171b9000e3c0933,tg,bonus,45,40,35,balanced,deciding whether to keep or share a bonus
574450f63fdc69000e09555d,dgkw,aid,30,45,55,J,"two struggling neighbors, one approved and one not"
574dc90512d86b000f833ab0,dgkw,bonus,55,40,45,F,option to share bonus with a teammate
5750d1dea9de4b0006e556da,dglt,bonus,80,25,40,F,equal split as the right thing given equal contribution
57529fbc947a3d0007b53d1d,tg,bonus,55,40,45,F,deciding whether to share a bonus with a teammate
57541379f5000a0006b06ab4,tg,aid,55,60,35,O,James's hardship and whether to share windfall with struggling friend
5754420617f79f0007fbcd4a,tg,aid,30,55,25,O,James's scarcity and his choice to help neighbour
5754420617f79f0007fbcd4a,dgkw,aid,55,55,20,balanced,dilemma between keeping the grant and sharing with a rejected acquaintance
575aee8152c3fe00091a6252,dglt,bonus,62,40,30,F,choice to keep bonus or share portion with teammate
575eab31862b0f0006cd7dec,dgkw,aid,55,50,20,balanced,dilemma between keeping needed aid and sharing it
5772fa6dca706f000190e51f,tg,aid,45,55,20,O,balancing own need against giving Mark a small share
5773f75c92c50c0001c93da5,ug,bonus,45,45,20,balanced,dilemma of sharing a bonus vs keeping it
577952778b3e2300016d6acf,dgkw,bonus,85,5,40,F,fairness of sharing bonus given Max's contribution
577d7ad24a150b000165c541,dglt,aid,45,40,25,balanced,internal conflict over whether to share his aid with someone in need
577e1f75160201000103d95a,dglt,bonus,25,55,30,O,Steve's earned reward and his discretion over it
577f70d1454e5400015f1845,dgkw,aid,55,40,45,balanced,deciding whether to share aid with an unsupported neighbor
5780d9a1900cc80001d2d1c2,tg,aid,55,30,40,F,considering sharing aid with a neighbor who received none
5786a6cc07724c000114b618,ug,bonus,45,30,40,balanced,"bonus from joint success, and whether to split it"
57886b106cc44500010441f5,dgkw,aid,55,45,20,balanced,whether to keep the money or share with the other applicant
578901354a84da00014c41cf,tg,aid,30,55,45,O,keeping earned money while offering help to the other
57892012454e5400015f35c4,ug,aid,45,30,30,F,whether to share the grant with the unsuccessful applicant
57962a6e2fc0d400012c808e,tg,bonus,55,40,45,F,how to split a jointly earned bonus
5797564b70c76a0001245734,ug,aid,55,30,40,F,deciding whether to share aid with an unselected neighbour
579983292fc0d400012c8937,tg,bonus,78,30,45,F,whether Max deserves a share for his contribution
579f55486475d400015ab683,dglt,aid,55,30,40,F,whether to share aid with declined neighbour
57a7326516a091000112edb2,dgkw,bonus,55,40,60,J,team's joint effort and how to share the bonus
57a7337e913c710001977341,ug,aid,55,45,30,F,deliberating whether to share unexpected funds with neighbour who missed out
57a761c22fc0d400012c9656,tg,aid,55,40,20,F,deciding whether to share aid with a neighbor who got none
57acc170c6bab4000172a42e,dgkw,aid,45,60,15,O,"keeping money amid financial struggle, with some fairness consideration"
57b889c1e163b10001abf340,ug,bonus,55,45,50,balanced,team bonus split decision weighing teammate's contribution against keeping it
57b9b4304b33280001acf11e,dglt,aid,45,55,25,balanced,James's own shortage versus acquaintance's competing need and sharing decision
57bd287fe028bc00010488ab,tg,aid,45,55,30,O,James's financial hardship versus dilemma of sharing with rejected neighbor
57bdd76370808a00012d9829,dgkw,bonus,78,15,55,F,sharing with Max because he contributed
57c426fa9fe51d00012391f1,dgkw,bonus,60,30,45,F,whether to share bonus given Max's contribution
57c57ea095a3ea00016e5a14,tg,aid,55,45,30,F,whether James should share aid with equally struggling neighbor
57d42e23f7b8540001e77bfc,dglt,aid,55,45,30,F,dilemma over sharing an unexpected award with an unhelped neighbour
57d49e756c447e00011690d0,ug,bonus,78,5,55,F,sharing bonus to reward Max's contribution
57d49e756c447e00011690d0,dglt,bonus,72,35,45,F,whether to share bonus with a contributing teammate
57d8de67011c350001353afe,dgkw,bonus,55,35,30,F,deciding whether to share bonus with co-worker who also worked hard
57dd4c6f73e67300012b7ed6,dgkw,bonus,55,30,60,J,teammates' joint bonus and how it might be shared
57e131b80cb6700001dd7e5c,tg,aid,55,40,45,F,dilemma over whether to share received aid with struggling neighbour
57e7e2cb91b7fc00014953a0,dgkw,aid,20,65,15,O,James's financial relief during hardship
57f2da5c6c19420001438d19,dgkw,bonus,45,40,40,balanced,framing a keep-or-share choice over a team bonus
57f9238bc786ac00011ebc72,dglt,aid,45,35,40,balanced,whether to share the assistance with the neighbour
57fa59ee279ffd000124c9ca,tg,aid,45,55,30,O,James's cash hardship weighed against sharing with rejected acquaintance
5800eb53beccf8000100cb06,ug,aid,55,30,25,F,whether to share aid with equally-needy acquaintance
58064eb95dbea00001d72d74,tg,bonus,78,10,40,F,moral dilemma over sharing bonus with Max
580cab86b869700001d71628,dglt,aid,45,55,25,O,whether to keep aid or share with an acquaintance
58189c1f883c8800010ee630,tg,aid,68,30,45,F,sharing aid with a rejected neighbor out of felt obligation
581b738a930a280001062c6a,ug,bonus,40,45,35,balanced,choice between keeping bonus or sharing with teammate
581bd344930a280001062c90,dgkw,aid,30,55,15,O,"James's financial hardship and receiving assistance, with neighbor left out"
581d38509b5b8800014d507e,tg,bonus,30,15,40,J,team-earned bonus placed under one person's control
581f6c63930a280001062e8c,tg,aid,45,55,30,O,James's hardship and dilemma over keeping vs sharing aid
5823c1b185e40e00012f2e68,tg,aid,55,60,10,balanced,James earned the money so owes Mark nothing
582468295f4d1c0001c7c467,ug,bonus,62,40,35,F,deciding whether Max's contribution deserves a share
5829a87a4a1c00000190f2a3,ug,aid,62,40,45,F,moral dilemma over whether to share money with neighbour
5829f8eed7e5ff0001ff7d8d,dgkw,aid,55,30,45,F,contrast in aid received and whether to share with neighbor
582bee72b1afc30001af4eb4,tg,aid,30,55,20,O,James's financial struggle and his decision whether to share
583fe092d639d0000142fb2e,dgkw,bonus,65,10,55,F,"Max deserves a share, with an eye to future relationship"
5841a2d39d65770001cebfa1,tg,aid,55,35,30,F,deliberating whether to share windfall with a similarly-situated neighbour
5848ad3bdb871400012da095,tg,aid,55,45,20,balanced,conflict over receiving aid while neighbor was denied
5849916abb147f0001786ac5,dglt,bonus,30,35,40,balanced,bonus decision to keep or share with teammate Max
58578946c41fd90001434680,tg,bonus,72,20,68,F,how to fairly share bonus with a joint contributor
5858c6178604ae000165e66a,tg,aid,62,30,40,F,deciding whether to share aid with excluded neighbor
586429c0460cb5000183f8e3,dgkw,bonus,78,20,45,F,team deserving of bonus based on collective effort
586d6b28de1cea0001f7a125,ug,bonus,45,35,40,balanced,bonus for hard work with option to share with teammate
586d9260d6df700001874515,tg,aid,55,60,15,balanced,James's scarcity versus whether to share aid with excluded neighbor Mark
58713c5e58ca4c00018ce3ea,dgkw,bonus,40,45,50,balanced,team bonus and choice to keep or share with teammate
5875778b5c17910001ea4f35,dgkw,bonus,30,45,20,O,"bonus earned, choice to share or keep"
5880b43eab00f600019233fc,dglt,aid,55,45,30,F,moral dilemma over sharing welfare money with unsuccessful neighbour
588ab33542c8e900019d02ae,tg,bonus,30,35,40,balanced,discretionary allocation of shared-effort bonus to teammate
588e02b13326830001bc29cd,dglt,bonus,72,30,40,F,whether to share bonus given Max's significant contribution
58a714ba27c3bb00014e780c,ug,aid,45,60,30,O,James weighing his own need against sharing with a barely-known neighbour
58a89e40e6afe00001d36058,dgkw,bonus,85,20,45,F,whether Max deserves a share for his help
58aacb1476c5b70001662661,dglt,bonus,30,55,25,O,deciding whether to keep or share a personal bonus
58ac890076c5b70001662993,dglt,bonus,75,40,20,F,contrasting selfishness with ethical fair sharing
58b2338a898c2e0001a5ca56,dgkw,aid,55,20,15,F,questioning whether James should share aid with Mark
58b3202a823a3b0001d7d3ef,tg,aid,30,55,20,O,struggling recipient deciding whether to share with a mere acquaintance
58c4ff360f0c150001ed45a4,dgkw,aid,55,45,30,F,deciding whether to share funding with a needier neighbour
58c4ff360f0c150001ed45a4,ug,aid,45,55,30,O,James's scarcity and dilemma over sharing aid with a friend
58d215787c08be0001c24263,dglt,aid,55,45,35,F,deciding whether to share windfall with unselected neighbor
58e4193733ae3700012735e5,ug,bonus,78,20,45,F,Max's contribution as basis for sharing the bonus
58ee2f5ec31d4d00015aa0eb,ug,aid,55,30,40,F,deciding whether to share aid with an unaided neighbor
58f3760092ac81000154f8af,dglt,bonus,55,40,45,balanced,team bonus allocation decision entrusted to Steve
58f501db575c01000180b65e,tg,bonus,55,30,45,F,whether to share bonus with co-worker who also worked hard
58fbbf0efbafc1000146e2c4,ug,aid,62,30,25,F,whether James should share his award with unselected neighbour
58fbbf0efbafc1000146e2c4,dgkw,aid,45,55,25,O,James's own hardship and whether to share with a barely-known neighbor
59014a56baa70f0001ea4c3b,dgkw,aid,55,62,30,O,deciding whether to keep or share unexpected assistance funds
59014a56baa70f0001ea4c3b,ug,bonus,55,45,40,balanced,deciding whether to keep or share bonus given Max's contribution
590bbbf851c5d10001f156aa,ug,bonus,80,30,45,F,argues Steve should share bonus because it was a team effort
590dd1c5584166000110eb16,ug,bonus,62,20,55,F,whether to share bonus with a contributing teammate
59142b45ef024b0001c54c33,dgkw,aid,45,40,30,balanced,James weighing sharing his welfare with needy Mark
591b3e133d3e900001045a7b,dglt,bonus,55,35,45,F,discretionary allocation of bonus to team as he feels right
591c5b73c3d4f6000105719b,dglt,bonus,85,10,30,F,Max deserves a share for his effort
591ddde14f577a0001755f5a,dglt,bonus,70,55,40,F,dilemma over sharing bonus given both contributions
59296fb2e8a7ff000163f033,dglt,aid,55,40,35,F,dilemma over sharing aid with a needy but unselected neighbor
592adb3ba0c89900019f215e,ug,aid,30,55,25,O,James's own hardship and whether to share his aid
5938102fcd539c000157c468,dgkw,bonus,40,45,35,balanced,framing a keep-vs-share decision over a bonus
594016e06ee2c800016c09d1,tg,aid,55,60,20,balanced,own hardship alongside conflicted feelings about neighbour missing out
594016e06ee2c800016c09d1,dglt,bonus,30,55,35,O,bonus as recognition of his own work versus sharing with team
594533fd2a05040001c91593,ug,bonus,78,40,55,F,sharing bonus fairly with contributing team member
594c02b62894240001dc27b9,dgkw,aid,55,45,30,F,moral tension over whether to share award with declined applicant
594c02b62894240001dc27b9,ug,bonus,60,45,40,F,weighing sharing bonus with teammate who contributed
595572800f4082000101fc2c,dglt,aid,55,55,20,balanced,dilemma between keeping the grant and sharing with a needier neighbour
595a962284f571000111c041,dgkw,aid,38,45,30,O,James's own financial struggle and whether to share aid news with a denied neighbour
59637ac5d6b02c0001439808,tg,bonus,90,25,20,F,Max's contribution deserves equal reward to Steve's
5964e073241f8d0001065056,dgkw,bonus,45,30,55,J,"joint effort on pitch, then bonus-sharing decision"
5964e073241f8d0001065056,ug,aid,62,40,30,F,dilemma over sharing windfall with equally-needy neighbor
5966886dee2508000108b02c,dglt,aid,55,40,15,F,contrast between who received welfare and who did not
596b66b47f8c1e00017cae6a,ug,bonus,68,45,40,F,deciding whether to share bonus with a contributing teammate
596e1edd39e9d00001b7bb98,tg,aid,65,45,30,F,moral dilemma over sharing aid with a struggling neighbour
5976dd57372a380001bf5ae0,dglt,bonus,55,20,40,F,deciding how to allocate a team bonus
59775e3831c84f0001d977b7,dgkw,aid,62,30,40,F,deciding whether to share aid with less-fortunate neighbour
5978f11ceb2e22000187affa,ug,aid,55,50,30,balanced,dilemma over keeping full aid versus sharing with unsuccessful neighbour
597f88ce7b7b850001fa4f3d,dglt,aid,60,25,40,F,considering sharing aid with less fortunate neighbour
5982eef79dfc3e00011d81e0,tg,aid,45,55,30,O,his need for the money weighed against guilt about helping another
598ae81a81ec2c0001619839,tg,aid,55,30,40,F,deciding whether to share aid with unsuccessful applicant
598d55aa8380cc00012a3a53,ug,bonus,62,48,30,F,how bonus should be shared given both contributions
5991b5cd7d29e700017303bb,ug,aid,58,30,40,F,whether James should share his received help with rejected Mark
59930c0fb9269d00016ec252,tg,bonus,40,45,55,J,joint project success with question of keeping bonus
599352ad5f49420001caf919,tg,bonus,72,40,45,F,whether to share bonus with equally hardworking Max
599442e6bf8bcf0001ab6857,ug,bonus,72,45,40,F,whether to share bonus with a hardworking teammate
599766b07eaf20000139e40d,dgkw,aid,55,45,30,balanced,torn between keeping aid and sharing with needy neighbor
599de70d8a6cc5000128f980,ug,aid,45,55,20,balanced,whether James should share aid or keep it for his own hardship
599e858389de5b00011193c5,tg,aid,62,40,30,F,deciding whether to share windfall with less fortunate neighbour
59a722657a657b0001aae223,ug,bonus,45,45,40,balanced,choice between keeping or sharing a bonus with teammate
59a800138ae07f0001b134c8,dglt,aid,55,25,40,F,deciding whether to share aid with unsuccessful neighbour
59aa9242a372d6000157ed4e,dgkw,bonus,55,45,40,balanced,deciding whether to share bonus with a contributing teammate
59ac5745a372d6000157eda7,dgkw,bonus,95,5,40,F,team contribution justifies sharing the bonus
59af9c33c05bb50001eb3713,dglt,bonus,75,40,30,F,whether to share bonus given Max's contribution
59b3f5a89f80a10001e82635,ug,aid,55,40,30,F,deciding whether to share money with a near-stranger
59b64448b5ac72000169a220,dgkw,bonus,80,0,60,F,Max's contribution deserves a shared team reward
59ba2a6e6495ef00019fbd70,ug,bonus,55,20,45,F,deciding how to share a bonus with a teammate
59ba3ba911212f0001cd1284,ug,aid,62,30,20,F,questioning whether helping is James's responsibility given Mark's own actions
59c266758e6ea10001f7b6d1,tg,aid,55,30,25,F,dilemma over who deserves the money given both need it
59c8d84e916c4d00010944f2,ug,aid,45,55,40,balanced,dilemma over keeping aid or sharing with unsuccessful friend
59c9cda80aaf750001213e00,dgkw,aid,62,30,25,F,deliberating whether to share aid with rejected neighbor
59cdf56ed9714f0001a3cb85,ug,bonus,55,30,40,F,deciding whether to share bonus earned by team's work
59ce3501a5bbdd0001bf45e2,dgkw,aid,55,45,30,balanced,moral dilemma of keeping vs sharing aid with a needy neighbour
59d270d6faf42e00012b6cbc,tg,aid,62,30,40,F,moral dilemma over sharing aid with excluded peer
59d27db2aeef3b0001021bff,tg,bonus,62,20,68,J,team effort and sharing bonus with contributing teammate
59d29513a5bbdd0001bf48ac,dglt,bonus,55,40,45,F,choice to keep bonus or share with a contributing colleague
59d39f387d08030001f345a5,tg,bonus,78,30,40,F,Max's contribution warrants a share of the bonus
59d3b07947f4e80001a6c551,ug,aid,40,55,15,O,"declining to share aid, reasoning own circumstances differ"
59d4c100078dbe0001951236,dgkw,bonus,62,45,40,F,whether to share bonus with equally hardworking colleague
59d665ef03203500011acd8c,dgkw,aid,55,45,20,F,dilemma of sharing aid with an equally needy neighbor
59d8d3aeea41450001ec79b0,ug,aid,55,45,25,balanced,dilemma over whether to share windfall with struggling neighbour
59dc4083ae9f950001d83b4b,tg,bonus,65,55,30,balanced,deciding whether to share bonus given Max's contribution vs own hard work
59dc8c1b24d7bf00012f099f,tg,bonus,55,40,30,F,leader deciding whether to share bonus with team
59e82e77c0d35a000129532e,dgkw,bonus,55,40,35,F,deciding whether to share the bonus with teammate
59e8a9b1d838ae0001850c89,dglt,aid,55,45,30,balanced,choice to keep or share the assistance
59ef022eae9f950001d84a43,dglt,aid,55,30,45,F,dilemma over sharing welfare with less fortunate neighbour
59ef9be762637600014a873d,dgkw,bonus,55,45,40,F,whether to share bonus with teammate who contributed
59f0eda5e75b450001a699a7,dglt,aid,45,50,30,balanced,torn between keeping the money and sharing with a struggling neighbour
59f474a3f4217300016cbfa0,ug,aid,55,55,20,balanced,deciding whether to keep aid or share with equally needy neighbour
59f8b44d07e3780001ccd7b5,tg,bonus,40,30,55,J,team success and option to share bonus with teammate
59ff1a23f2e3460001eda6d5,dglt,bonus,45,40,55,J,team effort and the choice to share a bonus
59ff8226ab721b0001ef6e61,ug,aid,55,30,35,F,deciding whether to share aid with unapproved neighbour
5a063d930fff620001a6bd75,dglt,aid,55,45,30,balanced,guilt over neighbor's exclusion from assistance he received
5a09ebdf087f2e0001eae39f,dglt,bonus,40,45,45,balanced,bonus decision: keep alone vs share with team
5a0a02fba383a100011b4b5e,dglt,aid,55,58,30,balanced,dilemma between keeping funds and sharing with a needy neighbor
5a0d8077f2e3460001edb910,dgkw,aid,55,45,30,F,dilemma over whether to share government money with struggling neighbour
5a143884bd04860001b01123,dglt,aid,45,40,30,balanced,deciding whether to share aid money with a needy acquaintance
5a17467d5d06850001b00c41,ug,bonus,40,35,55,J,team effort and whether to share bonus with teammate
5a1ad0b80fff620001a6d7ac,ug,aid,55,40,45,F,deciding whether to share awarded hardship funds with the unfunded peer
5a21aabb2b98bc0001a67c65,tg,aid,62,40,30,F,deliberating whether to share aid with refused neighbour
5a2ddcfde1a26800016bbe2c,dgkw,bonus,70,40,45,F,Max's contribution and choice to share the bonus
5a2de7bbc7ed3b00018234fe,dglt,aid,55,45,20,balanced,dilemma of keeping grant vs sharing with unselected neighbour
5a33e4a10758280001030ce5,dglt,aid,55,40,45,balanced,dilemma over whether to share aid windfall with excluded neighbour
5a36d3315a83ff00015adfc7,tg,aid,45,55,20,O,James's own need weighed against sharing aid with Mark
5a444e06817d1800018d11be,dgkw,aid,55,45,30,balanced,sharing scarce assistance with a needy neighbor
5a44fe8866e7880001de52cd,dgkw,bonus,55,35,45,F,Steve deciding whether to share bonus with contributor Max
5a454e442f91ec0001dcb66c,dglt,aid,62,45,30,F,deciding whether to share unequally received funds
5a467d1e99311d0001df5271,tg,aid,70,45,30,F,conflict over sharing aid with a struggling neighbour
5a46d551b77a5000014a8ce9,ug,aid,45,30,40,balanced,conflict over whether to share grant with neighbor who missed out
5a4a078399311d0001df5ba7,dglt,aid,55,40,20,F,deciding whether to share awarded aid money with a person who got none
5a4f496defd8df000150f78b,dglt,bonus,78,25,55,F,whether Steve should share bonus with deserving colleague Max
