StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,attention_check_1,attention_check_2,attention_check_3,attention_check_4,Q3,Q4,Q231,Q238_First Click,Q238_Last Click,Q238_Page Submit,Q238_Click Count,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q27_First Click,Q27_Last Click,Q27_Page Submit,Q27_Click Count,Q224,Q241_First Click,Q241_Last Click,Q241_Page Submit,Q241_Click Count,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,transfer,reasons,beliefs,P1_CHOICE,P1_ID,allocation_hp,transfer_hp,attention_check,Q_DataPolicyViolations
2026-04-21 13:35:06,2026-04-21 13:42:44,0,,100,458,1,2026-04-21 13:42:45,R_6JCLG7vSxPwEtci,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,3.002,0,0,0,2.11,0,69.102,105.056,108.482,8,"I could have chose to keep all revenue, but the provider of is most likely expecting something in return to increase their value. In all fairness, I chose to return some value to the provider.",11.971,16.835,22.123,2,0,7,57c304c04814b5000171d4ce,69e77cff7270c70227e2475b,69e773e81779eeec606ecf09,6.5,"I could have chose to keep all revenue, but the provider of is most likely expecting something in return to increase their value. In all fairness, I chose to return some value to the provider.",,4.5,66439df8cecf5fd276606155,4,2,1,
2026-04-21 13:37:16,2026-04-21 13:43:00,0,,100,343,1,2026-04-21 13:43:00,R_2mPnA6LToqLabAW,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,6.127,0,0,0,2.012,0,16.741,89.533,94.512,3,"Because that is the fairest outcome, we both get similar amounts. They already get the $2.50 from their sale to the research team.",10.754,12.73,33.237,2,0,6.5,5c5ca0ce4ee81200018eaf51,69e77d83bad0cc5e36c95c57,69e773e81779eeec606ecf09,4,"Because that is the fairest outcome, we both get similar amounts. They already get the $2.50 from their sale to the research team.",,3.5,698e5f864cc160f2bd78733a,5,1,1,
2026-04-21 13:34:42,2026-04-21 13:44:55,0,,100,613,1,2026-04-21 13:44:56,R_6HpoHUHs7qpTtJq,,,,,,,anonymous,EN,1,,,1,1,3,2,27.216,27.216,30.458000000000002,1,0,0,2.009,0,32.589,43.349,67.323,4,I decided to send $6.  The $6 seemed like a fair amount to send it back to the data provider,21.078,21.078,22.711,1,0,3,5e2bee472b21bb229e9e463e,69e77cea58dbcee2eecc5f95,69e773e81779eeec606ecf09,6,I decided to send $6.  The $6 seemed like a fair amount to send it back to the data provider,,3,6163334adf2c6a3f8f350c2c,3,3,1,
2026-04-21 13:42:54,2026-04-21 13:45:28,0,,100,153,1,2026-04-21 13:45:28,R_2nPa4MW3tuMShs5,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,4.8,0,0,0,2.009,0,6.879,13.369,14.173,3,I felt that sending half back was fair.,7.139,12.096,20.883,4,0,6,5a94d2e989de8200013ecab6,69e77eb13d26dcc639f9a3ba,69e773e81779eeec606ecf09,7.5,I felt that sending half back was fair.,,4.5,6674ae115abf5a938c5e7c3d,3,3,1,
2026-04-21 13:36:34,2026-04-21 13:46:39,0,,100,605,1,2026-04-21 13:46:40,R_23r589DLOpJU18X,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,4.703,0,0,0,2.105,0,34.4,37.404,39.045,2,"On this occasion, as the broker I decided to keep the profit from the sale, and pay back to the data provider what they would have got if they had sold to someone else.",47.325,47.325,53.914,1,0,6,69e7703674d6bef27249b324,69e77d4315ad214b62a90811,69e773e81779eeec606ecf09,3,"On this occasion, as the broker I decided to keep the profit from the sale, and pay back to the data provider what they would have got if they had sold to someone else.",,3,69d32eff94dc9125c40f66fc,3,3,1,
2026-04-21 13:40:05,2026-04-21 13:47:25,0,,100,439,1,2026-04-21 13:47:25,R_1JIsC5qmaFDyH71,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,8.453,0,0,0,2.008,0,45.492,48.022,60.408,2,I sent back an amount that would leave us with equal reward ($9 each) as I believe in fairness in these type of situations.,42.904,53.229,55.284,2,0,9,63767a851344bd887e00249e,69e77e20834810397f50af73,69e773e81779eeec606ecf09,3,I sent back an amount that would leave us with equal reward ($9 each) as I believe in fairness in these type of situations.,,4,5c276a6b70d93a000120f63b,4,2,1,
2026-04-21 13:42:40,2026-04-21 13:47:30,0,,100,289,1,2026-04-21 13:47:30,R_2ELjmLeDHcsOvGr,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,3.034,0,0,0,2.11,0,13.585,13.585,15.403,1,"I want to hopefully accrue bonus via the commission. And I turned the data into value with my connection therefore I should keep the profit. But I tried to recompensate them to ensure a connection for the future, and to keep sending data my way.",1.857,31.535,32.081,4,0,12,668680394b827de76360dd2a,69e77ecbf48073888a7825f9,69e773e81779eeec606ecf09,3,"I want to hopefully accrue bonus via the commission. And I turned the data into value with my connection therefore I should keep the profit. But I tried to recompensate them to ensure a connection for the future, and to keep sending data my way.",,5,60fcd9699c3def3068403b90,4,2,1,
2026-04-21 13:38:42,2026-04-21 13:47:35,0,,100,533,1,2026-04-21 13:47:36,R_51UWG0jZswQvP45,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,4.39,0,0,0,2.007,0,44.572,46.987,52.356,2,He/she should get something in return.  I'm making a profit and just sharing a bit of it in good faith.,14.202,19.625,38.088,3,0,7,60a6f069396cebb99ad0c6a7,69e77dd94564e435333c841a,69e773e81779eeec606ecf09,2,He/she should get something in return.  I'm making a profit and just sharing a bit of it in good faith.,,3,58b9870197641c0001f1fb05,5,1,1,
2026-04-21 13:41:45,2026-04-21 13:49:48,0,,100,483,1,2026-04-21 13:49:48,R_3qUrINiAONyXlvt,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,2.483,0,0,0,2.113,0,12.197,12.197,37.879,1,"It's not that the prompt answered the question for me but, that it's right after doing the math.",8.051,38.771,39.173,5,0,0,672a83f09d15426b6e75b58e,69e77e9340166b3309ba2910,69e773e81779eeec606ecf09,18,"It's not that the prompt answered the question for me but, that it's right after doing the math.",,6,60bd3949b6f6d9c3453e8def,6,0,1,
2026-04-21 13:43:35,2026-04-21 13:50:27,0,,100,411,1,2026-04-21 13:50:27,R_5gL5FwETum4YhoF,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,7.301,0,0,0,2.007,0,17.719,23.163,25.272,2,I sent back half. Thought it would be fair,13.853,13.853,22.201,1,0,6,6119efd15a0a464b68fd0c6e,69e77efccdac1e2876424f10,69e773e81779eeec606ecf09,6,I sent back half. Thought it would be fair,,4,5cb4e2e8dde4050015779d17,3,3,1,
2026-04-21 13:38:42,2026-04-21 13:51:13,0,,100,751,1,2026-04-21 13:51:14,R_3GlyijjlUaVeqcR,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,3.044,0,0,0,2.014,0,63.232,68.88,122.641,3,We will both end up with equal amount.,12.005,12.005,17.287,1,1,5,67ae87b0d1835460d0a99abd,69e77ddbfaf6e97e4558aa28,69e773e81779eeec606ecf09,1,We will both end up with equal amount.,,2,69a5d3d88a44434a3651ba84,5,1,1,
2026-04-21 14:21:53,2026-04-21 14:22:29,0,,100,35,1,2026-04-21 14:22:30,R_2g8eeeUX5schTwI,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,2.836,0,0,0,2.109,0,2.062,2.062,3.761,1,https://bocconi.eu.qualtrics.com/jfe/form/SV_a4tgQmmS6o2IKLYhttps://bocconi.eu.qualtrics.com/jfe/form/SV_a4tgQmmS6o2IKLYhttps://bocconi.eu.qualtrics.com/jfe/form/SV_a4tgQmmS6o2IKLY,1.132,1.132,2.273,1,0,8,TEST,,,10,https://bocconi.eu.qualtrics.com/jfe/form/SV_a4tgQmmS6o2IKLYhttps://bocconi.eu.qualtrics.com/jfe/form/SV_a4tgQmmS6o2IKLYhttps://bocconi.eu.qualtrics.com/jfe/form/SV_a4tgQmmS6o2IKLY,,6,69e65fadac779ba9adf0dade,2,4,1,
2026-04-21 14:27:23,2026-04-21 14:27:32,0,,100,9,1,2026-04-21 14:27:32,R_34q0KOaZkMWySEY,,,,,,,anonymous,EN,,1,,,,,,,,,,,,,,,,,,,,,,,0,,69e00475b2c69f1f787da812,69e788f6ebd0bc2bf2c9e168,69e773e81779eeec606ecf09,,,,,,,,0,
2026-04-21 14:27:06,2026-04-21 14:29:12,0,,100,126,1,2026-04-21 14:29:13,R_7rJNpN3SfKSVQjB,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,3.726,0,0,0,2.105,0,5.071,5.071,6.42,1,It's just split in half to show that the person trusted me to send me all 6.,6.865,6.865,10.868,1,0,9,69718893ecd7455680ec4676,69e789371490941542728f9f,69e773e81779eeec606ecf09,9,It's just split in half to show that the person trusted me to send me all 6.,,6,69e106598f65c3c06109ea95,3,3,1,
2026-04-21 14:26:44,2026-04-21 14:29:13,0,,100,149,1,2026-04-21 14:29:14,R_8NCrTqdDvnnRViF,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,3.801,0,0,0,2.008,0,7.393,9.225,11.78,3,thought it was fair to split the revenue,3.911,3.911,4.951,1,1,9,69e7525bdee8c324d29e5482,69e78920638c7c4924f14cf7,69e773e81779eeec606ecf09,9,thought it was fair to split the revenue,,6,69b1b713430b7d71c6d12273,3,3,1,
2026-04-21 14:26:41,2026-04-21 14:29:16,0,,100,154,1,2026-04-21 14:29:16,R_8cqtlBGXtZ31oIG,,,,,,,anonymous,EN,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,1,,5e3decbd3ab63a0641c47f76,69e7891cb2b12690dbda1186,69e773e81779eeec606ecf09,,,,,,,,1,
2026-04-21 14:25:41,2026-04-21 14:29:57,0,,100,256,1,2026-04-21 14:29:58,R_34PpzkrXaZhjIV3,,,,,,,anonymous,EN,1,,,1,3,1,2,,,,,,,,,,,,,,,,,,1,,67e1a7be19db516f062a8ba8,69e788db5307de2c151cdafd,69e773e81779eeec606ecf09,,,,,,,,1,
2026-04-21 14:31:45,2026-04-21 14:34:22,0,,100,157,1,2026-04-21 14:34:23,R_1fuDB64ugWtL1bU,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,3.513,0,0,0,2.019,0,8.724,12.266,13.138,2,I thought they could have chosen a higher amount to send which would have given then more of a return. Since they gave less than what I was expecting I figured they should get less of the share,6.288,6.288,7.135,1,0,2.5,63cffe69ec33b3a776d6660e,69e78a4b4ea309de31a11527,69e773e81779eeec606ecf09,2,I thought they could have chosen a higher amount to send which would have given then more of a return. Since they gave less than what I was expecting I figured they should get less of the share,,1.5,60fdc73e9fc2f113dc1ff96d,3,3,1,
2026-04-21 14:25:43,2026-04-21 14:34:40,0,,100,537,1,2026-04-21 14:34:43,R_3RdgwS06i8x0eQN,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,2.894,0,0,0,2.005,0,51.787,51.787,55.126,1,"My understanding is that the data provider would receive 1:1 payment for the data if provided to the research team, so $3.50 worth of data would receive $3.50.  Once the data provider sent me $3.50, I thought it would be fair to send $7 back to the data provider, since I received $10.50.  I am not exactly sure where the $10.50 came from, but I figured it would be fair to keep $3.50 as my ""cut"" for being the broker.  The data provider doubled their money and I made $3.50.",28.084,28.084,35.925,1,0,3.5,69d941abd5918fb1765dbd3c,69e788e16eb9779c09952202,69e773e81779eeec606ecf09,7,,,3.5,5fbd18be2b7651043385b705,2.5,3.5,1,
2026-04-21 14:31:47,2026-04-21 14:36:06,0,,100,259,1,2026-04-21 14:36:07,R_8pmw2mWhGTOcmuD,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,3.001,0,0,0,2.017,0,13.023,15.107,18.457,2,sending back what was sent.,10.428,10.428,13.144,1,0,3,6772c484a1d97ecb2a87ad2e,69e78a4d0273b949b5239a7e,69e773e81779eeec606ecf09,1.5,sending back what was sent.,,1.5,69d56ec21e901b86adbce356,4,2,1,
2026-04-21 14:33:35,2026-04-21 14:38:19,0,,100,283,1,2026-04-21 14:38:20,R_5mxPfMwbGFwVn4B,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,5.4,0,0,0,2.007,0,16.345,20.043,21.217,2,Because it was equal to the amount they sent me,11.814,11.814,13.231,1,1,12,63d29a1e50cf0f82998d2564,69e78a6aa38d752d00f28317,69e773e81779eeec606ecf09,6,Because it was equal to the amount they sent me,,6,698f4859e880e0da9fe1e3c4,5,1,1,
2026-04-21 14:38:09,2026-04-21 14:41:14,0,,100,185,1,2026-04-21 14:41:15,R_52UGeftQX4gKZjP,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,3.54,0,0,0,2.009,0,11.292,14.304,24.061,2,I didn't want to send too much of my $18 ,5.67,8.27,8.878,3,0,14,61639cbb5ffec1a6b93b2334,69e78bc836f855345394add1,69e773e81779eeec606ecf09,4,I didn't want to send too much of my $18 ,,6,662c1b87d84d0f2111bb3a56,5.5,0.5,1,
2026-04-21 14:37:39,2026-04-21 14:41:19,0,,100,219,1,2026-04-21 14:41:19,R_5ku2Uu2fgCKDdI4,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,6.249,0,0,0,2.009,0,6.609,20.86,21.735,2,I was trying to make it so I got just as much out of it as they did,17.443,17.443,20.082,1,1,4,69bc9326da80ce8bec6c706f,69e78bad54350374acb99717,69e773e81779eeec606ecf09,2,I was trying to make it so I got just as much out of it as they did,,2,6985f4fbf0d138e1b1231702,4,2,1,
2026-04-21 14:33:02,2026-04-21 14:41:19,0,,100,497,1,2026-04-21 14:41:20,R_8sUe1JqPeIQUQYV,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,3.004,0,0,0,2.021,0,21.327,21.327,25.008,1,It seems a logical amount to send within the amount i can send. i also think this is a fair price.,24.64,26.89,30.021,2,1,2.5,645514dc6131c93e54f0792f,69e78a8f60afe223757f80ca,69e773e81779eeec606ecf09,2,It seems a logical amount to send within the amount i can send. i also think this is a fair price.,,1.5,699c78c7bdfcf354bafa8b03,3,3,1,
2026-04-21 14:36:49,2026-04-21 14:41:35,0,,100,285,1,2026-04-21 14:41:36,R_3ZWzQkRNWLFuSVH,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,3.108,0,0,0,2.111,0,17.681,22.529,32.638,3,I sent 3 because they sent 3; it only seemed fair to me to send something back. ,15.135,22.046,23.981,4,0,6,69992d4bd471ae1ac8d5d13b,69e78b71a3c6251bcd5e366e,69e773e81779eeec606ecf09,3,I sent 3 because they sent 3; it only seemed fair to me to send something back. ,,3,69a396424c59826d1a132598,3,3,1,
2026-04-21 14:36:14,2026-04-21 14:42:13,0,,100,359,1,2026-04-21 14:42:14,R_5GXaBeKOf0H0HPr,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,2.928,0,0,0,2.11,0,8.799,44.235,58.439,4,"it was double the amount that they sent me and was more than they would have gotten without a broker. I wanted to get some income too, and I think it's fair it was less than the them because they did the work.",5.978,11.102,21.541,2,0,4,60a2c2ea04fc6b2de2f14da9,69e78b579762dfd3e5969656,69e773e81779eeec606ecf09,8,"it was double the amount that they sent me and was more than they would have gotten without a broker. I wanted to get some income too, and I think it's fair it was less than the them because they did the work.",,4,698d16402e8b3f1c42a5d277,2,4,1,
2026-04-21 14:40:11,2026-04-21 14:42:19,0,,100,128,1,2026-04-21 14:42:19,R_8gMAKJptuaLSViF,,,,,,,anonymous,EN,1,,,1,1,1,2,,,,,,,,,,,,,,,,,,1,,655e1678dd2c966d4754ecb4,69e78c45ca922a97b37c27b5,69e773e81779eeec606ecf09,,,,,,,,1,
2026-04-21 14:38:02,2026-04-21 14:42:57,0,,100,295,1,2026-04-21 14:42:57,R_2o5WA0yJX4VE91w,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,4.293,0,0,0,2.028,0,14.037,16.972,22.406,2,I decided to split my earning equally as I thought this was the fairest and correct thing to do.,16.265,16.265,17.259,1,0,4.5,5c99d104490924000111bfcc,69e78bc1d8dcc13937b47927,69e773e81779eeec606ecf09,4.5,I decided to split my earning equally as I thought this was the fairest and correct thing to do.,,3,69e295cfc14aae702efc12c9,3,3,1,
2026-04-21 14:42:25,2026-04-21 14:44:50,0,,100,144,1,2026-04-21 14:44:50,R_8vi98BfQZ5z2NPE,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,2.601,0,0,0,3.113,0,6.357,11.321,12.077,2,Seemed like a fair split.,2.46,4.245,5.062,2,0,6,5d469176beeecd0001d01c9e,69e78cc711a4419a75cbc7bb,69e773e81779eeec606ecf09,6,Seemed like a fair split.,,4,66746db831e815ded8e9eaf3,3,3,1,
2026-04-21 14:43:10,2026-04-21 14:47:40,0,,100,270,1,2026-04-21 14:47:41,R_2fYQSRonPHoJxH7,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,4.054,0,0,0,2.111,0,7.968,13.998,14.715,2,I chose this amount as that's how much they sent to me- regardless of what I actually got.,5.339,8.087,8.801,2,0,12,6400d8fc937ce0c43fbcc679,69e78c9e02ade40f5cc214eb,69e773e81779eeec606ecf09,6,I chose this amount as that's how much they sent to me- regardless of what I actually got.,,6,5e86129f087c78224098c878,4,2,1,
2026-04-21 14:54:40,2026-04-21 14:54:48,0,,100,7,1,2026-04-21 14:54:48,R_62gLCzxkOi8Dzu1,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,0,,69e05810c131f16f0e147097,69e78fa94311feb5e1a56062,69e773e81779eeec606ecf09,,,,,,,,0,
2026-04-21 14:52:57,2026-04-21 14:55:28,0,,100,151,1,2026-04-21 14:55:29,R_2jyd37cE8ysxVWF,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,3.62,0,0,0,2.116,0,8.777,8.777,10.286,1,it was a middle amount so that i didn't seem too greedy but also made some profit for myself,8.432,8.432,9.502,1,0,5.5,664e381ed2536b7b8d8dbbb0,69e78f4271c980e2b86ba5d3,69e773e81779eeec606ecf09,2,it was a middle amount so that i didn't seem too greedy but also made some profit for myself,,2.5,616f727b03e888e0f8213eec,3,3,1,
2026-04-21 14:53:33,2026-04-21 14:55:47,0,,100,134,1,2026-04-21 14:55:48,R_509mSv2QMT3udoJ,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,3.676,0,0,0,2.008,0,1.006,3.191,3.892,2,I want to reduce risk and keep more control over your guaranteed earnings.,1.79,3.689,7.176,2,0,7,6781853762f0a6dcbf4ac534,69e78f6719176bb443c53071,69e773e81779eeec606ecf09,2,I want to reduce risk and keep more control over your guaranteed earnings.,,3,64d5323f567c88a7df95b47a,5,1,1,
