StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,attention_check_1,attention_check_2,attention_check_3,attention_check_4,Q3,Q4,Q29_First Click,Q29_Last Click,Q29_Page Submit,Q29_Click Count,Q58,Q59,Q119,Q120,Q33_First Click,Q33_Last Click,Q33_Page Submit,Q33_Click Count,Q151,Q131_First Click,Q131_Last Click,Q131_Page Submit,Q131_Click Count,Q246,Q248,Q249,Q250,Q251,Q252,Q4,Q5,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,Q5,Q6,Q7,Q8,Q11_First Click,Q11_Last Click,Q11_Page Submit,Q11_Click Count,Q243,Q246_First Click,Q246_Last Click,Q246_Page Submit,Q246_Click Count,Q93_First Click,Q93_Last Click,Q93_Page Submit,Q93_Click Count,Q99,Q100,Q122,Q149,Q97_First Click,Q97_Last Click,Q97_Page Submit,Q97_Click Count,Q152,Q244_First Click,Q244_Last Click,Q244_Page Submit,Q244_Click Count,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,Q5,Q6,Q7,Q241,Q10_First Click,Q10_Last Click,Q10_Page Submit,Q10_Click Count,Q242,Q245_First Click,Q245_Last Click,Q245_Page Submit,Q245_Click Count,Q2,Q3,Q4,mistake,allocation_market,PROLIFIC_PID,SESSION_ID,STUDY_ID,treatment,transfer,hp_lt_1,hp_lt_2,hp_lt_3,hp_lt_4,hp_kw_1,hp_kw_2,hp_kw_3,memory_lt_$4,memory_lt_$0,memory_lt_-$2,memory_lt_-$4,memory_kw_$0,memory_kw_-$4,memory_kw_-$6,hp_kw_4,memory_kw_-$8,hp_lt_control_1,hp_lt_control_2,hp_lt_control_3,hp_lt_control_4,hp_kw_control_1,hp_kw_control_2,hp_kw_control_3,hp_kw_control_4,memory_lt_control_$4,memory_lt_control_$2,memory_lt_control_$0,memory_lt_control_-$4,memory_kw_control_$0,memory_kw_control_$4,memory_kw_control_$6,memory_kw_control_$8,allocation_control,reasons_market,reasons_control,attention_check,market_first,market_number,control_number,Q_DataPolicyViolations
2025-12-05 18:54:02,2025-12-05 19:11:56,IP Address,,100,1073,True,2025-12-05 19:11:56,R_264k002ToFwB8kZ,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,"If your pair is selected, you (the data provider) receive the price you set as a bonus, and the broker receives the profit of $12 minus the price you set.",0,0,2.028,0,This would be like negotiating a price with a company for a broadband service & the company trying to gain a higher price for them providing you with their service ,This would be like a situation where both parties are happy with the negotiated price e.g. taking out a phone contract.,"This would be like trying to get the best monthly contract price for a TV package & the company offering a better deal, trying to keep your custom.","This is like negotiating with a company, trying to get a service for a cheaper monthly price e.g. subscription service,  if you commit to a longer term in return for a cheaper monthly price",5.708,11.075,12.032,2,The opposing side pay $12 & I would like to get the most amount of money from them,0,0,0.221,0,Blue,Purple,Yellow,Green,Red,Orange,,,0,0,2.126,0,"This would be like giving into a negotiation, earning a less amount. This would not be favourable to me. Trying to negotiate a better rate on your mortgage, but not succeeding. ","Negotiating a better monthly price on a phone contract. Ending up paying less for the same amount of data,text & calls.",Both parties agreeing & coming to the right price for both parties. ,"This would be like agreeing to a price for a TV package,  reaching a fair price for the service you receive. ",2.197,3.189,5.064,2,"I would like to earn the maximum amount from this deal, benefiting myself & getting the most out of the negotiation ",0,0,0.219,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Yes,6,0,12,5da0e89440b1c70014aaf74b,69332a457f784b234604a9a9,69329b66cdf616d8bedeae7f,lt,,$4,$0,'-$4,'-$2,'-$8,'-$4,'-$6,This would be like negotiating a price with a company for a broadband service & the company trying to gain a higher price for them providing you with their service ,This would be like a situation where both parties are happy with the negotiated price e.g. taking out a phone contract.,"This is like negotiating with a company, trying to get a service for a cheaper monthly price e.g. subscription service,  if you commit to a longer term in return for a cheaper monthly price","This would be like trying to get the best monthly contract price for a TV package & the company offering a better deal, trying to keep your custom.",,,,$0,,$4,'-$4,$0,$2,$4,$6,$0,$8,"This would be like giving into a negotiation, earning a less amount. This would not be favourable to me. Trying to negotiate a better rate on your mortgage, but not succeeding. ","This would be like agreeing to a price for a TV package,  reaching a fair price for the service you receive. ",Both parties agreeing & coming to the right price for both parties. ,"Negotiating a better monthly price on a phone contract. Ending up paying less for the same amount of data,text & calls.",,,,,12,The opposing side pay $12 & I would like to get the most amount of money from them,"I would like to earn the maximum amount from this deal, benefiting myself & getting the most out of the negotiation ",1,1,1,2,
2025-12-05 19:00:40,2025-12-05 19:12:03,IP Address,,100,682,True,2025-12-05 19:12:03,R_7edoxfPkLUqPqut,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,"If your pair is selected, you (the data provider) receive the price you set as a bonus, and the broker receives the profit of $12 minus the price you set.",,,,,,,,,,,,,,,,,,Blue,Purple,Yellow,Green,Red,Orange,,,,,,,,,,,,,,,,,,,,0,0,2.109,0,Someone went to the store and found an item on clearance. It was a deep discount for that item. ,Grocery prices for holidays stayed the same from year to year even though fluctuations were happening with other items. ,A department store was running a sale on its everyday products. It was a 30% off sale and drew customers in. ,A store manager decided to discount Halloween candy the day after October 31st and started at 50% to see how much he could clear off the shelves.,11.016,11.016,14.077,1,I thought about the other person I was paired with. I wanted both of us to benefit if our pair was chosen for the bonus.,0,0,0.207,0,0,0,2.007,0,2 friends were having lunch and one of them didn't have enough to buy any sides or drink. The other friend helped them by giving them enough to purchase a full meal.,A stingy customer walking past a charity bucket during the holidays. Not willing to share his wealth.,Giving half of my chocolate cake to my neighbor. ,Giving small items as a donation to a charity in need.,4.777,4.777,13.327,1,I wanted to benefit my partner in the most way possible so that I could be benefitted too. ,0,0,0.204,0,33,Yes,3,0,6,5faf5be7eb05711e07faf4cf,69332bd01172d084cf7641c2,69329b66cdf616d8bedeae7f,kw,,$0,'-$4,$4,'-$2,'-$8,$0,'-$4,,,,,Grocery prices for holidays stayed the same from year to year even though fluctuations were happening with other items. ,A department store was running a sale on its everyday products. It was a 30% off sale and drew customers in. ,A store manager decided to discount Halloween candy the day after October 31st and started at 50% to see how much he could clear off the shelves.,'-$6,Someone went to the store and found an item on clearance. It was a deep discount for that item. ,$0,'-$4,$4,$2,$8,$0,$6,$4,,,,,A stingy customer walking past a charity bucket during the holidays. Not willing to share his wealth.,Giving small items as a donation to a charity in need.,Giving half of my chocolate cake to my neighbor. ,2 friends were having lunch and one of them didn't have enough to buy any sides or drink. The other friend helped them by giving them enough to purchase a full meal.,6,I thought about the other person I was paired with. I wanted both of us to benefit if our pair was chosen for the bonus.,I wanted to benefit my partner in the most way possible so that I could be benefitted too. ,1,1,1,2,
2025-12-05 19:05:47,2025-12-05 19:13:50,IP Address,,100,482,True,2025-12-05 19:13:50,R_2DTsRSsQJ9QqHQK,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,"If your pair is selected, you (the data provider) receive the price you set as a bonus, and the broker receives the profit of $12 minus the price you set.",,,,,,,,,,,,,,,,,,Blue,Purple,Yellow,Green,Red,Orange,,,,,,,,,,,,,,,,,,,,0,0,2.018,0,I think it is similar to black friday deals.,I think it is similar to buying something in a high street shop.,I think it is similar to buying something in charity shops.,Online resell shopping e.g. vinted,12.972,12.972,14.746,1,So that the broker still makes a profit but I still get a high price for my data.,0,0,0.21,0,0,0,2.017,0,It could be sharing gifted money from your parents with your siblings.,This is similar to how every day life works.,This is like giving your friend money for coffee.,This is like buying someone a gift.,8.948,8.948,10.378,1,I wanted to give them something but not lots as I dont know them.,0,0,0.205,0,25,Yes,14,0,11.5,5d8a3031baf792001640a637,69332d018f8529a742288823,69329b66cdf616d8bedeae7f,kw,,$0,'-$2,'-$4,$4,'-$6,$0,'-$8,,,,,I think it is similar to buying something in a high street shop.,Online resell shopping e.g. vinted,I think it is similar to black friday deals.,'-$4,I think it is similar to buying something in charity shops.,$2,$0,'-$4,$4,$6,$0,$4,$8,,,,,This is similar to how every day life works.,This is like giving your friend money for coffee.,It could be sharing gifted money from your parents with your siblings.,This is like buying someone a gift.,9,So that the broker still makes a profit but I still get a high price for my data.,I wanted to give them something but not lots as I dont know them.,1,1,1,2,
2025-12-05 18:40:53,2025-12-05 19:14:24,IP Address,,100,2011,True,2025-12-05 19:14:25,R_3YBuHcocEg0PAzv,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,,,,,,,,,,,,,,,,,,,,Blue,Purple,Yellow,Green,Red,Orange,..another participant from Prolific,..affects earnining for both you and your match,,,,,,,,,,,,,,,,,,0,0,2.013,0,"I feels like telling a group of customers that there's a buy one get one free deal, so if they work it out with another person, they end up paying half of the price.  ",Working at a retail store and a customer asks for a discount but you tell them there's none.  ,It feels like giving a coupon code when purchasing something.  ,"I feels similar to a group trying to accomplish something at any cost, even if that means giving up 2/3 of the resources.  ",17.558,17.558,18.545,1,"In all honestly, it just felt right.  I don't have any statistical or a sound reasoning behind this number.  Given the situation, lowering the price to half just seems like everything would work for all parties involved.   ",0,0,0.213,0,0,0,2.127,0,"It feels similar to when receiving 4 $5 voucher to a restaurant from work, and giving 3 of them to a friend when I heard they were going to that restaurant.  ",It feels similar to a situation which you have the option of donating your earnings and not donating any of it.  ,It kind of feels like when giving a child some money at a fair.  You look in your wallet and give them just enough to get something worthwhile for them.    ,It feels similar to winning a game with your friend and splitting the reward evenly.  ,18.449,18.449,20.203,1,"In all honestly, with the given situation, it's feels a bit like donating to a cause.  Unless I know how the money will be used, it's hard for me to give money to someone.  For instance, when a homeless person asks for money, I hesitate most of the time because I don't know how they will use it.  Would they use it for necessities or waste it on something they don't need.  In most cases, I rather buy them food or something of their need, than to give them cash.  I sort of have the same feeling right now.  But considering this study is in an organized environment, I feel less hesitant to give part of the money.  ",0,0,0.208,0,47,Yes,4,0,6,672a6f5fc7bda7ce7ce814a7,693327280fddf24e657f6892,69329b66cdf616d8bedeae7f,kw,,'-$4,$0,$4,'-$2,'-$6,$0,'-$4,,,,,Working at a retail store and a customer asks for a discount but you tell them there's none.  ,It feels like giving a coupon code when purchasing something.  ,"I feels like telling a group of customers that there's a buy one get one free deal, so if they work it out with another person, they end up paying half of the price.  ",'-$8,"I feels similar to a group trying to accomplish something at any cost, even if that means giving up 2/3 of the resources.  ",$2,$0,'-$4,$4,$8,$0,$4,$6,,,,,It feels similar to a situation which you have the option of donating your earnings and not donating any of it.  ,It kind of feels like when giving a child some money at a fair.  You look in your wallet and give them just enough to get something worthwhile for them.    ,It feels similar to winning a game with your friend and splitting the reward evenly.  ,"It feels similar to when receiving 4 $5 voucher to a restaurant from work, and giving 3 of them to a friend when I heard they were going to that restaurant.  ",8,"In all honestly, it just felt right.  I don't have any statistical or a sound reasoning behind this number.  Given the situation, lowering the price to half just seems like everything would work for all parties involved.   ","In all honestly, with the given situation, it's feels a bit like donating to a cause.  Unless I know how the money will be used, it's hard for me to give money to someone.  For instance, when a homeless person asks for money, I hesitate most of the time because I don't know how they will use it.  Would they use it for necessities or waste it on something they don't need.  In most cases, I rather buy them food or something of their need, than to give them cash.  I sort of have the same feeling right now.  But considering this study is in an organized environment, I feel less hesitant to give part of the money.  ",1,0,2,1,
2025-12-05 19:00:35,2025-12-05 19:14:40,IP Address,,100,844,True,2025-12-05 19:14:40,R_6HWUbA2y9rvswSd,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,,,0,0,2.01,0,I imagine this is similar to selling something you own with someone else and essentially agreeing to each take half of the money.,I imagine this is similar to negotiating a higher price for an item you are selling.,I find this similar to offering someone offering a discount on something they are selling because they are friendly with the person they are selling it to.,I imagine this is similar to accepting the first price someone offers you for an item because you find it fair enough.,5.151,9.341,15.924,4,"I feel that as the provider, I am doing more than the broker is. Therefore, I should make more than the broker. I find $8 to be a fair amount so I think it is fair to just accept that amount.",0,0,0.215,0,Blue,Purple,Yellow,Green,Red,Orange,..another participant from Prolific,..affects earnining for both you and your match,0,0,2.008,0,"I find this situation similar to one employee at a restaurant taking tips from the pooled tip jar without telling the other employees, essentially just taking more for themselves.","I imagine it is similar to winning a prize and giving a small amount to someone else as a gift. Like winning a cash raffle at an event and giving a little bit to a friend you went to the event with, just to be nice.","I find this similar to sharing incomes between a couple. My husband and I make slightly different amounts of money, but we pool our incomes and split our discretionary money equally.","I find this similar to getting paid differently than your coworkers. For example, sometimes coworkers do the same jobs but some coworkers get paid more. The coworker getting paid more doesn't transfer money to their coworkers to equalize the situation, they just accept their pay and move on.",5.209,8.057,15.795,2,"I transferred $4 to the other participant because it only seems fair that we get equal amounts. I did not do anything special to deserve more money than the other participant. Additionally, If I were the other participant, I would want the other person to split the money equally with me.",0,0,0.211,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,Yes,7,0,8,5e7abb2c6c89e4000a180b4a,69332bcb8ab5cec36a0b8f5a,69329b66cdf616d8bedeae7f,lt,,'-$2,$4,'-$4,$0,'-$4,$0,'-$6,I imagine this is similar to negotiating a higher price for an item you are selling.,I imagine this is similar to accepting the first price someone offers you for an item because you find it fair enough.,I imagine this is similar to selling something you own with someone else and essentially agreeing to each take half of the money.,I find this similar to offering someone offering a discount on something they are selling because they are friendly with the person they are selling it to.,,,,'-$8,,'-$4,$2,$4,$0,$6,$0,$4,$8,"I find this similar to sharing incomes between a couple. My husband and I make slightly different amounts of money, but we pool our incomes and split our discretionary money equally.","I imagine it is similar to winning a prize and giving a small amount to someone else as a gift. Like winning a cash raffle at an event and giving a little bit to a friend you went to the event with, just to be nice.","I find this similar to getting paid differently than your coworkers. For example, sometimes coworkers do the same jobs but some coworkers get paid more. The coworker getting paid more doesn't transfer money to their coworkers to equalize the situation, they just accept their pay and move on.","I find this situation similar to one employee at a restaurant taking tips from the pooled tip jar without telling the other employees, essentially just taking more for themselves.",,,,,4,"I feel that as the provider, I am doing more than the broker is. Therefore, I should make more than the broker. I find $8 to be a fair amount so I think it is fair to just accept that amount.","I transferred $4 to the other participant because it only seems fair that we get equal amounts. I did not do anything special to deserve more money than the other participant. Additionally, If I were the other participant, I would want the other person to split the money equally with me.",1,0,2,1,
2025-12-05 19:07:24,2025-12-05 19:14:56,IP Address,,100,451,True,2025-12-05 19:14:56,R_8oSfDm5IHJYXrMU,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,"If your pair is selected, you (the data provider) receive the price you set as a bonus, and the broker receives the profit of $12 minus the price you set.",0,0,2.006,0,Reducing the price for a clothing item that I'd be selling ,Getting a discount online,Buying something without a discount because I need it asap ,Increasing the price of something i have that is in demand,0.986,5.642,8.796,6,Because I want the maximum amount. ,0,0,0.203,0,Blue,Purple,Yellow,Green,Red,Orange,,,0,0,2.114,0,I find it similar to paying somone back for money that I owe,Owing a good friend money,"Not asking nor giving anything, the position i like to be in",Giving someone money in an emergency,2.356,2.356,6.895,1,I like money more than my counterpart,0,0,0.207,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,Yes,3,0,12,615f5864ae2a546caed7137c,69332bee824d684ab38dee63,69329b66cdf616d8bedeae7f,lt,,'-$4,'-$2,$0,$4,'-$4,'-$8,'-$6,Increasing the price of something i have that is in demand,Buying something without a discount because I need it asap ,Getting a discount online,Reducing the price for a clothing item that I'd be selling ,,,,$0,,'-$4,$4,$0,$2,$8,$4,$6,$0,Owing a good friend money,Giving someone money in an emergency,"Not asking nor giving anything, the position i like to be in",I find it similar to paying somone back for money that I owe,,,,,12,Because I want the maximum amount. ,I like money more than my counterpart,1,1,1,2,
2025-12-05 19:03:18,2025-12-05 19:16:02,IP Address,,100,763,True,2025-12-05 19:16:02,R_370VGRX4xXoJAq5,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,,,,,,,,,,,,,,,,,,,,Blue,Purple,Yellow,Green,Red,Orange,..another participant from Prolific,..affects earnining for both you and your match,,,,,,,,,,,,,,,,,,0,0,2.114,0,I replace item from shopping basket to shelf at grocer's.,Discount at store from being member of shopping club.,Typical price billed these days.,Giving a deduction for friends.,21.894,37.317,39.861,2,I can afford to be generous in this virtual transaction.,0,0,0.205,0,0,0,2.11,0,Buying coffee for a friend.,This week's transfers to others.,Getting closer to my decision.,Tip for delivery.,10.701,14.803,16.155,2,"I feel happy to allocate equal shares,",0,0,0.217,0,75,No,,0,12,6644cd28fd7654a27299baff,69332c67fa6e5f841fec9303,69329b66cdf616d8bedeae7f,kw,,$0,$4,'-$4,'-$2,'-$4,'-$8,$0,,,,,Typical price billed these days.,I replace item from shopping basket to shelf at grocer's.,Giving a deduction for friends.,'-$6,Discount at store from being member of shopping club.,$2,$4,$0,'-$4,$4,$0,$8,$6,,,,,This week's transfers to others.,Buying coffee for a friend.,Tip for delivery.,Getting closer to my decision.,6,I can afford to be generous in this virtual transaction.,"I feel happy to allocate equal shares,",1,0,2,1,
2025-12-05 19:16:13,2025-12-05 19:16:22,IP Address,,100,9,True,2025-12-05 19:16:23,R_8QXM4xAIPh5zmjM,,,,,,,anonymous,EN,,,Not interested at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,60cf951b773e200e3366d848,69332f75c3847151e4a06a11,69329b66cdf616d8bedeae7f,,,'-$4,$0,'-$2,$4,'-$6,$0,'-$4,,,,,,,,'-$8,,$0,'-$4,$4,$2,$4,$6,$0,$8,,,,,,,,,,,,0,,,,
2025-12-05 19:02:35,2025-12-05 19:17:15,IP Address,,100,880,True,2025-12-05 19:17:16,R_2qVA0jZLcWCsXXs,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,,,,,,,,,,,,,,,,,,,,Blue,Purple,Yellow,Green,Red,Orange,..another participant from Prolific,..affects earnining for both you and your match,,,,,,,,,,,,,,,,,,0,0,2.109,0,im not sure if this is good or bad for me so im not sure how to feel or what it reminds me of but i will say it reminds me of when i got a sweater for half off. ,this reminds me of two people negotiating down and one getting a much better dela than the other. ,this reminds me of two people negotiating down and one getting a much better dela than the other. ,this reminds me of one person getting everything and the other person getting nothing ,5.475,24.807,29.993,6,"im not sure this part of the study is very unclear to me, im not sure if it is in my best interest for the price to be lower or higher. im not sure if im buying or selling that data. ",0,0,0.204,0,0,0,2.01,0,when a group of people gave more than half the money to a charity.,when two people did not share any of their money with people in need. ,when i and a friend spit money we won in half,when i gave less than half of my money to a friend and kept more money for myself. ,7.731,9.859,12.033,2,"i do not know who the person is so i do not feel that i owe them that much, but i do not want to give them nothing. i feel i owe them something even if i dont know them at all. ",0,0,0.207,0,34,Yes,8,0,6.5,65f98f88e930149a09c81d7d,69332c45fa24d0213f601efb,69329b66cdf616d8bedeae7f,kw,,$0,'-$4,'-$2,$4,'-$6,'-$8,'-$4,,,,,this reminds me of one person getting everything and the other person getting nothing ,this reminds me of two people negotiating down and one getting a much better dela than the other. ,im not sure if this is good or bad for me so im not sure how to feel or what it reminds me of but i will say it reminds me of when i got a sweater for half off. ,$0,this reminds me of two people negotiating down and one getting a much better dela than the other. ,'-$4,$0,$4,$2,$8,$0,$6,$4,,,,,when two people did not share any of their money with people in need. ,when i gave less than half of my money to a friend and kept more money for myself. ,when i and a friend spit money we won in half,when a group of people gave more than half the money to a charity.,9,"im not sure this part of the study is very unclear to me, im not sure if it is in my best interest for the price to be lower or higher. im not sure if im buying or selling that data. ","i do not know who the person is so i do not feel that i owe them that much, but i do not want to give them nothing. i feel i owe them something even if i dont know them at all. ",1,0,2,1,
2025-12-05 19:09:27,2025-12-05 19:17:26,IP Address,,100,479,True,2025-12-05 19:17:26,R_5DEP3bKO7geuj2p,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,,,0,0,2.106,0,Not negotiating rent with my landlord and accepting the price offered.,Negotiating a raise with my boss.,Getting paid for my work while most of the money goes to my boss.,Being selfless and helping out someone else with money who might need it.,7.794,7.794,10.093,1,I'm happy with the amount I was initially offered.,0,0,0.203,0,Blue,Purple,Yellow,Green,Red,Orange,..another participant from Prolific,..affects earnining for both you and your match,0,0,2.117,0,Handing $2 to someone on the street.,Not donating when I walk past a charity bucket.,Giving my friend some money when they're in need.,Paying taxes to the government that already has enough money.,8.486,14.274,15.406,2,I'm happy with the amount I already received.,0,0,0.102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,No,,0,8,692db6ccc16d2f8842a43fa4,69332de190212323aec5075f,69329b66cdf616d8bedeae7f,lt,,$0,$4,'-$4,'-$2,'-$8,'-$4,$0,Negotiating a raise with my boss.,Not negotiating rent with my landlord and accepting the price offered.,Being selfless and helping out someone else with money who might need it.,Getting paid for my work while most of the money goes to my boss.,,,,'-$6,,$2,$0,'-$4,$4,$6,$4,$8,$0,Paying taxes to the government that already has enough money.,Handing $2 to someone on the street.,Not donating when I walk past a charity bucket.,Giving my friend some money when they're in need.,,,,,8,I'm happy with the amount I was initially offered.,I'm happy with the amount I already received.,1,0,2,1,
2025-12-05 19:01:20,2025-12-05 19:18:36,IP Address,,100,1035,True,2025-12-05 19:18:37,R_5DwiNGNNXkYdAti,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,,,,,,,,,,,,,,,,,,,,Blue,Purple,Yellow,Green,Red,Orange,..another participant from Prolific,..affects earnining for both you and your match,,,,,,,,,,,,,,,,,,0,0,2.12,0,This would be like selling an item online and heavily discounting the product. ,This is like selling a product online and keeping the price the same because you don't think it needs any adjustment. ,This is like selling a product and giving a small discount to your friends and family. ,"This would be like selling a product at half price, lowering it a lot. ",2.588,2.588,4.149,1,I wanted to offer a discount to the product without losing too much money. ,0,0,0.215,0,0,0,2.039,0,"I would feel bad doing this, a situation that feels similar would be working on a team project at work and then taking full credit for it and receiving full pay for it. Meanwhile, you don't tell your manager that your partner also contributed work to the project. ",I think this is the fairest choice. It is like going out on a date and splitting the check equally. Simple and straightforward and fair. ,"I think this is a bit selfish, but sort of acceptable since you are still giving something to someone else. It is like if you did a group project and took most of the credit and giving everyone else only partial credit. ","This is quite generous, it would be like finding money on the ground and giving most of it to the next person that you see. ",3.388,4.283,5.8,2,I wanted to act generously. ,0,0,0.114,0,27,Yes,5,0,5.5,5eb5f6d5e38e9f4e6c8dde3f,69332bca966c649862d34166,69329b66cdf616d8bedeae7f,kw,,$0,$4,'-$4,'-$2,'-$8,$0,'-$4,,,,,This is like selling a product online and keeping the price the same because you don't think it needs any adjustment. ,This is like selling a product and giving a small discount to your friends and family. ,"This would be like selling a product at half price, lowering it a lot. ",'-$6,This would be like selling an item online and heavily discounting the product. ,$0,'-$4,$4,$2,$0,$6,$4,$8,,,,,"I would feel bad doing this, a situation that feels similar would be working on a team project at work and then taking full credit for it and receiving full pay for it. Meanwhile, you don't tell your manager that your partner also contributed work to the project. ","I think this is a bit selfish, but sort of acceptable since you are still giving something to someone else. It is like if you did a group project and took most of the credit and giving everyone else only partial credit. ",I think this is the fairest choice. It is like going out on a date and splitting the check equally. Simple and straightforward and fair. ,"This is quite generous, it would be like finding money on the ground and giving most of it to the next person that you see. ",0,I wanted to offer a discount to the product without losing too much money. ,I wanted to act generously. ,1,0,2,1,
2025-12-05 19:08:35,2025-12-05 19:18:43,IP Address,,100,607,True,2025-12-05 19:18:44,R_50og9L6TmL9CRBQ,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,,,,,,,,,,,,,,,,,,,,Blue,Purple,Yellow,Green,Red,Orange,..another participant from Prolific,..affects earnining for both you and your match,,,,,,,,,,,,,,,,,,0,0,2.008,0,The exercise we just did. It also feels like undervaluing my work.,Taking less now to continue earning more in the future with this broker.,Undervaluing my work and role in this business.,Asking someone to work for free.,10.6,16.4,18.941,2,"Since I'm the one who did all the work, and the broker can't do his work unless I do mine, I am more responsible for the overall project. And likely spent considerably more time working on it.",0,0,0.207,0,0,0,2.009,0,A project where I am the leader that sets everything up and they are the employee who comes in later in the process.,Being greedy. Our current administration.,Being very generous. Maybe not looking out for myself.,Fairness and equality.,6.223,13.906,16.348,3,"While I could really use the money, I know I would feel bad if I wasn't fair. It felt like the right thing to do.",0,0,0.206,0,56,Yes,1,0,8.5,652ef14a9b030a4423aba2b2,69332daa95a930d7100ce5f4,69329b66cdf616d8bedeae7f,kw,,'-$2,$4,$0,'-$4,'-$6,'-$4,'-$8,,,,,Asking someone to work for free.,Taking less now to continue earning more in the future with this broker.,The exercise we just did. It also feels like undervaluing my work.,$0,Undervaluing my work and role in this business.,$4,$0,$2,'-$4,$4,$0,$8,$6,,,,,Being greedy. Our current administration.,A project where I am the leader that sets everything up and they are the employee who comes in later in the process.,Fairness and equality.,Being very generous. Maybe not looking out for myself.,6,"Since I'm the one who did all the work, and the broker can't do his work unless I do mine, I am more responsible for the overall project. And likely spent considerably more time working on it.","While I could really use the money, I know I would feel bad if I wasn't fair. It felt like the right thing to do.",1,0,2,1,
2025-12-05 19:06:09,2025-12-05 19:18:45,IP Address,,100,755,True,2025-12-05 19:18:45,R_7HwsiyzPGsDuKdZ,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,,,0,0,2.01,0,"I produce some sort of retail object, maybe art prints. I have a usual sales price, and I sell it for that amount. ",Maybe I sold an art print at a discounted rate to a friend or member of my family as a courtesy,Maybe I sold an art print at a discounted rate to a friend or member of my family as a courtesy,Maybe I am selling that art print where the clientele is more wealthy and I think I can get away with upcharging,4.301,29.169,29.922,6,"Honestly, I know this is basically the same scenario as the first in that we are each being allocated a bonus and I can change it. But my instinct was to raise the price so that I could get more money and it didn't make me feel as guilty thinking of it as another person just making less profit, instead of thinking of it as me taking their money. ",0,0,0.206,0,Blue,Purple,Yellow,Green,Red,Orange,..another participant from Prolific,..affects earnining for both you and your match,0,0,2.113,0,"I know I'm going to be splitting a bill at a restaurant down the middle with someone else, but I go ahead and order an extra drink even though the other person isn't getting one",I bought my friend a drink while we were out,"My friend and I went out to eat two nights in a row. I paid for one night, they paid for the other. I covered the slightly  more expensive night. ",I went out with my friend and we each paid our own bills. ,3.914,20.656,21.254,8,I don't feel the need to give a stranger money just because I was given more. But I also would feel guilty taking money that had already been assigned to them. ,0,0,0.218,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,Yes,5,0,10,65dba581504a6a75a4d6f016,69332d1bbdd9466499d25b62,69329b66cdf616d8bedeae7f,lt,,$0,'-$4,'-$2,$4,'-$4,$0,'-$6,Maybe I am selling that art print where the clientele is more wealthy and I think I can get away with upcharging,"I produce some sort of retail object, maybe art prints. I have a usual sales price, and I sell it for that amount. ",Maybe I sold an art print at a discounted rate to a friend or member of my family as a courtesy,Maybe I sold an art print at a discounted rate to a friend or member of my family as a courtesy,,,,'-$8,,'-$4,$4,$2,$0,$0,$8,$6,$4,I bought my friend a drink while we were out,"My friend and I went out to eat two nights in a row. I paid for one night, they paid for the other. I covered the slightly  more expensive night. ",I went out with my friend and we each paid our own bills. ,"I know I'm going to be splitting a bill at a restaurant down the middle with someone else, but I go ahead and order an extra drink even though the other person isn't getting one",,,,,8,"Honestly, I know this is basically the same scenario as the first in that we are each being allocated a bonus and I can change it. But my instinct was to raise the price so that I could get more money and it didn't make me feel as guilty thinking of it as another person just making less profit, instead of thinking of it as me taking their money. ",I don't feel the need to give a stranger money just because I was given more. But I also would feel guilty taking money that had already been assigned to them. ,1,0,2,1,
