rater,replicate,context_id,target_game,frame,vignette_family,total_points,n_vignettes,mean_points_per_vignette,normalized_family_mean_share
relative-agent-1,1,T12,UG,Aid,DG,170,6,28.333333333333332,0.21451104100946375
relative-agent-1,1,T12,UG,Aid,TG,150,8,18.75,0.14195583596214514
relative-agent-1,1,T12,UG,Aid,UG,680,8,85.0,0.6435331230283913
relative-agent-2,1,T01,UG,Control,DG,110,6,18.333333333333332,0.1414790996784566
relative-agent-2,1,T01,UG,Control,TG,110,8,13.75,0.10610932475884247
relative-agent-2,1,T01,UG,Control,UG,780,8,97.5,0.7524115755627011
relative-agent-2,1,T02,TG,Aid,DG,150,6,25.0,0.19047619047619047
relative-agent-2,1,T02,TG,Aid,TG,760,8,95.0,0.7238095238095238
relative-agent-2,1,T02,TG,Aid,UG,90,8,11.25,0.08571428571428572
relative-agent-2,1,T03,TG,Market,DG,80,6,13.333333333333334,0.10389610389610392
relative-agent-2,1,T03,TG,Market,TG,840,8,105.0,0.8181818181818183
relative-agent-2,1,T03,TG,Market,UG,80,8,10.0,0.07792207792207793
relative-agent-2,1,T04,DG,Aid,DG,820,6,136.66666666666666,0.8586387434554974
relative-agent-2,1,T04,DG,Aid,TG,85,8,10.625,0.06675392670157068
relative-agent-2,1,T04,DG,Aid,UG,95,8,11.875,0.07460732984293195
relative-agent-2,1,T05,UG,Market,DG,100,6,16.666666666666668,0.12903225806451615
relative-agent-2,1,T05,UG,Market,TG,100,8,12.5,0.09677419354838711
relative-agent-2,1,T05,UG,Market,UG,800,8,100.0,0.7741935483870969
relative-agent-2,1,T06,DG,Control,DG,830,6,138.33333333333334,0.8668407310704961
relative-agent-2,1,T06,DG,Control,TG,80,8,10.0,0.06266318537859007
relative-agent-2,1,T06,DG,Control,UG,90,8,11.25,0.07049608355091383
relative-agent-2,1,T07,UG,Bonus,DG,260,6,43.333333333333336,0.31901840490797545
relative-agent-2,1,T07,UG,Bonus,TG,50,8,6.25,0.046012269938650305
relative-agent-2,1,T07,UG,Bonus,UG,690,8,86.25,0.6349693251533742
relative-agent-2,1,T08,TG,Bonus,DG,250,6,41.666666666666664,0.3076923076923077
relative-agent-2,1,T08,TG,Bonus,TG,700,8,87.5,0.6461538461538462
relative-agent-2,1,T08,TG,Bonus,UG,50,8,6.25,0.046153846153846156
relative-agent-2,1,T09,TG,Control,DG,90,6,15.0,0.11650485436893204
relative-agent-2,1,T09,TG,Control,TG,820,8,102.5,0.7961165048543689
relative-agent-2,1,T09,TG,Control,UG,90,8,11.25,0.08737864077669903
relative-agent-2,1,T10,DG,Market,DG,780,6,130.0,0.8253968253968254
relative-agent-2,1,T10,DG,Market,TG,90,8,11.25,0.07142857142857142
relative-agent-2,1,T10,DG,Market,UG,130,8,16.25,0.10317460317460317
relative-agent-2,1,T11,DG,Bonus,DG,850,6,141.66666666666666,0.8831168831168831
relative-agent-2,1,T11,DG,Bonus,TG,50,8,6.25,0.03896103896103896
relative-agent-2,1,T11,DG,Bonus,UG,100,8,12.5,0.07792207792207792
relative-agent-2,1,T12,UG,Aid,DG,150,6,25.0,0.19047619047619047
relative-agent-2,1,T12,UG,Aid,TG,90,8,11.25,0.08571428571428572
relative-agent-2,1,T12,UG,Aid,UG,760,8,95.0,0.7238095238095238
relative-agent-3,1,T01,UG,Control,DG,120,6,20.0,0.15384615384615385
relative-agent-3,1,T01,UG,Control,TG,80,8,10.0,0.07692307692307693
relative-agent-3,1,T01,UG,Control,UG,800,8,100.0,0.7692307692307693
relative-agent-3,1,T02,TG,Aid,DG,200,6,33.333333333333336,0.25
relative-agent-3,1,T02,TG,Aid,TG,680,8,85.0,0.6375
relative-agent-3,1,T02,TG,Aid,UG,120,8,15.0,0.11249999999999999
relative-agent-3,1,T03,TG,Market,DG,70,6,11.666666666666666,0.09120521172638436
relative-agent-3,1,T03,TG,Market,TG,830,8,103.75,0.8110749185667752
relative-agent-3,1,T03,TG,Market,UG,100,8,12.5,0.09771986970684039
relative-agent-3,1,T04,DG,Aid,DG,700,6,116.66666666666667,0.7567567567567567
relative-agent-3,1,T04,DG,Aid,TG,120,8,15.0,0.09729729729729729
relative-agent-3,1,T04,DG,Aid,UG,180,8,22.5,0.14594594594594593
relative-agent-3,1,T05,UG,Market,DG,120,6,20.0,0.15384615384615385
relative-agent-3,1,T05,UG,Market,TG,100,8,12.5,0.09615384615384616
relative-agent-3,1,T05,UG,Market,UG,780,8,97.5,0.75
relative-agent-3,1,T06,DG,Control,DG,800,6,133.33333333333334,0.8421052631578948
relative-agent-3,1,T06,DG,Control,TG,80,8,10.0,0.06315789473684211
relative-agent-3,1,T06,DG,Control,UG,120,8,15.0,0.09473684210526315
relative-agent-3,1,T07,UG,Bonus,DG,250,6,41.666666666666664,0.3076923076923077
relative-agent-3,1,T07,UG,Bonus,TG,70,8,8.75,0.06461538461538462
relative-agent-3,1,T07,UG,Bonus,UG,680,8,85.0,0.6276923076923078
relative-agent-3,1,T08,TG,Bonus,DG,280,6,46.666666666666664,0.34146341463414637
relative-agent-3,1,T08,TG,Bonus,TG,620,8,77.5,0.5670731707317074
relative-agent-3,1,T08,TG,Bonus,UG,100,8,12.5,0.09146341463414635
relative-agent-3,1,T09,TG,Control,DG,90,6,15.0,0.11650485436893204
relative-agent-3,1,T09,TG,Control,TG,800,8,100.0,0.7766990291262136
relative-agent-3,1,T09,TG,Control,UG,110,8,13.75,0.10679611650485436
relative-agent-3,1,T10,DG,Market,DG,800,6,133.33333333333334,0.8421052631578948
relative-agent-3,1,T10,DG,Market,TG,90,8,11.25,0.07105263157894737
relative-agent-3,1,T10,DG,Market,UG,110,8,13.75,0.08684210526315789
relative-agent-3,1,T11,DG,Bonus,DG,780,6,130.0,0.8253968253968254
relative-agent-3,1,T11,DG,Bonus,TG,80,8,10.0,0.06349206349206349
relative-agent-3,1,T11,DG,Bonus,UG,140,8,17.5,0.1111111111111111
relative-agent-3,1,T12,UG,Aid,DG,220,6,36.666666666666664,0.2732919254658385
relative-agent-3,1,T12,UG,Aid,TG,90,8,11.25,0.08385093167701864
relative-agent-3,1,T12,UG,Aid,UG,690,8,86.25,0.6428571428571429
