StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,attention_check_1,attention_check_2,attention_check_3,attention_check_4,Q3,Q4,Q231,Q237_First Click,Q237_Last Click,Q237_Page Submit,Q237_Click Count,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q235,Q224,Q240,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,treatment,transfer,reasons,beliefs,P1_CHOICE,P1_ID,attention_check,Q_DataPolicyViolations
2026-04-21 13:38:41,2026-04-21 13:41:35,IP Address,,100,174,True,2026-04-21 13:41:36,R_2n8heZMC7TTSKp3,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,4.682,0,0,0,2.121,0,Accept,I figured if I didn't accept I would get nothing. It didn't seem like a brilliant price but better than nothing,Reject,0,,5e32e0de688cae29eaf66112,69e77dd8903bc7c6e356c2e6,69e77a006a79977a2df1e51b,,,I figured if I didn't accept I would get nothing. It didn't seem like a brilliant price but better than nothing,,6,698396e7832eeed81b5796a2,1,
2026-04-21 13:38:37,2026-04-21 13:41:51,IP Address,,100,194,True,2026-04-21 13:41:52,R_3yrq7YlYc5bU1Nu,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,3.872,0,0,0,2.014,0,Reject,I didn't think it was a fair division of the payout. I thought I would get a little more. ,Accept,0,,69d1ccc14c6b3a17db4d591c,69e77dd4a724008bcd8a25a7,69e77a006a79977a2df1e51b,,,I didn't think it was a fair division of the payout. I thought I would get a little more. ,,10,69a96f0c4eda54365d2bb428,1,
2026-04-21 13:38:15,2026-04-21 13:42:00,IP Address,,100,224,True,2026-04-21 13:42:00,R_7mWBRqnEaY89VNB,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..is irrelevant for the final payment,..affects both the broker's and the data provider's final payment,,,,,,,,,,,,1,,6629658113ec221fd75635bb,69e77db3523fdb3b118d2331,69e77a006a79977a2df1e51b,,,,,,,1,
2026-04-21 13:40:33,2026-04-21 13:43:06,IP Address,,100,153,True,2026-04-21 13:43:07,R_87dv1NLjBttwPhY,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,4.113,0,0,0,2.006,0,Accept,I accepted this as it means it is an equal split of £4 each therefore it is fair.,,0,,615239b73d2309dcf9786a1d,69e77e4beea18453a8018bc9,69e77a006a79977a2df1e51b,,,I accepted this as it means it is an equal split of £4 each therefore it is fair.,,8,69b9d08c881940a5651e52ef,1,
2026-04-21 13:38:52,2026-04-21 13:43:53,IP Address,,100,301,True,2026-04-21 13:43:54,R_5WKRSKTnMWSJCUN,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,4.471,0,0,0,2.118,0,Accept,"To my understanding of this, this seems like a fair price for this.",,0,,6983842bdb72ee335a21b307,69e77de218aff6e31037cdd8,69e77a006a79977a2df1e51b,,,"To my understanding of this, this seems like a fair price for this.",,8,654455ad0b76675379c66db4,1,
2026-04-21 13:38:27,2026-04-21 13:44:20,IP Address,,100,352,True,2026-04-21 13:44:20,R_32Qp7Nyc0STwNWP,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,2.855,0,0,0,2.008,0,Accept,"I saw that if we reject it, no one gets anything. They get $12 which is fair, given that they did the work. ",Accept,0,,66523583ea4a0dfa62f2f45b,69e77d8940166b3309ba28e7,69e77a006a79977a2df1e51b,,,"I saw that if we reject it, no one gets anything. They get $12 which is fair, given that they did the work. ",,12,69e63f077b657f6bd10d059a,1,
2026-04-21 13:38:08,2026-04-21 13:44:47,IP Address,,100,398,True,2026-04-21 13:44:48,R_1MPTtp5otM2bx6D,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,2.964,0,0,0,2.005,0,Accept,I got a huge profit margin.,Accept,0,,69add171b00d8e59bd82419e,69e77dbaaa6bf1b09ddf6499,69e77a006a79977a2df1e51b,,,I got a huge profit margin.,,1,6766942e671d098defb68aff,1,
2026-04-21 13:41:37,2026-04-21 13:45:01,IP Address,,100,204,True,2026-04-21 13:45:02,R_7AWl4Qi6h1STMvt,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,3.151,0,0,0,2.113,0,Reject,"No way I’m going to buy something when I’m getting nothing, I’m better off letting it not go through, I was thinking 6 and 6",Reject,0,,69d713c8327f07de14d16dab,69e77e819671f22fac08cb3d,69e77a006a79977a2df1e51b,,,"No way I’m going to buy something when I’m getting nothing, I’m better off letting it not go through, I was thinking 6 and 6",,12,5b64cf6dae3bd50001a2b142,1,
2026-04-21 13:35:47,2026-04-21 13:45:10,IP Address,,100,563,True,2026-04-21 13:45:11,R_7giuroFkRtTCZXh,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,3.29,0,0,0,2.007,0,Accept,It's the best possible deal I can get. I would definitely take the $12.,Accept,1,,69c2b4657d8172227df9fcd5,69e77d2cbd96ffe72edfbab9,69e77a006a79977a2df1e51b,,,It's the best possible deal I can get. I would definitely take the $12.,,0,69dfc6c1c882005305b132bc,1,
2026-04-21 13:40:30,2026-04-21 13:45:19,IP Address,,100,288,True,2026-04-21 13:45:19,R_1G94majbqkmEaQq,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,2.938,0,0,0,2.003,0,Accept,"I would accept the offer because it provides a clear and positive benefit to me. I earn a $5 profit, which is a strong return. If I rejected the offer, I would earn $0, so accepting is the better option. ",Accept,0,,69c28ddad0c306c2f4e74af1,69e77e48e7f4404a366610be,69e77a006a79977a2df1e51b,,,"I would accept the offer because it provides a clear and positive benefit to me. I earn a $5 profit, which is a strong return. If I rejected the offer, I would earn $0, so accepting is the better option. ",,7,566a3e0e7da0350012b3ec49,1,
2026-04-21 13:41:13,2026-04-21 13:45:27,IP Address,,100,253,True,2026-04-21 13:45:27,R_7g1lXnACj9bv7kS,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,4.042,0,0,0,2.028,0,Accept,The way I understand the instructions is if I don't accept then neither I or the other participant gets any potential bonuses. I have no reason to not accept the offer,,0,,663a68aa742bcff8b0f8c014,69e77e66d32d418dc9a37172,69e77a006a79977a2df1e51b,,,The way I understand the instructions is if I don't accept then neither I or the other participant gets any potential bonuses. I have no reason to not accept the offer,,8,611ff6cc935b6de3fff0b896,1,
2026-04-21 13:42:55,2026-04-21 13:45:34,IP Address,,100,159,True,2026-04-21 13:45:35,R_2hSfJNedyxyV6jI,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,4.187,0,0,0,2.013,0,Accept,This is a fair offer where we both receive $6 each.  I am happy with that.,Reject,0,,5e21a211061ea84908aaf512,69e77ed8d6fbf593088f2055,69e77a006a79977a2df1e51b,,,This is a fair offer where we both receive $6 each.  I am happy with that.,,6,691ca5b22ee4008c53e87ee1,1,
2026-04-21 13:41:42,2026-04-21 13:45:45,IP Address,,100,242,True,2026-04-21 13:45:45,R_3P3tytwpqgsotcR,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,3.335,0,0,0,2.104,0,Accept,My only choice was for between 0$ and 4$.  The data provider had more leverage and utilized it to gain more money.  There is no open market option to replace the data providers input.,,0,,69e65d9d129c927c03bbe4ae,69e77e82a2490c69dfe1128d,69e77a006a79977a2df1e51b,,,My only choice was for between 0$ and 4$.  The data provider had more leverage and utilized it to gain more money.  There is no open market option to replace the data providers input.,,8,56a25853dbe850000cfcd1e4,1,
2026-04-21 13:42:01,2026-04-21 13:46:24,IP Address,,100,263,True,2026-04-21 13:46:24,R_7OUYSG0c0EtwWtT,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,4.483,0,0,0,2.032,0,Accept,I figured that 4 dollars was better than 0 dollars. ,,0,,5f7529755aaa0e1a6e804640,69e77e9e6480de996c7d291e,69e77a006a79977a2df1e51b,,,I figured that 4 dollars was better than 0 dollars. ,,8,698bf2bdf599a50acce1a7ec,1,
2026-04-21 13:43:12,2026-04-21 13:47:24,IP Address,,100,251,True,2026-04-21 13:47:24,R_3C3H0mzp1j6xFtL,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,3.296,0,0,0,2.012,0,Accept,I trust their decision and have faith that they are being fair and truthful.,Accept,0,,695f8b0b74bf85dd2856b11b,69e77ee7fa4a81ad8bb267aa,69e77a006a79977a2df1e51b,,,I trust their decision and have faith that they are being fair and truthful.,,10,699fa8c620ad93f6736a23e3,1,
2026-04-21 13:45:34,2026-04-21 13:50:30,IP Address,,100,296,True,2026-04-21 13:50:31,R_6rp5bafWvvntWZp,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,4.002,0,0,0,2.031,0,Accept,I think that is a fair price for the data. It's a reasonable amount for the broker and the computer to each have.,Accept,0,,69e50dd9979ea92c1a3195b8,69e77f722e09cc7ed1d07955,69e77a006a79977a2df1e51b,,,I think that is a fair price for the data. It's a reasonable amount for the broker and the computer to each have.,,6,69b2b2e4711347f1161fe7b4,1,
2026-04-21 13:45:20,2026-04-21 13:50:59,IP Address,,100,339,True,2026-04-21 13:51:00,R_2FFBmtyHhNRTH1u,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,8.021,0,0,0,2.012,0,Reject,I will not get any payment or benefit from this decision,Accept,0,,5ef647ec3ce68a1178780f5a,69e77f697206d6d424d75593,69e77a006a79977a2df1e51b,,,I will not get any payment or benefit from this decision,,12,6113a0516926dc17e9e7730b,1,
2026-04-21 13:42:48,2026-04-21 13:51:01,IP Address,,100,493,True,2026-04-21 13:51:02,R_6p3Y1UG2lPaP2gS,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,3.431,0,0,0,2.113,0,Accept,"The pay would be an even split between the broker and provider, so I accepted. There is no reason to refuse an offer of 50% of the cost.",Accept,0,,69abe52064f81f9ea666272f,69e77ece7fe4e3ed5ec530a4,69e77a006a79977a2df1e51b,,,"The pay would be an even split between the broker and provider, so I accepted. There is no reason to refuse an offer of 50% of the cost.",,6,62ab660ba3c192a762b55422,1,
2026-04-21 13:45:20,2026-04-21 13:54:39,IP Address,,100,558,True,2026-04-21 13:54:39,R_8jZJAGr4dJe1iQV,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,3.436,0,0,0,2.02,0,Accept,I get  to sell for  $12,Accept,1,,60b7a14871c2f45995ab8bc5,69e77f5f6412b44ae3758e6c,69e77a006a79977a2df1e51b,,,I get  to sell for  $12,,0,5b75ac687dc4b00001af4e50,1,
2026-04-21 14:27:22,2026-04-21 14:29:50,IP Address,,100,148,True,2026-04-21 14:29:51,R_3RsJGytuMM9Sztv,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,3.192,0,0,0,2.014,0,Accept,"I wasn't thrilled about the other person having me get so little, and I almost rejected it out of spite. But I decided that I'd rather get something than nothing. ",Accept,0,,663e3c2870a87bac315ac450,69e7894490a5554d7ef1ba3a,69e77a006a79977a2df1e51b,,,"I wasn't thrilled about the other person having me get so little, and I almost rejected it out of spite. But I decided that I'd rather get something than nothing. ",,11,69e1d9064f8d74b0930d3e79,1,
2026-04-21 14:29:09,2026-04-21 14:31:34,IP Address,,100,145,True,2026-04-21 14:31:35,R_2nUQiTlRrcraYuZ,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,3.241,0,0,0,2.011,0,Accept,"The amount of currency provided seems fair. Any additional funds, no matter how small is always helpful and will be greatly appreciated.",Reject,0,,63d02427df2794736d147e30,69e789ae148cf4abc8d2923c,69e77a006a79977a2df1e51b,,,"The amount of currency provided seems fair. Any additional funds, no matter how small is always helpful and will be greatly appreciated.",,5,69b0905853b31ad8abd67310,1,
2026-04-21 14:27:58,2026-04-21 14:31:45,IP Address,,100,227,True,2026-04-21 14:31:46,R_7EtBLdlysmLqESA,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,2.784,0,0,0,2.008,0,Reject,No profit margin for me as the broker,Accept,0,,69b738cd38f9c7695332ec6c,69e78966b24c1e254ce2119f,69e77a006a79977a2df1e51b,,,No profit margin for me as the broker,,12,6361684773df215265bd139c,1,
2026-04-21 14:30:03,2026-04-21 14:32:05,IP Address,,100,121,True,2026-04-21 14:32:05,R_2hVeRNUyFRuNlWV,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,3.736,0,0,0,2.111,0,Reject,"i get nothing, whereas the provider gets something",Reject,0,,63ea42db4a818f990ef95828,69e789e5f3ae8fb3cdde9ac7,69e77a006a79977a2df1e51b,,,"i get nothing, whereas the provider gets something",,12,6157750f00a7484cb199b40d,1,
2026-04-21 14:27:35,2026-04-21 14:32:30,IP Address,,100,295,True,2026-04-21 14:32:31,R_3hq6SEtENCTjW9z,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects the broker's earnings,..affects both the broker's and the data provider's final payment,,,,,,,,,,,,1,,697a409dcde01a3513298a61,69e7894e1d95b2f3fd5d7d8e,69e77a006a79977a2df1e51b,,,,,,,1,
2026-04-21 14:28:47,2026-04-21 14:32:32,IP Address,,100,225,True,2026-04-21 14:32:33,R_30YEB0Ai89oCB9A,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,4.033,0,0,0,2.013,0,Reject,The price they set basically screwed me while rewarding them so since I don't really care about 2 bucks I decided I'd rather we both get nothing than let them get away with an obvious ripoff.,Accept,0,,6154c1748e0de2c3afdab62c,69e78999c99d2c8f14a16f8c,69e77a006a79977a2df1e51b,,,The price they set basically screwed me while rewarding them so since I don't really care about 2 bucks I decided I'd rather we both get nothing than let them get away with an obvious ripoff.,,10,5f5b1fe3c6a95e22e2af8908,1,
2026-04-21 14:30:39,2026-04-21 14:32:47,IP Address,,100,128,True,2026-04-21 14:32:48,R_34oqU37J8x5f3U0,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,2.971,0,0,0,2.007,0,Accept,It was definitely a beneficial result for me.,Accept,0,,5ff082234cfb7df5d6371e99,69e78a07fdd144e46279572d,69e77a006a79977a2df1e51b,,,It was definitely a beneficial result for me.,,2,6400f8f41e203f131c68b79f,1,
2026-04-21 14:30:19,2026-04-21 14:33:00,IP Address,,100,161,True,2026-04-21 14:33:00,R_1OZUAH8OGtUXDWV,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,3.7,0,0,0,2.016,0,Reject,I will not accept a price where I get $0,Accept,0,,65ccfdf16bdcab83d5bd1163,69e789f595f0af621427afc3,69e77a006a79977a2df1e51b,,,I will not accept a price where I get $0,,12,66a9843c53827f826e9738ed,1,
2026-04-21 14:27:55,2026-04-21 14:33:11,IP Address,,100,316,True,2026-04-21 14:33:12,R_18A31GYMNYe7mBe,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,4.252,0,0,0,2.008,0,Accept,I figure $4 is a fair price and would rather receive $4 rather than both of us receive $0.,,1,,6638e56cff7ec033bb449819,69e78947e167739eab58aa78,69e77a006a79977a2df1e51b,,,I figure $4 is a fair price and would rather receive $4 rather than both of us receive $0.,,8,580ff8b4b2432b00013e28b5,1,
2026-04-21 14:27:03,2026-04-21 14:33:25,IP Address,,100,381,True,2026-04-21 14:33:25,R_6M2VBoK2zYrj5pn,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,2.779,0,0,0,2.005,0,Accept,Either way I would be getting some form of payment. They will be making more than me even if the price increases. It's not worth the hassle of rejecting,Accept,0,,5e8bebee5701090e77240434,69e7892ecb9a75b8f3b19f0f,69e77a006a79977a2df1e51b,,,Either way I would be getting some form of payment. They will be making more than me even if the price increases. It's not worth the hassle of rejecting,,12,66609a5a71ffefe5cabe1318,1,
2026-04-21 14:27:57,2026-04-21 14:33:35,IP Address,,100,337,True,2026-04-21 14:33:35,R_1gdvQfLfxBDeGik,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,2.784,0,0,0,2.008,0,Reject,"Honestly, if they chose that price knowing I would get 0, then they deserve 0 as well.",Accept,0,,664e288b870040111663ebd1,69e789656cc4a5a8532779f6,69e77a006a79977a2df1e51b,,,"Honestly, if they chose that price knowing I would get 0, then they deserve 0 as well.",,12,592a8ee1dd1a250001b4ee72,1,
