StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,attention_check_1,attention_check_2,attention_check_3,attention_check_4,Q3,Q4,Q231,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q27_First Click,Q27_Last Click,Q27_Page Submit,Q27_Click Count,Q224,Q234_First Click,Q234_Last Click,Q234_Page Submit,Q234_Click Count,Q236_First Click,Q236_Last Click,Q236_Page Submit,Q236_Click Count,Q225_First Click,Q225_Last Click,Q225_Page Submit,Q225_Click Count,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,treatment,transfer,reasons,beliefs,beliefs_hp,attention_check,Q_DataPolicyViolations
2026-04-20 10:06:45,2026-04-20 10:09:54,IP Address,,100,189,True,2026-04-20 10:09:54,R_8r2saePsmrjw1tT,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.007,0,10.179,10.179,11.686,1,it only seems fair to split the money equally,4.592,7.526,8.442,2,7.414,9.151,10.17,2,0,0,0.206,0,0,6,65be503049b019b9990351c0,69e5faad02b3ec9119960341,69e5f3e940b1445faaf04dae,,6,it only seems fair to split the money equally,78,29,1,
2026-04-20 10:07:18,2026-04-20 10:10:18,IP Address,,100,179,True,2026-04-20 10:10:18,R_2qloXFElrdGVd2g,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.109,0,7.958,7.958,9.059,1,"it's just over half so to convince them to accept, anything from the transaction is a bonus to me",8.386,8.386,9.208,1,7.97,7.97,8.874,1,0,0,0.207,0,0,5,62aa3e6e16b472f57ac743a9,69e5fad14df8d82ffb9e384d,69e5f3e940b1445faaf04dae,,7,"it's just over half so to convince them to accept, anything from the transaction is a bonus to me",76,18,1,
2026-04-20 10:06:49,2026-04-20 10:10:22,IP Address,,100,213,True,2026-04-20 10:10:23,R_2jBNxcmynIPg0zN,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.02,0,10.145,13.124,14.073,2,i thought the player 1 would accept this and its not the full amount,6.347,9.677,11.041,3,7.868,7.868,9.9,1,0,0,0.212,0,0,4,5c2956bffbafe300016f7f98,69e5faa9e194a9e650f398b1,69e5f3e940b1445faaf04dae,,8,i thought the player 1 would accept this and its not the full amount,88,17,1,
2026-04-20 10:08:06,2026-04-20 10:10:36,IP Address,,100,150,True,2026-04-20 10:10:37,R_2bZOLKcuO8Abjv2,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.018,0,7.987,7.987,10.062,1,I chose this option because it is fair and a 50/50 split. I have been told if the other player declines we will both receive nothing so i am not going to give them less. If they accept we both have an equal chance of wining 6 dollars.,11.121,11.121,12.143,1,3.422,7.874,8.757,3,0,0,0.207,0,0,6,66e19fa128b8c6c24ce91dce,69e5fafbf01508892a1fd167,69e5f3e940b1445faaf04dae,,6,I chose this option because it is fair and a 50/50 split. I have been told if the other player declines we will both receive nothing so i am not going to give them less. If they accept we both have an equal chance of wining 6 dollars.,75,10,1,
2026-04-20 10:07:41,2026-04-20 10:10:45,IP Address,,100,183,True,2026-04-20 10:10:47,R_6KNik87sapeSyrG,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.024,0,5.644,5.644,11.469,1,I wanted us to get an even share ,6.098,8.145,9.889,3,3.999,3.999,6.699,1,0,0,0.211,0,0,6,63bc87f783afb5aed2c937d2,69e5fae30769ca605a6fd921,69e5f3e940b1445faaf04dae,,6,I wanted us to get an even share ,73,66,1,
2026-04-20 10:07:24,2026-04-20 10:11:01,IP Address,,100,217,True,2026-04-20 10:11:02,R_2i8RatN5yEVvWQU,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.113,0,4.261,5.88,11.225,2,"Because it seemed like a fair amount, any less and there is a chance that it would be rejected and we would get nothing",3.252,7.76,9.197,5,3.381,9.479,11.147,3,0,0,0.208,0,1,6,5e07938c946e970ff5703d97,69e5fad5cb4e3e216c0fa3b1,69e5f3e940b1445faaf04dae,,6,"Because it seemed like a fair amount, any less and there is a chance that it would be rejected and we would get nothing",80,30,1,
2026-04-20 10:08:21,2026-04-20 10:11:33,IP Address,,100,192,True,2026-04-20 10:11:34,R_2ES75UtnI8lOkB4,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.124,0,4.926,9.22,10.2,2,We both had nothing giving 33% seemed reasonable ,3.685,9.815,10.501,2,,,,,0,0,0.208,0,0,8,5f04d99fac08ac7b22af01be,69e5fb0fc1f614c3dbb1adcb,69e5f3e940b1445faaf04dae,,4,We both had nothing giving 33% seemed reasonable ,67,,1,
2026-04-20 10:07:00,2026-04-20 10:11:35,IP Address,,100,274,True,2026-04-20 10:11:36,R_2VpssbLq5VpCV4R,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.122,0,6.3,9.539,11.942,3,"I feel player 2 may have excepted a lower amount rather than risk receiving nothing. However, I think halving the amount is the fairest split.",5.021,9.683,11.288,2,5.048,9.051,10.753,2,0,0,0.21,0,0,6,66742448a766391b65261301,69e5fab2a3e06fd2998d8783,69e5f3e940b1445faaf04dae,,6,"I feel player 2 may have excepted a lower amount rather than risk receiving nothing. However, I think halving the amount is the fairest split.",99,65,1,
2026-04-20 10:07:17,2026-04-20 10:11:37,IP Address,,100,259,True,2026-04-20 10:11:37,R_20rezhBgAqNTGUx,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.004,0,10.704,10.704,15.094,1,"50/50 seems fair, and there is a good chance that it will be accepted.",3.339,10.917,13.178,2,4.081,18.834,20.291,3,0,0,0.211,0,0,6,5ef07f0ba383185b3570273e,69e5fad0c1f614c3dbb1adc6,69e5f3e940b1445faaf04dae,,6,"50/50 seems fair, and there is a good chance that it will be accepted.",75,60,1,
2026-04-20 10:09:33,2026-04-20 10:11:39,IP Address,,100,126,True,2026-04-20 10:11:40,R_1Oacjni1pyiyGul,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.01,0,3.806,7.591,9.499,4,An even split of the $12 seems the most fair thing to do. We both deserve half. ,1.469,6.174,9.653,3,4.535,10.358,11.438,2,0,0,0.203,0,0,6,69e32499d01f018e60e7025b,69e5fb568502f7836ac15942,69e5f3e940b1445faaf04dae,,6,An even split of the $12 seems the most fair thing to do. We both deserve half. ,50,30,1,
2026-04-20 10:07:59,2026-04-20 10:12:06,IP Address,,100,247,True,2026-04-20 10:12:06,R_200IV9c83GDMTzU,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.008,0,6.243,14.239,16.863,6,I just thought it was the fairest way to do it.,6.826,10.83,14.569,2,6.793,6.793,14.503,1,0,0,0.228,0,0,6,5c84dad0008ebf0016f5f768,69e5faf608d972acf5103fc8,69e5f3e940b1445faaf04dae,,6,I just thought it was the fairest way to do it.,77,49,1,
2026-04-20 10:09:51,2026-04-20 10:12:10,IP Address,,100,139,True,2026-04-20 10:12:11,R_8jHrfipdd7zFJlh,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.017,0,4.656,7.198,9.556,2,Seems fairest given I have no further info,3.691,7.465,9.459,2,3.736,5.55,8.65,2,0,0,0.215,0,0,6,61594f3d0ab0ed54b1deb3ec,69e5fb60d4f13775e52ff469,69e5f3e940b1445faaf04dae,,6,Seems fairest given I have no further info,90,25,1,
2026-04-20 10:09:11,2026-04-20 10:12:10,IP Address,,100,179,True,2026-04-20 10:12:11,R_2Kpck4VLVWAwucf,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.008,0,1.879,1.879,8.591,1,I chose to give half of the money because I think player 2 would be more likely to accept that amount so that we both end up with money.,4.224,8.538,10.392,2,3.778,7.878,9.315,2,0,0,0.212,0,0,6,57027b6768c641000e0c894a,69e5fb3b038ea6edf1857b0b,69e5f3e940b1445faaf04dae,,6,I chose to give half of the money because I think player 2 would be more likely to accept that amount so that we both end up with money.,85,25,1,
2026-04-20 10:07:15,2026-04-20 10:12:33,IP Address,,100,317,True,2026-04-20 10:12:33,R_23r1PAm6uTGVZdp,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.118,0,20.861,25.485,27.267,2,it would give a bigger percentage to me whilst hoping that the other play would accept it rather than decide to reject and get zero,7.368,12.764,14.06,2,10.066,10.066,11.714,1,0,0,0.22,0,0,7.5,63babb3f30c7eea8b8114f14,69e5facc5cca5f2cee287128,69e5f3e940b1445faaf04dae,,4.5,it would give a bigger percentage to me whilst hoping that the other play would accept it rather than decide to reject and get zero,60,55,1,
2026-04-20 10:08:57,2026-04-20 10:12:33,IP Address,,100,216,True,2026-04-20 10:12:33,R_2h9XpUB5xT2KgA9,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.01,0,9.306,11.515,12.723,2,Its half of what I have and hopefully they will think its a fair amount to offer and accept it,6.956,6.956,8.214,1,7.332,18.618,19.757,2,0,0,0.208,0,0,6,5c73a9d92dfbdb0001b95375,69e5fb328a54f928328b3cc0,69e5f3e940b1445faaf04dae,,6,Its half of what I have and hopefully they will think its a fair amount to offer and accept it,98,100,1,
2026-04-20 10:07:10,2026-04-20 10:12:36,IP Address,,100,325,True,2026-04-20 10:12:37,R_8rY4f2jjgAZP4gN,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.019,0,4.458,9.322,11.863,3,I chose this proposal as I was attempting not to be too greedy and wanted to be as egalitarian as possible. I considered giving $6 but did not do so because the person I was giving it to (unknown) might not have been a nice person and I felt I would have been unfairly allocating money to them. ,2.887,5.08,6.706,2,4.281,8,9.165,2,0,0,0.21,0,0,6.5,58c471683977190001f54327,69e5fac41d43acb7c5ad4901,69e5f3e940b1445faaf04dae,,5.5,I chose this proposal as I was attempting not to be too greedy and wanted to be as egalitarian as possible. I considered giving $6 but did not do so because the person I was giving it to (unknown) might not have been a nice person and I felt I would have been unfairly allocating money to them. ,80,79,1,
2026-04-20 10:07:41,2026-04-20 10:12:46,IP Address,,100,304,True,2026-04-20 10:12:46,R_8fPHvq48jaGtPg1,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.124,0,4.832,5.618,6.033,2,I went for a 1/3 of the money so I could still have 2/3,5.958,5.958,6.731,1,,,,,0,0,0.217,0,0,8,5dfa781efa3d107cc08854a9,69e5fae85b9ce569880f644e,69e5f3e940b1445faaf04dae,,4,I went for a 1/3 of the money so I could still have 2/3,30,,1,
2026-04-20 10:09:14,2026-04-20 10:13:00,IP Address,,100,226,True,2026-04-20 10:13:01,R_2KlmWE4YWJxDRWQ,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.004,0,4.66,7.888,25.785,2,50/50 split seems fair,5.609,5.609,6.662,1,6.545,6.545,8.77,1,0,0,0.203,0,0,6,5d6bb1f257f4af00012525c8,69e5fb41b4ca376f818054a3,69e5f3e940b1445faaf04dae,,6,50/50 split seems fair,75,45,1,
2026-04-20 10:08:35,2026-04-20 10:13:18,IP Address,,100,283,True,2026-04-20 10:13:19,R_8JzanFF80Xgpnkj,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.027,0,6.83,10.337,12.552,2,"I chose this proposal as we are both here to complete the study, it is only fair we both receive the same amount of compensation. I think player 2 would likely accept any apportionment as ultimately they have a chance of achieving that bonus is if accepted however I think an even split is fair. It may not have been reciprocated if the other way around. ",3.822,9.307,10.726,2,4.425,4.425,5.617,1,0,0,0.104,0,0,6,602adc09cfca8a1a48e6dbb1,69e5fb172ce08f1b827e75d3,69e5f3e940b1445faaf04dae,,6,"I chose this proposal as we are both here to complete the study, it is only fair we both receive the same amount of compensation. I think player 2 would likely accept any apportionment as ultimately they have a chance of achieving that bonus is if accepted however I think an even split is fair. It may not have been reciprocated if the other way around. ",100,100,1,
2026-04-20 10:08:49,2026-04-20 10:13:53,IP Address,,100,303,True,2026-04-20 10:13:53,R_8sbubmeZ07fw3TN,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.014,0,3.173,3.173,14.38,1,fair division of amount with both getting the same. Player 2 may of accepted a smaller amount but I think it is a fair way if both are the same,4.462,15.489,18.318,4,6.636,6.636,9.112,1,0,0,0.205,0,0,6,5d2e3cdf6835130001aa16f0,69e5fb1a543f3a9bcf4f7d25,69e5f3e940b1445faaf04dae,,6,fair division of amount with both getting the same. Player 2 may of accepted a smaller amount but I think it is a fair way if both are the same,77,76,1,
2026-04-20 10:10:40,2026-04-20 10:14:15,IP Address,,100,215,True,2026-04-20 10:14:16,R_8Kf4ywxQ8L59bmR,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.111,0,7.563,14.619,16.242,2,I decided to split the money evenly so we both could receive 50% each. I thought that this would be a fair deal.,5.213,8.697,9.689,2,6.04,9.414,10.336,3,0,0,0.222,0,0,6,657b2d22191dda04598ef38b,69e5fb350b065982fcfdaa8d,69e5f3e940b1445faaf04dae,,6,I decided to split the money evenly so we both could receive 50% each. I thought that this would be a fair deal.,90,52,1,
2026-04-20 10:08:01,2026-04-20 10:14:19,IP Address,,100,377,True,2026-04-20 10:14:19,R_8v5QILX5to7JFKz,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.011,0,2.433,15.883,23.272,5,"I chose $6.50 so that player 2 would be unlikely to refuse and we would both get $0. Even though I chose a lesser payment at $5.50, it is much better than getting $0",7.983,17.668,21.825,2,10.946,17.17,19.418,2,0,0,0.212,0,0,5.5,59984512a7b24000015233f5,69e5fad5632e55aa41fad685,69e5f3e940b1445faaf04dae,,6.5,"I chose $6.50 so that player 2 would be unlikely to refuse and we would both get $0. Even though I chose a lesser payment at $5.50, it is much better than getting $0",95,70,1,
2026-04-20 10:09:07,2026-04-20 10:17:51,IP Address,,100,524,True,2026-04-20 10:17:52,R_1wc0bXRarVZclBT,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.111,0,9.127,13.662,20.405,3,there is no need to be anxious of whether the other player would accept the propasal or not,4.351,13.567,15.78,2,8.583,12.513,14.458,2,0,0,0.208,0,0,12,69cea0ac61a4f06eb99076a6,69e5fb03b557a2f95ed02f6f,69e5f3e940b1445faaf04dae,,0,there is no need to be anxious of whether the other player would accept the propasal or not,0,50,1,
2026-04-20 10:09:49,2026-04-20 10:18:13,IP Address,,100,504,True,2026-04-20 10:18:13,R_3Dts15L25nAS3LP,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.149,0,12.679,12.679,15.506,1,"Splitting it evenly feels like the only fair choice. It also feels like the safest, besides giving the other player the bigger share, so that the other person accepts it and doesn't screw us both to be spiteful.",6.4,6.4,7.789,1,2.601,44.333,45.845,7,0,0,0.23,0,0,6,69dc1e5832012277110d7fa5,69e5fb63eecff236b4b1c2de,69e5f3e940b1445faaf04dae,,6,"Splitting it evenly feels like the only fair choice. It also feels like the safest, besides giving the other player the bigger share, so that the other person accepts it and doesn't screw us both to be spiteful.",100,64,1,
2026-04-20 10:07:02,2026-04-20 10:21:45,IP Address,,100,883,True,2026-04-20 10:21:46,R_2TpKpHtaXMJJsFb,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.015,0,1.615,3.583,4.546,2,It seems fair to split the money equally. ,3.377,5.825,6.885,2,5.863,5.863,6.961,1,0,0,0.213,0,0,6,5d53ca2c0008950015be95de,69e5fa86c94ff2a20e944411,69e5f3e940b1445faaf04dae,,6,It seems fair to split the money equally. ,80,40,1,
2026-04-20 10:08:32,2026-04-20 10:24:37,IP Address,,100,964,True,2026-04-20 10:24:37,R_1MgEfAMuCidgEyB,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.016,0,6.385,6.385,15.49,1,Choosing this proposal simply means that i trust my colleague to be able to handle and make the right decisions about it and implement it.,5.502,7.339,8.481,2,7.133,7.133,8.513,1,0,0,0.206,0,0,4,69cbcec84da6cce6321abe1a,69e5fafd93c071e7b976fbd0,69e5f3e940b1445faaf04dae,,8,Choosing this proposal simply means that i trust my colleague to be able to handle and make the right decisions about it and implement it.,90,61,1,
