context_id,vignette_id,mean_rating,weight_all30,weight_analysis_pool,source_id_context,game_context,frame,source_id_vignette,game_vignette,setting,setting_code,sender_category,sender_action,receiver_action,joint_action,in_analysis_pool,block,bar_type,bar_label
T05,V22,83.66666666666667,0.05612104270343012,0.16760986474222553,DG_CONTROL,DG,Control,DG-C-P,DG,personal,P,Cooperation,C,None,C-NA,True,C,vignette,"DG-P
V22"
T05,V28,81.66666666666667,0.054720854496739135,0.1635282954106425,DG_CONTROL,DG,Control,DG-M-K,DG,anonymous market,K,Moral,C,None,C-NA,True,M,vignette,"DG-K
V28"
T08,V01,89.66666666666667,0.0547732514746716,0.06387021412914173,TG_CONTROL,TG,Control,TG-C-CC-P,TG,personal,P,Cooperation,C,C,C-C,True,C-C,vignette,"TG-P
V01"
T08,V03,86.66666666666667,0.052910496819817264,0.06171025949040168,TG_CONTROL,TG,Control,TG-S-DC-P,TG,personal,P,Self-interest,D,C,D-C,True,S-C,vignette,"TG-P
V03"
T08,V05,25.333333333333332,0.015288583354583348,0.01785580455302666,TG_CONTROL,TG,Control,UG-S-DD-K,UG,anonymous market,K,Self-interest,D,D,D-D,True,S-D,vignette,"UG-K
V05"
T08,V06,89.66666666666667,0.05482824788034832,0.0639206645518006,TG_CONTROL,TG,Control,TG-M-CC-K,TG,anonymous market,K,Moral,C,C,C-C,True,M-C,vignette,"TG-K
V06"
T08,V08,29.666666666666668,0.017976628140825818,0.020979042658649503,TG_CONTROL,TG,Control,UG-C-CC-P,UG,personal,P,Cooperation,C,C,C-C,True,C-C,vignette,"UG-P
V08"
T08,V09,26.0,0.01571456844510518,0.018344563106301344,TG_CONTROL,TG,Control,UG-S-DC-K,UG,anonymous market,K,Self-interest,D,C,D-C,True,S-C,vignette,"UG-K
V09"
T08,V10,30.666666666666668,0.018616014853199973,0.021717676274392955,TG_CONTROL,TG,Control,UG-C-CC-K,UG,anonymous market,K,Cooperation,C,C,C-C,True,C-C,vignette,"UG-K
V10"
T08,V11,88.66666666666667,0.05416177204172721,0.06316230151055914,TG_CONTROL,TG,Control,TG-S-DC-K,TG,anonymous market,K,Self-interest,D,C,D-C,True,S-C,vignette,"TG-K
V11"
T08,V12,26.333333333333332,0.015901290017301967,0.018580204529103528,TG_CONTROL,TG,Control,UG-S-DD-P,UG,personal,P,Self-interest,D,D,D-D,True,S-D,vignette,"UG-P
V12"
T08,V13,30.0,0.018217937042107914,0.021259638718279125,TG_CONTROL,TG,Control,UG-M-CC-K,UG,anonymous market,K,Moral,C,C,C-C,True,M-C,vignette,"UG-K
V13"
T08,V14,29.333333333333332,0.01779195195158608,0.020770880165004443,TG_CONTROL,TG,Control,UG-M-CD-K,UG,anonymous market,K,Moral,C,D,C-D,True,M-D,vignette,"UG-K
V14"
T08,V15,28.0,0.016911256337929826,0.019751650489631376,TG_CONTROL,TG,Control,UG-M-CD-P,UG,personal,P,Moral,C,D,C-D,True,M-D,vignette,"UG-P
V15"
T08,V16,88.33333333333333,0.05392087221703653,0.06288720123676095,TG_CONTROL,TG,Control,TG-C-CD-P,TG,personal,P,Cooperation,C,D,C-D,True,C-D,vignette,"TG-P
V16"
T08,V18,90.33333333333333,0.05525464204746156,0.06441491889090671,TG_CONTROL,TG,Control,TG-M-CC-P,TG,personal,P,Moral,C,C,C-C,True,M-C,vignette,"TG-P
V18"
T08,V19,89.0,0.054374764586988124,0.06340668078719648,TG_CONTROL,TG,Control,TG-C-CD-K,TG,anonymous market,K,Cooperation,C,D,C-D,True,C-D,vignette,"TG-K
V19"
T08,V20,29.666666666666668,0.017976219064234408,0.020973546872818077,TG_CONTROL,TG,Control,UG-M-CC-P,UG,personal,P,Moral,C,C,C-C,True,M-C,vignette,"UG-P
V20"
T08,V21,29.666666666666668,0.017977037217417228,0.02098453844448093,TG_CONTROL,TG,Control,UG-C-CD-K,UG,anonymous market,K,Cooperation,C,D,C-D,True,C-D,vignette,"UG-K
V21"
T08,V23,29.666666666666668,0.017977037217417228,0.02098453844448093,TG_CONTROL,TG,Control,UG-C-CD-P,UG,personal,P,Cooperation,C,D,C-D,True,C-D,vignette,"UG-P
V23"
T08,V24,87.66666666666667,0.05352238532935305,0.0624236678948157,TG_CONTROL,TG,Control,TG-S-DD-K,TG,anonymous market,K,Self-interest,D,D,D-D,True,S-D,vignette,"TG-K
V24"
T08,V25,89.0,0.05440226278982649,0.06343190599852591,TG_CONTROL,TG,Control,TG-M-CD-K,TG,anonymous market,K,Moral,C,D,C-D,True,M-D,vignette,"TG-K
V25"
T08,V26,90.33333333333333,0.05519923656519343,0.06435897268241642,TG_CONTROL,TG,Control,TG-C-CC-K,TG,anonymous market,K,Cooperation,C,C,C-C,True,C-C,vignette,"TG-K
V26"
T08,V27,27.0,0.016327275107823797,0.01906896308237821,TG_CONTROL,TG,Control,UG-S-DC-P,UG,personal,P,Self-interest,D,C,D-C,True,S-C,vignette,"UG-P
V27"
T08,V29,89.33333333333333,0.054615255335087404,0.06367628527516325,TG_CONTROL,TG,Control,TG-M-CD-P,TG,personal,P,Moral,C,D,C-D,True,M-D,vignette,"TG-P
V29"
T08,V30,86.33333333333333,0.05269750427455635,0.06146588021376434,TG_CONTROL,TG,Control,TG-S-DD-P,TG,personal,P,Self-interest,D,D,D-D,True,S-D,vignette,"TG-P
V30"
T04,TOTAL,221.33333333333331,0.13936434915871396,0.1660896019939049,UG_CONTROL,UG,Control,Class total,TOTAL,class total,T,Cooperation,,C,TOTAL,,C-C,total,TOTAL
T04,TOTAL,218.66666666666666,0.13760649374232198,0.1640446122188538,UG_CONTROL,UG,Control,Class total,TOTAL,class total,T,Cooperation,,D,TOTAL,,C-D,total,TOTAL
T04,TOTAL,226.66666666666666,0.14285172781553204,0.17020571505649745,UG_CONTROL,UG,Control,Class total,TOTAL,class total,T,Moral,,C,TOTAL,,M-C,total,TOTAL
T04,TOTAL,223.0,0.1404201616488134,0.16737399574401962,UG_CONTROL,UG,Control,Class total,TOTAL,class total,T,Moral,,D,TOTAL,,M-D,total,TOTAL
T04,TOTAL,222.66666666666669,0.1401329257863906,0.16704764970583824,UG_CONTROL,UG,Control,Class total,TOTAL,class total,T,Self-interest,,C,TOTAL,,S-C,total,TOTAL
T04,TOTAL,220.33333333333334,0.13858028732786798,0.165238425280886,UG_CONTROL,UG,Control,Class total,TOTAL,class total,T,Self-interest,,D,TOTAL,,S-D,total,TOTAL
T05,TOTAL,166.0,0.1113804943737916,0.33258317124432196,DG_CONTROL,DG,Control,Class total,TOTAL,class total,T,Cooperation,,None,TOTAL,,C,total,TOTAL
T05,TOTAL,168.66666666666669,0.11305065977108036,0.3377875954277608,DG_CONTROL,DG,Control,Class total,TOTAL,class total,T,Moral,,None,TOTAL,,M,total,TOTAL
T05,TOTAL,164.66666666666666,0.11031390994289303,0.3296292333279172,DG_CONTROL,DG,Control,Class total,TOTAL,class total,T,Self-interest,,None,TOTAL,,S,total,TOTAL
T08,TOTAL,240.33333333333334,0.14656513103389082,0.1709259057446006,TG_CONTROL,TG,Control,Class total,TOTAL,class total,T,Cooperation,,C,TOTAL,,C-C,total,TOTAL
T08,TOTAL,236.66666666666666,0.1442497112388591,0.16826295891291929,TG_CONTROL,TG,Control,Class total,TOTAL,class total,T,Cooperation,,D,TOTAL,,C-D,total,TOTAL
T08,TOTAL,239.66666666666666,0.1462770460341522,0.17056876903380452,TG_CONTROL,TG,Control,Class total,TOTAL,class total,T,Moral,,C,TOTAL,,M-C,total,TOTAL
T08,TOTAL,235.66666666666666,0.1437207264144298,0.16763072192832498,TG_CONTROL,TG,Control,Class total,TOTAL,class total,T,Moral,,D,TOTAL,,M-D,total,TOTAL
T08,TOTAL,228.33333333333334,0.13911411241447344,0.16228608718964038,TG_CONTROL,TG,Control,Class total,TOTAL,class total,T,Self-interest,,C,TOTAL,,S-C,total,TOTAL
T08,TOTAL,225.66666666666666,0.1374097629757947,0.16032555719071023,TG_CONTROL,TG,Control,Class total,TOTAL,class total,T,Self-interest,,D,TOTAL,,S-D,total,TOTAL
