context_id,vignette_id,mean_rating,weight_all30,weight_analysis_pool,source_id_context,game_context,frame,source_id_vignette,game_vignette,setting,setting_code,sender_category,sender_action,receiver_action,joint_action,in_analysis_pool
T02,V24,78.0,0.045489827010868594,0.055043504767001115,TG_BONUS,TG,Bonus,TG-S-DD-K,TG,anonymous market,K,Self-interest,D,D,D-D,True
T02,V25,86.0,0.05012910490854131,0.06065865359395967,TG_BONUS,TG,Bonus,TG-M-CD-K,TG,anonymous market,K,Moral,C,D,C-D,True
T02,V26,85.33333333333333,0.04979125905008206,0.060237923619955835,TG_BONUS,TG,Bonus,TG-C-CC-K,TG,anonymous market,K,Cooperation,C,C,C-C,True
T02,V27,32.666666666666664,0.019012860597343778,0.02301014932495515,TG_BONUS,TG,Bonus,UG-S-DC-P,UG,personal,P,Self-interest,D,C,D-C,True
T02,V28,59.0,0.03437733984220338,,TG_BONUS,TG,Bonus,DG-M-K,DG,anonymous market,K,Moral,C,None,C-NA,False
T02,V29,84.33333333333333,0.04914657041526712,0.05946942312360301,TG_BONUS,TG,Bonus,TG-M-CD-P,TG,personal,P,Moral,C,D,C-D,True
T02,V30,76.0,0.0443112454426049,0.05362014476763128,TG_BONUS,TG,Bonus,TG-S-DD-P,TG,personal,P,Self-interest,D,D,D-D,True
T03,V01,33.333333333333336,0.02037326343200027,0.024993620362547226,UG_AID,UG,Aid,TG-C-CC-P,TG,personal,P,Cooperation,C,C,C-C,True
T03,V02,43.333333333333336,0.026719477832909774,,UG_AID,UG,Aid,DG-S-K,DG,anonymous market,K,Self-interest,D,None,D-NA,False
T03,V03,33.666666666666664,0.020490937839404515,0.025143710125872954,UG_AID,UG,Aid,TG-S-DC-P,TG,personal,P,Self-interest,D,C,D-C,True
T03,V04,55.666666666666664,0.03440639206674456,,UG_AID,UG,Aid,DG-S-P,DG,personal,P,Self-interest,D,None,D-NA,False
T03,V05,73.66666666666667,0.04571167292749464,0.05610716090709936,UG_AID,UG,Aid,UG-S-DD-K,UG,anonymous market,K,Self-interest,D,D,D-D,True
T03,V06,31.0,0.01913005375423417,0.023488936523444446,UG_AID,UG,Aid,TG-M-CC-K,TG,anonymous market,K,Moral,C,C,C-C,True
T03,V07,60.0,0.037209334543897445,,UG_AID,UG,Aid,DG-M-P,DG,personal,P,Moral,C,None,C-NA,False
T03,V08,75.33333333333333,0.04677190064424269,0.05740734717834455,UG_AID,UG,Aid,UG-C-CC-P,UG,personal,P,Cooperation,C,C,C-C,True
T03,V09,73.66666666666667,0.04571167292749464,0.05610716090709936,UG_AID,UG,Aid,UG-S-DC-K,UG,anonymous market,K,Self-interest,D,C,D-C,True
T03,V10,74.66666666666667,0.04635683421781722,0.05687698384782299,UG_AID,UG,Aid,UG-C-CC-K,UG,anonymous market,K,Cooperation,C,C,C-C,True
T03,V11,29.666666666666668,0.018217471846680284,0.022366823977019053,UG_AID,UG,Aid,TG-S-DC-K,TG,anonymous market,K,Self-interest,D,C,D-C,True
T03,V12,86.66666666666667,0.05390356779312468,0.06615094350896504,UG_AID,UG,Aid,UG-S-DD-P,UG,personal,P,Self-interest,D,D,D-D,True
T03,V13,73.66666666666667,0.04579412198219757,0.05616854679248162,UG_AID,UG,Aid,UG-M-CC-K,UG,anonymous market,K,Moral,C,C,C-C,True
T03,V14,73.0,0.045364014455315856,0.05565533149866587,UG_AID,UG,Aid,UG-M-CD-K,UG,anonymous market,K,Moral,C,D,C-D,True
T03,V15,81.66666666666667,0.0507453908940036,0.062255802657623587,UG_AID,UG,Aid,UG-M-CD-P,UG,personal,P,Moral,C,D,C-D,True
T03,V16,33.0,0.02015820966855941,0.024737012715639346,UG_AID,UG,Aid,TG-C-CD-P,TG,personal,P,Cooperation,C,D,C-D,True
T03,V17,44.333333333333336,0.02743951222814588,,UG_AID,UG,Aid,DG-C-K,DG,anonymous market,K,Cooperation,C,None,C-NA,False
T03,V18,37.333333333333336,0.02293129154304494,0.028129774197953317,UG_AID,UG,Aid,TG-M-CC-P,TG,personal,P,Moral,C,C,C-C,True
T03,V19,29.666666666666668,0.018217471846680284,0.022366823977019053,UG_AID,UG,Aid,TG-C-CD-K,TG,anonymous market,K,Cooperation,C,D,C-D,True
T03,V20,82.33333333333333,0.05117549842088532,0.06276901795143934,UG_AID,UG,Aid,UG-M-CC-P,UG,personal,P,Moral,C,C,C-C,True
T03,V21,74.0,0.04595669809272542,0.056391752515501305,UG_AID,UG,Aid,UG-C-CD-K,UG,anonymous market,K,Cooperation,C,D,C-D,True
T03,V22,51.666666666666664,0.03187833535748982,,UG_AID,UG,Aid,DG-C-P,DG,personal,P,Cooperation,C,None,C-NA,False
T03,V23,75.33333333333333,0.04676443549357586,0.057384781179244615,UG_AID,UG,Aid,UG-C-CD-P,UG,personal,P,Cooperation,C,D,C-D,True
T03,V24,28.666666666666668,0.01756484540569087,0.021574435037195482,UG_AID,UG,Aid,TG-S-DD-K,TG,anonymous market,K,Self-interest,D,D,D-D,True
T03,V25,30.0,0.01847742731324475,0.022696547583620875,UG_AID,UG,Aid,TG-M-CD-K,TG,anonymous market,K,Moral,C,D,C-D,True
T03,V26,30.666666666666668,0.018832661735212943,0.02310866295624862,UG_AID,UG,Aid,TG-C-CC-K,TG,anonymous market,K,Cooperation,C,C,C-C,True
T03,V27,86.33333333333333,0.05368851402968381,0.06589433586205717,UG_AID,UG,Aid,UG-S-DC-P,UG,personal,P,Self-interest,D,C,D-C,True
T03,V28,44.333333333333336,0.027454442529479563,,UG_AID,UG,Aid,DG-M-K,DG,anonymous market,K,Moral,C,None,C-NA,False
T03,V29,36.333333333333336,0.022278665102055516,0.027337385258129742,UG_AID,UG,Aid,TG-M-CD-P,TG,personal,P,Moral,C,D,C-D,True
T03,V30,33.333333333333336,0.020275884075963656,0.02488710247896508,UG_AID,UG,Aid,TG-S-DD-P,TG,personal,P,Self-interest,D,D,D-D,True
T04,V01,26.333333333333332,0.016326490752788806,0.019517393619509816,UG_CONTROL,UG,Control,TG-C-CC-P,TG,personal,P,Cooperation,C,C,C-C,True
T04,V02,41.666666666666664,0.025728508006387717,,UG_CONTROL,UG,Control,DG-S-K,DG,anonymous market,K,Self-interest,D,None,D-NA,False
T04,V03,25.666666666666668,0.01587251192951118,0.018986287803964514,UG_CONTROL,UG,Control,TG-S-DC-P,TG,personal,P,Self-interest,D,C,D-C,True
T04,V04,43.333333333333336,0.02676473461678322,,UG_CONTROL,UG,Control,DG-S-P,DG,personal,P,Self-interest,D,None,D-NA,False
T04,V05,83.66666666666667,0.052880281430717775,0.06299943913225121,UG_CONTROL,UG,Control,UG-S-DD-K,UG,anonymous market,K,Self-interest,D,D,D-D,True
T04,V06,28.0,0.017377232332363934,0.02077321782701193,UG_CONTROL,UG,Control,TG-M-CC-K,TG,anonymous market,K,Moral,C,C,C-C,True
T04,V07,46.0,0.02847467197750535,,UG_CONTROL,UG,Control,DG-M-P,DG,personal,P,Moral,C,None,C-NA,False
T04,V08,83.66666666666667,0.05292819948638764,0.06302173353415606,UG_CONTROL,UG,Control,UG-C-CC-P,UG,personal,P,Cooperation,C,C,C-C,True
T04,V09,84.0,0.05310001335776678,0.06325506285413261,UG_CONTROL,UG,Control,UG-S-DC-K,UG,anonymous market,K,Self-interest,D,C,D-C,True
T04,V10,84.33333333333333,0.053382178309665275,0.06355283934970136,UG_CONTROL,UG,Control,UG-C-CC-K,UG,anonymous market,K,Cooperation,C,C,C-C,True
T04,V11,26.666666666666668,0.016507748682823245,0.019742011768656267,UG_CONTROL,UG,Control,TG-S-DC-K,TG,anonymous market,K,Self-interest,D,C,D-C,True
T04,V12,86.0,0.05443291988924041,0.06480866355720348,UG_CONTROL,UG,Control,UG-S-DD-P,UG,personal,P,Self-interest,D,D,D-D,True
T04,V13,84.0,0.053186405410451214,0.06330836282877239,UG_CONTROL,UG,Control,UG-M-CC-K,UG,anonymous market,K,Moral,C,C,C-C,True
T04,V14,83.0,0.05252720962930421,0.06254149166312821,UG_CONTROL,UG,Control,UG-M-CD-K,UG,anonymous market,K,Moral,C,D,C-D,True
T04,V15,85.33333333333333,0.05397894106596277,0.06427755774165818,UG_CONTROL,UG,Control,UG-M-CD-P,UG,personal,P,Moral,C,D,C-D,True
T04,V16,25.333333333333332,0.015652780002462178,0.018730664082083123,UG_CONTROL,UG,Control,TG-C-CD-P,TG,personal,P,Cooperation,C,D,C-D,True
T04,V17,42.333333333333336,0.026220960826679907,,UG_CONTROL,UG,Control,DG-C-K,DG,anonymous market,K,Cooperation,C,None,C-NA,False
T04,V18,28.333333333333332,0.017649953225607123,0.021079705493410785,UG_CONTROL,UG,Control,TG-M-CC-P,TG,personal,P,Moral,C,C,C-C,True
T04,V19,26.333333333333332,0.016288016755774244,0.01948638804677488,UG_CONTROL,UG,Control,TG-C-CD-K,TG,anonymous market,K,Cooperation,C,D,C-D,True
T04,V20,86.33333333333333,0.054638136847109775,0.06504442890730235,UG_CONTROL,UG,Control,UG-M-CC-P,UG,personal,P,Moral,C,C,C-C,True
T04,V21,83.33333333333333,0.05272298252851828,0.0627859681840572,UG_CONTROL,UG,Control,UG-C-CD-K,UG,anonymous market,K,Cooperation,C,D,C-D,True
T04,V22,44.0,0.027218713440060844,,UG_CONTROL,UG,Control,DG-C-P,DG,personal,P,Cooperation,C,None,C-NA,False
T04,V23,83.66666666666667,0.05294271445556727,0.06304159190593858,UG_CONTROL,UG,Control,UG-C-CD-P,UG,personal,P,Cooperation,C,D,C-D,True
T04,V24,25.666666666666668,0.01583403793249662,0.018955282231229578,UG_CONTROL,UG,Control,TG-S-DD-K,TG,anonymous market,K,Self-interest,D,D,D-D,True
T04,V25,27.333333333333332,0.016937768478265933,0.02026197038324915,UG_CONTROL,UG,Control,TG-M-CD-K,TG,anonymous market,K,Moral,C,D,C-D,True
T04,V26,27.0,0.016727480609872242,0.019997635490537655,UG_CONTROL,UG,Control,TG-C-CC-K,TG,anonymous market,K,Cooperation,C,C,C-C,True
T04,V27,86.33333333333333,0.0546526518162894,0.06506428727908486,UG_CONTROL,UG,Control,UG-S-DC-P,UG,personal,P,Self-interest,D,C,D-C,True
T04,V28,43.0,0.026636465652942965,,UG_CONTROL,UG,Control,DG-M-K,DG,anonymous market,K,Moral,C,None,C-NA,False
T04,V29,27.333333333333332,0.016976242475280495,0.020292975955984092,UG_CONTROL,UG,Control,TG-M-CD-P,TG,personal,P,Moral,C,D,C-D,True
T04,V30,25.0,0.01543304807541318,0.01847504036020173,UG_CONTROL,UG,Control,TG-S-DD-P,TG,personal,P,Self-interest,D,D,D-D,True
T05,V01,37.0,0.0246116467145589,,DG_CONTROL,DG,Control,TG-C-CC-P,TG,personal,P,Cooperation,C,C,C-C,False
T05,V02,81.33333333333333,0.05448336920252527,0.1628081781465768,DG_CONTROL,DG,Control,DG-S-K,DG,anonymous market,K,Self-interest,D,None,D-NA,True
T05,V03,35.666666666666664,0.023693502373859723,,DG_CONTROL,DG,Control,TG-S-DC-P,TG,personal,P,Self-interest,D,C,D-C,False
T05,V04,83.33333333333333,0.05583054074036775,0.1668210551813404,DG_CONTROL,DG,Control,DG-S-P,DG,personal,P,Self-interest,D,None,D-NA,True
T05,V05,42.666666666666664,0.027881939793723304,,DG_CONTROL,DG,Control,UG-S-DD-K,UG,anonymous market,K,Self-interest,D,D,D-D,False
T05,V06,40.333333333333336,0.026873425954318523,,DG_CONTROL,DG,Control,TG-M-CC-K,TG,anonymous market,K,Moral,C,C,C-C,False
T05,V07,87.0,0.05832980527434123,0.17425930001711828,DG_CONTROL,DG,Control,DG-M-P,DG,personal,P,Moral,C,None,C-NA,True
T05,V08,46.333333333333336,0.0304342209965453,,DG_CONTROL,DG,Control,UG-C-CC-P,UG,personal,P,Cooperation,C,C,C-C,False
T05,V09,44.333333333333336,0.02908704945870282,,DG_CONTROL,DG,Control,UG-S-DC-K,UG,anonymous market,K,Self-interest,D,C,D-C,False
T05,V10,46.666666666666664,0.030675242929541203,,DG_CONTROL,DG,Control,UG-C-CC-K,UG,anonymous market,K,Cooperation,C,C,C-C,False
T05,V11,37.0,0.0246116467145589,,DG_CONTROL,DG,Control,TG-S-DC-K,TG,anonymous market,K,Self-interest,D,C,D-C,False
T05,V12,47.333333333333336,0.031061863374182107,,DG_CONTROL,DG,Control,UG-S-DD-P,UG,personal,P,Self-interest,D,D,D-D,False
T05,V13,47.0,0.030976354808949686,,DG_CONTROL,DG,Control,UG-M-CC-K,UG,anonymous market,K,Moral,C,C,C-C,False
T05,V14,45.666666666666664,0.03001226707696607,,DG_CONTROL,DG,Control,UG-M-CD-K,UG,anonymous market,K,Moral,C,D,C-D,False
T05,V15,47.333333333333336,0.03105832673540007,,DG_CONTROL,DG,Control,UG-M-CD-P,UG,personal,P,Moral,C,D,C-D,False
T05,V16,36.0,0.023885044276789155,,DG_CONTROL,DG,Control,TG-C-CD-P,TG,personal,P,Cooperation,C,D,C-D,False
T05,V17,82.33333333333333,0.05525945167036148,0.16497330650209643,DG_CONTROL,DG,Control,DG-C-K,DG,anonymous market,K,Cooperation,C,None,C-NA,True
T05,V18,41.0,0.027468576435571417,,DG_CONTROL,DG,Control,TG-M-CC-P,TG,personal,P,Moral,C,C,C-C,False
T05,V19,37.0,0.0246116467145589,,DG_CONTROL,DG,Control,TG-C-CD-K,TG,anonymous market,K,Cooperation,C,D,C-D,False
T05,V20,48.0,0.03154037060139187,,DG_CONTROL,DG,Control,UG-M-CC-P,UG,personal,P,Moral,C,C,C-C,False
T05,V21,45.0,0.029470133264561688,,DG_CONTROL,DG,Control,UG-C-CD-K,UG,anonymous market,K,Cooperation,C,D,C-D,False
T05,V22,83.66666666666667,0.05612104270343012,0.16760986474222553,DG_CONTROL,DG,Control,DG-C-P,DG,personal,P,Cooperation,C,None,C-NA,True
T05,V23,45.333333333333336,0.029711155197557588,,DG_CONTROL,DG,Control,UG-C-CD-P,UG,personal,P,Cooperation,C,D,C-D,False
T05,V24,36.0,0.023885044276789155,,DG_CONTROL,DG,Control,TG-S-DD-K,TG,anonymous market,K,Self-interest,D,D,D-D,False
T05,V25,40.666666666666664,0.027114447887314427,,DG_CONTROL,DG,Control,TG-M-CD-K,TG,anonymous market,K,Moral,C,D,C-D,False
T05,V26,37.666666666666664,0.025093690580550707,,DG_CONTROL,DG,Control,TG-C-CC-K,TG,anonymous market,K,Cooperation,C,C,C-C,False
T05,V27,48.0,0.03154390724017391,,DG_CONTROL,DG,Control,UG-S-DC-P,UG,personal,P,Self-interest,D,C,D-C,False
T05,V28,81.66666666666667,0.054720854496739135,0.1635282954106425,DG_CONTROL,DG,Control,DG-M-K,DG,anonymous market,K,Moral,C,None,C-NA,True
T05,V29,40.0,0.026741973997801666,,DG_CONTROL,DG,Control,TG-M-CD-P,TG,personal,P,Moral,C,D,C-D,False
T05,V30,35.0,0.023211458507867915,,DG_CONTROL,DG,Control,TG-S-DD-P,TG,personal,P,Self-interest,D,D,D-D,False
T06,V01,35.0,0.020486151945675598,0.025038124799592252,UG_BONUS,UG,Bonus,TG-C-CC-P,TG,personal,P,Cooperation,C,C,C-C,True
T06,V02,51.666666666666664,0.030203264940701302,,UG_BONUS,UG,Bonus,DG-S-K,DG,anonymous market,K,Self-interest,D,None,D-NA,False
T06,V03,32.333333333333336,0.018915029303629607,0.023117733817216598,UG_BONUS,UG,Bonus,TG-S-DC-P,TG,personal,P,Self-interest,D,C,D-C,True
T06,V04,42.0,0.024528502950982186,,UG_BONUS,UG,Bonus,DG-S-P,DG,personal,P,Self-interest,D,None,D-NA,False
T06,V05,75.33333333333333,0.04422612526369802,0.05399672998391888,UG_BONUS,UG,Bonus,UG-S-DD-K,UG,anonymous market,K,Self-interest,D,D,D-D,True
T06,V06,42.0,0.024607453560386683,0.030073081334228296,UG_BONUS,UG,Bonus,TG-M-CC-K,TG,anonymous market,K,Moral,C,C,C-C,True
T06,V07,49.333333333333336,0.028894646505710327,,UG_BONUS,UG,Bonus,DG-M-P,DG,personal,P,Moral,C,None,C-NA,False
T06,V08,79.66666666666667,0.04686133583016703,0.05719960041830307,UG_BONUS,UG,Bonus,UG-C-CC-P,UG,personal,P,Cooperation,C,C,C-C,True
T06,V09,75.66666666666667,0.04443342211278591,0.05424679249954778,UG_BONUS,UG,Bonus,UG-S-DC-K,UG,anonymous market,K,Self-interest,D,C,D-C,True
T06,V10,79.66666666666667,0.04687127724211263,0.057207590796435,UG_BONUS,UG,Bonus,UG-C-CC-K,UG,anonymous market,K,Cooperation,C,C,C-C,True
T06,V11,34.333333333333336,0.020081499659445407,0.02454599014646637,UG_BONUS,UG,Bonus,TG-S-DC-K,TG,anonymous market,K,Self-interest,D,C,D-C,True
T06,V12,79.66666666666667,0.04681162877043903,0.0571596485276434,UG_BONUS,UG,Bonus,UG-S-DD-P,UG,personal,P,Self-interest,D,D,D-D,True
T06,V13,89.66666666666667,0.052685966754153685,0.0643246959469518,UG_BONUS,UG,Bonus,UG-M-CC-K,UG,anonymous market,K,Moral,C,C,C-C,True
T06,V14,88.66666666666667,0.05206407620689,0.06357450840006507,UG_BONUS,UG,Bonus,UG-M-CD-K,UG,anonymous market,K,Moral,C,D,C-D,True
T06,V15,78.33333333333333,0.04605975211279902,0.05623151722965144,UG_BONUS,UG,Bonus,UG-M-CD-P,UG,personal,P,Moral,C,D,C-D,True
T06,V16,34.333333333333336,0.02007155824749981,0.02453799976833444,UG_BONUS,UG,Bonus,TG-C-CD-P,TG,personal,P,Cooperation,C,D,C-D,True
T06,V17,52.666666666666664,0.030878722975239165,,UG_BONUS,UG,Bonus,DG-C-K,DG,anonymous market,K,Cooperation,C,None,C-NA,False
T06,V18,39.0,0.02286271873263578,0.0279346920294196,UG_BONUS,UG,Bonus,TG-M-CC-P,TG,personal,P,Moral,C,C,C-C,True
T06,V19,35.0,0.020462408694238217,0.025014050984528316,UG_BONUS,UG,Bonus,TG-C-CD-K,TG,anonymous market,K,Cooperation,C,D,C-D,True
T06,V20,80.0,0.04709623635823849,0.057481829807795974,UG_BONUS,UG,Bonus,UG-M-CC-P,UG,personal,P,Moral,C,C,C-C,True
T06,V21,78.0,0.045868477660056146,0.055989342411486336,UG_BONUS,UG,Bonus,UG-C-CD-K,UG,anonymous market,K,Cooperation,C,D,C-D,True
T06,V22,52.666666666666664,0.030858840151347964,,UG_BONUS,UG,Bonus,DG-C-P,DG,personal,P,Cooperation,C,None,C-NA,False
T06,V23,78.66666666666667,0.04624938669484896,0.05645740324954828,UG_BONUS,UG,Bonus,UG-C-CD-P,UG,personal,P,Cooperation,C,D,C-D,True
T06,V24,33.333333333333336,0.019469550524127327,0.023803792977711583,UG_BONUS,UG,Bonus,TG-S-DD-K,TG,anonymous market,K,Self-interest,D,D,D-D,True
T06,V25,41.0,0.023995504425068603,0.0293308841654735,UG_BONUS,UG,Bonus,TG-M-CD-K,TG,anonymous market,K,Moral,C,D,C-D,True
T06,V26,36.0,0.0210842992415019,0.025764238531415035,UG_BONUS,UG,Bonus,TG-C-CC-K,TG,anonymous market,K,Cooperation,C,C,C-C,True
T06,V27,79.66666666666667,0.04681162877043903,0.0571596485276434,UG_BONUS,UG,Bonus,UG-S-DC-P,UG,personal,P,Self-interest,D,C,D-C,True
T06,V28,61.0,0.03580932916241063,,UG_BONUS,UG,Bonus,DG-M-K,DG,anonymous market,K,Moral,C,None,C-NA,False
