game_context,vignette_id,source_id_vignette,game_vignette,setting,setting_code,sender_category,receiver_action,joint_action,weight_analysis_pool_Aid,weight_analysis_pool_Bonus,weight_analysis_pool_Control,weight_analysis_pool_Market,weight_all30_Aid,weight_all30_Bonus,weight_all30_Control,weight_all30_Market,mean_rating_Aid,mean_rating_Bonus,mean_rating_Control,mean_rating_Market,comparison,difference_analysis_pool,difference_all30,raw_rating_difference,block,bar_type,bar_label
UG,V14,UG-M-CD-K,UG,anonymous market,K,Moral,D,C-D,0.05565533149866587,0.06357450840006507,0.06254149166312821,0.060849429806676604,0.045364014455315856,0.05206407620689,0.05252720962930421,0.05083734319383917,73.0,88.66666666666667,83.0,78.0,Market-Control,-0.0016920618564516057,-0.0016898664354650442,-5.0,M-D,vignette,"UG-K
V14"
UG,V15,UG-M-CD-P,UG,personal,P,Moral,D,C-D,0.062255802657623587,0.05623151722965144,0.06427755774165818,0.05317426211357696,0.0507453908940036,0.04605975211279902,0.05397894106596277,0.04440384467140637,81.66666666666667,78.33333333333333,85.33333333333333,68.0,Market-Control,-0.011103295628081218,-0.0095750963945564,-17.33333333333333,M-D,vignette,"UG-P
V15"
UG,V16,TG-C-CD-P,TG,personal,P,Cooperation,D,C-D,0.024737012715639346,0.02453799976833444,0.018730664082083123,0.021822234932038654,0.02015820966855941,0.02007155824749981,0.015652780002462178,0.01819198432966561,33.0,34.333333333333336,25.333333333333332,28.0,Market-Control,0.0030915708499555314,0.002539204327203431,2.666666666666668,C-D,vignette,"TG-P
V16"
UG,V18,TG-M-CC-P,TG,personal,P,Moral,C,C-C,0.028129774197953317,0.0279346920294196,0.021079705493410785,0.022554011082253828,0.02293129154304494,0.02286271873263578,0.017649953225607123,0.018821957646862366,37.333333333333336,39.0,28.333333333333332,29.0,Market-Control,0.0014743055888430424,0.0011720044212552433,0.6666666666666679,M-C,vignette,"TG-P
V18"
UG,V19,TG-C-CD-K,TG,anonymous market,K,Cooperation,D,C-D,0.022366823977019053,0.025014050984528316,0.01948638804677488,0.026467349633591278,0.018217471846680284,0.020462408694238217,0.016288016755774244,0.022058056125440383,29.666666666666668,35.0,26.333333333333332,34.0,Market-Control,0.006980961586816398,0.005770039369666139,7.666666666666668,C-D,vignette,"TG-K
V19"
UG,V20,UG-M-CC-P,UG,personal,P,Moral,C,C-C,0.06276901795143934,0.057481829807795974,0.06504442890730235,0.05448453465026459,0.05117549842088532,0.04709623635823849,0.054638136847109775,0.045547747668432226,82.33333333333333,80.0,86.33333333333333,69.66666666666667,Market-Control,-0.010559894257037752,-0.00909038917867755,-16.666666666666657,M-C,vignette,"UG-P
V20"
UG,V21,UG-C-CD-K,UG,anonymous market,K,Cooperation,D,C-D,0.056391752515501305,0.055989342411486336,0.0627859681840572,0.0570552266523218,0.04595669809272542,0.045868477660056146,0.05272298252851828,0.04764583316541623,74.0,78.0,83.33333333333333,73.0,Market-Control,-0.005730741531735396,-0.0050771493631020514,-10.333333333333329,C-D,vignette,"UG-K
V21"
UG,V23,UG-C-CD-P,UG,personal,P,Cooperation,D,C-D,0.057384781179244615,0.05645740324954828,0.06304159190593858,0.05782228999158382,0.04676443549357586,0.04624938669484896,0.05294271445556727,0.0483025182192644,75.33333333333333,78.66666666666667,83.66666666666667,74.0,Market-Control,-0.005219301914354761,-0.004640196236302872,-9.666666666666671,C-D,vignette,"UG-P
V23"
UG,V24,TG-S-DD-K,TG,anonymous market,K,Self-interest,D,D-D,0.021574435037195482,0.023803792977711583,0.018955282231229578,0.025962340801666775,0.01756484540569087,0.019469550524127327,0.01583403793249662,0.02163015167099738,28.666666666666668,33.333333333333336,25.666666666666668,33.333333333333336,Market-Control,0.0070070585704371975,0.005796113738500759,7.666666666666668,S-D,vignette,"TG-K
V24"
UG,V25,TG-M-CD-K,TG,anonymous market,K,Moral,D,C-D,0.022696547583620875,0.0293308841654735,0.02026197038324915,0.02516290344981213,0.01847742731324475,0.023995504425068603,0.016937768478265933,0.020979356632581044,30.0,41.0,27.333333333333332,32.333333333333336,Market-Control,0.0049009330665629805,0.0040415881543151115,5.0000000000000036,M-D,vignette,"TG-K
V25"
UG,V26,TG-C-CC-K,TG,anonymous market,K,Cooperation,C,C-C,0.02310866295624862,0.025764238531415035,0.019997635490537655,0.027269700161900164,0.018832661735212943,0.0210842992415019,0.016727480609872242,0.022741452915939972,30.666666666666668,36.0,27.0,35.0,Market-Control,0.007272064671362509,0.0060139723060677296,8.0,C-C,vignette,"TG-K
V26"
UG,V27,UG-S-DC-P,UG,personal,P,Self-interest,C,D-C,0.06589433586205717,0.0571596485276434,0.06506428727908486,0.05721256241480554,0.05368851402968381,0.04681162877043903,0.0546526518162894,0.047749735104305975,86.33333333333333,79.66666666666667,86.33333333333333,73.0,Market-Control,-0.007851724864279326,-0.006902916711983426,-13.333333333333329,S-C,vignette,"UG-P
V27"
UG,V29,TG-M-CD-P,TG,personal,P,Moral,D,C-D,0.027337385258129742,0.02719249486066481,0.020292975955984092,0.02176784756024125,0.022278665102055516,0.0222507695973177,0.016976242475280495,0.018135615848646855,36.333333333333336,38.0,27.333333333333332,28.0,Market-Control,0.0014748716042571573,0.0011593733733663604,0.6666666666666679,M-D,vignette,"TG-P
V29"
UG,V30,TG-S-DD-P,TG,personal,P,Self-interest,D,D-D,0.02488710247896508,0.02261760878595878,0.01847504036020173,0.020517788748259505,0.020275884075963656,0.01850043560545382,0.01543304807541318,0.017113284836806273,33.333333333333336,31.666666666666668,25.0,26.333333333333332,Market-Control,0.002042748388057774,0.0016802367613930926,1.3333333333333321,S-D,vignette,"TG-P
V30"
DG,TOTAL,Class total,TOTAL,class total,T,Cooperation,None,TOTAL,,,0.33258317124432196,0.32702630274049127,,,0.1113804943737916,0.09857048614681274,,,166.0,147.66666666666666,Market-Control,-0.005556868503830664,-0.012810008226978857,-18.333333333333343,C,total,TOTAL
DG,TOTAL,Class total,TOTAL,class total,T,Moral,None,TOTAL,,,0.3377875954277608,0.32774341239792837,,,0.11305065977108036,0.09906278975159086,,,168.66666666666669,148.0,Market-Control,-0.010044183029832399,-0.013987870019489507,-20.66666666666668,M,total,TOTAL
DG,TOTAL,Class total,TOTAL,class total,T,Self-interest,None,TOTAL,,,0.3296292333279172,0.34523028486158025,,,0.11031390994289303,0.10431111211520445,,,164.66666666666666,155.66666666666669,Market-Control,0.015601051533663063,-0.006002797827688568,-8.999999999999986,S,total,TOTAL
TG,TOTAL,Class total,TOTAL,class total,T,Cooperation,C,TOTAL,,,0.1709259057446006,0.17196709652557746,,,0.14656513103389082,0.14576419645203717,,,240.33333333333334,246.0,Market-Control,0.001041190780976843,-0.0008009345818536552,5.666666666666664,C-C,total,TOTAL
TG,TOTAL,Class total,TOTAL,class total,T,Cooperation,D,TOTAL,,,0.16826295891291929,0.1702333124879019,,,0.1442497112388591,0.14425406261024626,,,236.66666666666666,243.66666666666669,Market-Control,0.001970353574982618,4.35137138715333e-06,7.000000000000007,C-D,total,TOTAL
TG,TOTAL,Class total,TOTAL,class total,T,Moral,C,TOTAL,,,0.17056876903380452,0.16863359589017973,,,0.1462770460341522,0.14291307743255288,,,239.66666666666666,241.33333333333331,Market-Control,-0.0019351731436247667,-0.003363968601599314,1.6666666666666572,M-C,total,TOTAL
TG,TOTAL,Class total,TOTAL,class total,T,Moral,D,TOTAL,,,0.16763072192832498,0.16620377473559467,,,0.1437207264144298,0.1408321677593459,,,235.66666666666666,238.0,Market-Control,-0.0014269471927303018,-0.002888558655083893,2.3333333333333286,M-D,total,TOTAL
TG,TOTAL,Class total,TOTAL,class total,T,Self-interest,C,TOTAL,,,0.16228608718964038,0.1625784013739912,,,0.13911411241447344,0.13774227211456247,,,228.33333333333334,233.0,Market-Control,0.0002923141843508316,-0.0013718402999109668,4.66666666666665,S-C,total,TOTAL
TG,TOTAL,Class total,TOTAL,class total,T,Self-interest,D,TOTAL,,,0.16032555719071023,0.16038381898675502,,,0.1374097629757947,0.13585686586266538,,,225.66666666666666,230.0,Market-Control,5.826179604478954e-05,-0.0015528971131293385,4.333333333333332,S-D,total,TOTAL
UG,TOTAL,Class total,TOTAL,class total,T,Cooperation,C,TOTAL,,,0.1660896019939049,0.163658836211618,,,0.13936434915871396,0.1366618430540288,,,221.33333333333331,209.66666666666669,Market-Control,-0.002430765782286907,-0.0027025061046851637,-11.66666666666666,C-C,total,TOTAL
UG,TOTAL,Class total,TOTAL,class total,T,Cooperation,D,TOTAL,,,0.1640446122188538,0.16316710120953556,,,0.13760649374232198,0.1361983918397866,,,218.66666666666666,209.0,Market-Control,-0.0008775110093182277,-0.0014081019025353539,-9.666666666666664,C-D,total,TOTAL
UG,TOTAL,Class total,TOTAL,class total,T,Moral,C,TOTAL,,,0.17020571505649745,0.16359117500997852,,,0.14285172781553204,0.13664102133280923,,,226.66666666666666,209.66666666666669,Market-Control,-0.00661454004651894,-0.00621070648272282,-16.99999999999999,M-C,total,TOTAL
UG,TOTAL,Class total,TOTAL,class total,T,Moral,D,TOTAL,,,0.16737399574401962,0.16095444293030695,,,0.1404201616488134,0.13435616034647344,,,223.0,206.33333333333334,Market-Control,-0.006419552813712686,-0.006064001302339972,-16.666666666666657,M-D,total,TOTAL
UG,TOTAL,Class total,TOTAL,class total,T,Self-interest,C,TOTAL,,,0.16704764970583824,0.17537053385177875,,,0.1401329257863906,0.14636388680671675,,,222.66666666666669,224.33333333333334,Market-Control,0.008322884145940502,0.0062309610203261576,1.6666666666666714,S-C,total,TOTAL
UG,TOTAL,Class total,TOTAL,class total,T,Self-interest,D,TOTAL,,,0.165238425280886,0.17325791078678224,,,0.13858028732786798,0.1445365870191913,,,220.33333333333334,221.66666666666666,Market-Control,0.008019485505896227,0.005956299691323334,1.3333333333333286,S-D,total,TOTAL
DG,V02,DG-S-K,DG,anonymous market,K,Self-interest,None,D-NA,0.1493724265662549,0.17000083977458305,0.1628081781465768,0.2011919855322429,0.04344645834515006,0.052871521388110264,0.05448336920252527,0.0608212469550573,66.0,83.66666666666667,81.33333333333333,90.66666666666667,Aid-Bonus,-0.020628413208328145,-0.009425063042960202,-17.66666666666667,S,vignette,"DG-K
V02"
DG,V04,DG-S-P,DG,personal,P,Self-interest,None,D-NA,0.18284505058854142,0.1372834453628362,0.1668210551813404,0.14403829932933737,0.05328407863021609,0.042574959432040343,0.05583054074036775,0.043489865160147155,80.66666666666667,67.66666666666667,83.33333333333333,65.0,Aid-Bonus,0.04556160522570521,0.01070911919817575,13.0,S,vignette,"DG-P
V04"
DG,V07,DG-M-P,DG,personal,P,Moral,None,C-NA,0.19717438888123553,0.15078447453338908,0.17425930001711828,0.14076982907607605,0.05765385381487212,0.04677313679182261,0.05832980527434123,0.0425959352878445,86.66666666666667,74.33333333333333,87.0,63.666666666666664,Aid-Bonus,0.04638991434784645,0.010880717023049512,12.333333333333343,M,vignette,"DG-P
V07"
DG,V17,DG-C-K,DG,anonymous market,K,Cooperation,None,C-NA,0.1549042567846811,0.17577040384223674,0.16497330650209643,0.17796219013753323,0.045171107901385676,0.054529286645830156,0.05525945167036148,0.05364182243257582,68.33333333333333,86.66666666666667,82.33333333333333,80.33333333333333,Aid-Bonus,-0.020866147057555656,-0.00935817874444448,-18.333333333333343,C,vignette,"DG-K
V17"
DG,V22,DG-C-P,DG,personal,P,Cooperation,None,C-NA,0.1692519630803141,0.17866633075683344,0.16760986474222553,0.14906411260295807,0.04935027834536875,0.05556066336430959,0.05612104270343012,0.04492866371423693,74.66666666666667,88.0,83.66666666666667,67.33333333333333,Aid-Bonus,-0.009414367676519347,-0.006210385018940841,-13.333333333333329,C,vignette,"DG-P
V22"
DG,V28,DG-M-K,DG,anonymous market,K,Moral,None,C-NA,0.14645191409897293,0.18749450573012147,0.1635282954106425,0.18697358332185235,0.0426466913627219,0.058249468605636595,0.054720854496739135,0.05646685446374636,64.66666666666667,92.33333333333333,81.66666666666667,84.33333333333333,Aid-Bonus,-0.04104259163114854,-0.015602777242914694,-27.666666666666657,M,vignette,"DG-K
V28"
TG,V01,TG-C-CC-P,TG,personal,P,Cooperation,C,C-C,0.061867475895271716,0.05883393841974832,0.06387021412914173,0.05565262898777552,0.051851482791284674,0.04862814698056014,0.0547732514746716,0.04716578339528107,87.33333333333333,83.33333333333333,89.66666666666667,79.66666666666667,Aid-Bonus,0.0030335374755233943,0.003223335810724537,4.0,C-C,vignette,"TG-P
V01"
