comparison,comparison_label,game,story,condition,representation,count,n,share_pct,pooled_median,tie_rule
aid_vs_bonus,Aid $-$ Bonus,ug,2,Bonus,MH,232,562,41.281138790035584,0.48,High if belief > median; Low if belief <= median
aid_vs_bonus,Aid $-$ Bonus,ug,2,Bonus,ML,244,562,43.41637010676156,0.48,High if belief > median; Low if belief <= median
aid_vs_bonus,Aid $-$ Bonus,ug,2,Bonus,SH,32,562,5.6939501779359425,0.48,High if belief > median; Low if belief <= median
aid_vs_bonus,Aid $-$ Bonus,ug,2,Bonus,SL,27,562,4.804270462633451,0.48,High if belief > median; Low if belief <= median
aid_vs_bonus,Aid $-$ Bonus,ug,2,Bonus,CH,11,562,1.9572953736654803,0.48,High if belief > median; Low if belief <= median
aid_vs_bonus,Aid $-$ Bonus,ug,2,Bonus,CL,16,562,2.8469750889679712,0.48,High if belief > median; Low if belief <= median
aid_vs_bonus,Aid $-$ Bonus,ug,4,Aid,MH,197,558,35.30465949820788,0.48,High if belief > median; Low if belief <= median
aid_vs_bonus,Aid $-$ Bonus,ug,4,Aid,ML,224,558,40.14336917562724,0.48,High if belief > median; Low if belief <= median
aid_vs_bonus,Aid $-$ Bonus,ug,4,Aid,SH,71,558,12.724014336917563,0.48,High if belief > median; Low if belief <= median
aid_vs_bonus,Aid $-$ Bonus,ug,4,Aid,SL,42,558,7.526881720430108,0.48,High if belief > median; Low if belief <= median
aid_vs_bonus,Aid $-$ Bonus,ug,4,Aid,CH,11,558,1.971326164874552,0.48,High if belief > median; Low if belief <= median
aid_vs_bonus,Aid $-$ Bonus,ug,4,Aid,CL,13,558,2.3297491039426523,0.48,High if belief > median; Low if belief <= median
aid_vs_bonus,Aid $-$ Bonus,tg,2,Bonus,MH,80,467,17.130620985010705,0.3333333333333333,High if belief > median; Low if belief <= median
aid_vs_bonus,Aid $-$ Bonus,tg,2,Bonus,ML,127,467,27.194860813704498,0.3333333333333333,High if belief > median; Low if belief <= median
aid_vs_bonus,Aid $-$ Bonus,tg,2,Bonus,SH,14,467,2.9978586723768736,0.3333333333333333,High if belief > median; Low if belief <= median
aid_vs_bonus,Aid $-$ Bonus,tg,2,Bonus,SL,60,467,12.84796573875803,0.3333333333333333,High if belief > median; Low if belief <= median
aid_vs_bonus,Aid $-$ Bonus,tg,2,Bonus,CH,59,467,12.633832976445397,0.3333333333333333,High if belief > median; Low if belief <= median
aid_vs_bonus,Aid $-$ Bonus,tg,2,Bonus,CL,127,467,27.194860813704498,0.3333333333333333,High if belief > median; Low if belief <= median
aid_vs_bonus,Aid $-$ Bonus,tg,4,Aid,MH,55,470,11.702127659574469,0.3333333333333333,High if belief > median; Low if belief <= median
aid_vs_bonus,Aid $-$ Bonus,tg,4,Aid,ML,148,470,31.48936170212766,0.3333333333333333,High if belief > median; Low if belief <= median
aid_vs_bonus,Aid $-$ Bonus,tg,4,Aid,SH,9,470,1.9148936170212765,0.3333333333333333,High if belief > median; Low if belief <= median
aid_vs_bonus,Aid $-$ Bonus,tg,4,Aid,SL,60,470,12.76595744680851,0.3333333333333333,High if belief > median; Low if belief <= median
aid_vs_bonus,Aid $-$ Bonus,tg,4,Aid,CH,78,470,16.595744680851062,0.3333333333333333,High if belief > median; Low if belief <= median
aid_vs_bonus,Aid $-$ Bonus,tg,4,Aid,CL,120,470,25.53191489361702,0.3333333333333333,High if belief > median; Low if belief <= median
