"classification_id","memory"
"WCLS00203","a chance of winning more money"
"WCLS00204","a chance to win some money"
"WCLS00205","A change of this magnitude would have been very unwise as the result would not cover her material costs yet alone time spent."
"WCLS00206","a charitable donation"
"WCLS00207","A charitable donation on my part."
"WCLS00208","A charitable organisation, perhaps - a not-for-profit."
"WCLS00210","a cheap tesco item"
"WCLS00211","A child being given a bag of sweets and deciding not to share any of them with anyone."
"WCLS00212","A child not sharing its toys with another child"
"WCLS00213","A child that feels selfish and wants the money for themself"
"WCLS00214","A christian way of solving a case. Equality and sympathy."
"WCLS00215","A Christmas Carol"
"WCLS00216","A Christmas sale price where things are a little cheaper from Boxing Day onwards"
"WCLS00217","A clearance sale like Amazon or Walmart"
"WCLS00218","A clearance sale on a small item"
"WCLS00219","A Clearance sale online"
"WCLS00220","A clearance sale where prices are slashed hugely"
"WCLS00221","A clearance sale where the store wants to get rid of the item"
"WCLS00222","A clearance sale, or a market loss, like Sams Club chicken"
"WCLS00223","A cleareance sale, or a Black Friday promotion."
"WCLS00224","A close friend who needs the money. I'd be sacrificing my amount so they have more than me, so it wouldn't be just anyone."
"WCLS00225","a closing down mega sale"
"WCLS00226","a closing down sale where they want to get rid of stock"
"WCLS00227","A clumsy friend losing a few coins down a drain."
"WCLS00228","A coffee"
"WCLS00229","A coffee and a cake"
"WCLS00230","a coffee in starbucks"
"WCLS00231","A coffee they like"
"WCLS00232","A common situation might be we both work at the same place, I showed up for the work, the other participant did not, they stayed home. As they did none of the work that day they did not deserve any of the pay."
"WCLS00233","a company about to go under becuase they have to cut prices by 75%"
"WCLS00234","a company hurting for revenue trying to boost their top line."
"WCLS00235","a company keeping steady prices"
"WCLS00236","a company not increasing its prices"
"WCLS00237","A company or a person I have a connection with, to offer them a discount."
"WCLS00238","a company owes you a piddly amount refund, like your insurance company"
"WCLS00239","A company produces a product, and sells it to a retailer at six dollars, and the retailer sells it at twelve."
"WCLS00240","A company really wanting to sell the data and maybe wanting to be competitive."
"WCLS00241","A compassionate non profit organization"
"WCLS00242","a competitive price has been set for a good selling line , there is no reason to change he price as an increase would cut sales and a decrease would hit profit margins."
"WCLS00243","A competitor having a sale and needing to match the prices"
"WCLS00244","a compromise"
"WCLS00245","A concert venue raises ticket prices because the artist suddenly becomes more popular and demand spikes."
"WCLS00246","a considerable penalty and very unfair"
"WCLS00247","A contract that agrees not to increase your rent for the next year."
"WCLS00248","a corporation exploiting other people"
"WCLS00249","A couple of cheap tshirts from Primark"
"WCLS00250","a coupon at the store"
"WCLS00251","A coupon discount I would be glad to use"
"WCLS00252","A crime and injustice like modern day slavery as I wouldn't get what I deserve."
"WCLS00253","a cup of cofee and a breakfast pastry"
"WCLS00254","a cup of coffee at starbucks"
"WCLS00255","A cup of coffee in a cafe"
"WCLS00256","a cyber monday sale is what i imagine in this scenario"
"WCLS00257","A deal among friends, where nobody profits or suffers"
"WCLS00258","A deal to allow the broker to make more money e.g. bulk buy."
"WCLS00259","A decorative item newly on display."
"WCLS00260","A decrease in total money which isn't good"
"WCLS00261","a deliveroo order"
"WCLS00262","A department store was running a sale on its everyday products. It was a 30% off sale and drew customers in."
"WCLS00263","A designer boutique where no discounts are offered as their items are in high demand and sell really quickly."
"WCLS00264","A detergent company decreasing the price by $4 to gain new customers"
"WCLS00265","A difficult decision"
"WCLS00266","A discount at a store."
"WCLS00267","A discount at a supermarket for loyalty card holders"
"WCLS00268","A discount code for an online shop."
"WCLS00269","a discount for purchase"
"WCLS00270","A discount from a shop by -2 lowering it initial prices.This leads to more sales since customers will prefer to buy at a cheaper price."
"WCLS00271","A discount in a high street shop"
"WCLS00272","a discount in a shop in the high street"
"WCLS00273","A discount on items, for example, clubcard prices."
"WCLS00274","a discount on something I buy"
"WCLS00275","A discount sale like a store might run"
"WCLS00276","A discount using a loyalty card"
"WCLS00277","a discount, a seasonal sale"
"WCLS00278","A discussion where you are all friendly and accept the situation as it is without questioning the rights or wrongs of the scenario."
"WCLS00279","A discussion where you feel that you can afford to give up your position to help the other party."
"WCLS00280","A discussion where you want to work towards a common ground, ensuring fairness."
"WCLS00281","A display of my lack of bravery"
"WCLS00282","A divorce where both parties divide everything completely equally down the middle and both end up with the same amount."
"WCLS00283","A dominant party exploiting a weaker party to achieve total control."
"WCLS00284","A donation given in generosity."
"WCLS00285","A donation to a charity"
"WCLS00286","A donation to a charity with a local cause"
"WCLS00287","a donation to charity"
"WCLS00288","A donation."
"WCLS00289","a donation. Giving up more money to the broker is saying that I don't value my data as much."
"WCLS00290","A double bonus, sharing."
"WCLS00291","A draw"
"WCLS00292","a drink and chips"
"WCLS00293","A end of season sale."
"WCLS00294","A equal relationship."
"WCLS00295","a fair adjustment to brokering the deal"
"WCLS00296","A fair and equitable balance between equals."
"WCLS00297","a fair and equitable share in the spoils"
"WCLS00298","a fair and equitable society which gives us both the same amount"
"WCLS00299","a fair and even trade, paying my friend back for something they paid for me"
"WCLS00300","a fair arrangment"
"WCLS00301","A fair compromise"
"WCLS00302","a fair days work"
"WCLS00303","A fair deal but weighted towards them, e.g. having 2 slices of cake and giving them the slice that's a lot bigger"
"WCLS00304","a fair deal for both of us"
"WCLS00305","A fair deal where a pot is split evenly."
"WCLS00306","A fair deal. The broker provides a service but a relatively small one."
"WCLS00307","A fair decision - what most people would pick"
"WCLS00308","A fair division between partners"
"WCLS00309","A fair friend"
"WCLS00310","A fair game between two people"
"WCLS00311","A fair meet in the middle"
"WCLS00312","a fair offer being fair and reasonable"
"WCLS00313","A fair outcome for 2 people."
"WCLS00314","A fair payment"
"WCLS00315","a fair price for brokering the deal"
"WCLS00316","A fair price for the data, a situation agreeable to both parties"
"WCLS00317","a fair return on funds for the recipient"
"WCLS00318","A fair share for equal participants"
"WCLS00319","A fair share to somebody who assisted more than myself"
"WCLS00320","a fair situation for all"
"WCLS00321","A fair society where people get to keep their money without interference."
"WCLS00322","A fair split"
"WCLS00323","A fair transaction that involves fair payment"
"WCLS00324","A family or friend with greater needs than I"
"WCLS00325","a far etter outcome for me personally"
"WCLS00326","A farmer selling a commodity which has experienced a 33% price decline."
"WCLS00327","A farmer selling a commodity which has experienced a 50% price decline."
"WCLS00328","A farmer selling a commodity which has experienced a 66% price decline."
"WCLS00329","A farmer selling a commodity which has maintained a stable price."
"WCLS00330","A fast food restaurant decreasing their burrito by $2 to gain new customers"
"WCLS00331","A father who earns their salary only to purchase Christmas gifts for their children, and remaining with less than they require to make their day equally memorable"
"WCLS00332","A feeling of not needing the money and hoping the other participant is in need of it more"
"WCLS00333","A final clearance sale"
"WCLS00334","A flash sale or Black Friday deal"
"WCLS00335","a flat economy in my country"
"WCLS00336","a football match where both teams draw"
"WCLS00337","A football team, where the top scorer takes home all the glory without the need to know how their team performed, or who assisted them to get there."
"WCLS00338","A free event, that does not need money to be handed over"
"WCLS00339","A free giveaway or a free reward"
"WCLS00340","A free, limited time offer from a subscription service e.g Youtube"
"WCLS00341","A freelance graphic designer usually charges £8 for a quick logo tweak. But after getting swamped with requests and realising clients find the service genuinely valuable, they raised the fee to £12. It’s a modest increase, not extreme, but enough to reflect higher demand and limited time."
"WCLS00342","A freelance writer or consultant that charges a client a little less than they would have charged otherwise to get a long term contract with that client. It is a small concession to secure the broker to take the deal, instead of the maximum short-term profit it could have a good relationship with him."
"WCLS00343","A freelancer keeps their hourly rate the same."
"WCLS00344","a freelancer upsells a premium service to a eager client who wants top quality results."
"WCLS00345","a friend"
"WCLS00346","A friend and I go to a ticketed event in the area. The tickets cost $6. My friend has $4 and I have $8. I want to enjoy the event with them and don't mind paying for part of their ticket, so I give them $2."
"WCLS00347","A friend asking for me to pay them back for a small item they purchased for me."
"WCLS00348","A friend asking for some money for lunch so I am nice enough to give him 8 bucks for a sandwich"
"WCLS00349","A friend asks for something from the store, and I decide to give him $6 of his own to go in with."
"WCLS00350","A FRIEND AT BINGO WINNING AND NOT OFFERING TO SHARE WINNINGS AFTER i PAID FOR BINGO CARDS"
"WCLS00351","A friend being low on money and not being able to afford the full $12 - I contribute $4 to help her pay but she still pays the majority."
"WCLS00352","A friend bought a new pair of shoes on sale"
"WCLS00353","A friend buying me a soft drink and me giving them the money"
"WCLS00354","A friend buying me something without expecting me to pay them back. Just being kind."
"WCLS00355","a friend could not afford a monthly rent payment"
"WCLS00356","A friend covered my coffee the other day and I paid them back."
"WCLS00357","A friend gave me and the other partiipant $12 as a gift and sent it to my Cash App and asked me to give half to the other partiicpant."
"WCLS00358","a friend giving me some cash to donate to a charity in the street"
"WCLS00359","A friend had forgotten to bring some drinks to the party, so I offered to give them half of mine."
"WCLS00360","A friend has forgotten lunch and I am giving them some of mine, but not half of it and not all of it - as I still need lunch too."
"WCLS00361","A friend is short a few dollars after an event, and asks if I can loan them some cash so they can get a drink. It's only a drink, so I offer to buy it for them anyway."
"WCLS00362","A friend needing cash to feed her children"
"WCLS00363","A friend needs $4 to complete a transaction."
"WCLS00364","A friend of mine giving another girl the gift he won at the Christmas party because she would benefit from it more"
"WCLS00365","A friend of mine paid for my coffee earlier and I paid her back by transferring $4."
"WCLS00366","A friend offering to sell an item at a large discount as a 'mates rate'"
"WCLS00367","A friend owes you $4 so gives it back to you"
"WCLS00368","A friend paid for a meal we shared in a restaurant. However, he spent more than me so I transferred -$4 so that I did not have to pay half of the extra cost for his meal."
"WCLS00369","A friend sending me $4 back for paying for their entrance to the county Fair"
"WCLS00370","A friend sending their friend a link to signup for a new service to get a percentage off"
"WCLS00371","A friend splitting their popcorn with me at the movies"
"WCLS00372","A friend who cares about a friend"
"WCLS00373","A friend who could use a little extra money and joy"
"WCLS00374","A friend who exploits a friend"
"WCLS00375","A friend who is not offering help"
"WCLS00376","A friend who is there when needed"
"WCLS00377","a frustrating argument with a co-worker."
"WCLS00378","A further price decrease on Cyber Monday"
"WCLS00379","a gable and me winning the other participants share."
"WCLS00380","A game of monopoly where we all start with nothing"
"WCLS00381","A game on TV where you decide to make a deal or 'shaft' your opponent"
"WCLS00382","A game player who's trying to be fair"
"WCLS00383","A generous act but still ensuring i keep most of the value."
"WCLS00384","A generous charity donation"
"WCLS00385","A generous friend"
"WCLS00386","A generous gift giving to someone."
"WCLS00387","A generous gift."
"WCLS00388","a generous giftto the other participant"
"WCLS00389","A generous person but one who has limited monetary knowledge who will quickly become bankrupt."
"WCLS00390","A generous relationship between partners"
"WCLS00391","A generous situation where someone gives most of what they have to help another person in need, like offering financial support to a friend who is struggling."
"WCLS00392","A gift exchange of equal value"
"WCLS00393","A gift for a special occasion"
"WCLS00394","A gift for a special occasion or a loan"
"WCLS00395","A gift i guess?"
"WCLS00396","A gift of four dollars."
"WCLS00397","a gift or donation is what this is like"
"WCLS00398","A gift to a charity"
"WCLS00399","A gift to a friend"
"WCLS00400","A gift to a very close person. Maybe to celebrate a birthday or event."
"WCLS00401","A girls trip I went on even though the girl had money it wasn't as much as the others. Therefore she had to eat very a very cheap meal when we went out."
"WCLS00402","A give to another person"
"WCLS00403","A giveaway for the person is cool."
"WCLS00404","A glass of free tap water"
"WCLS00405","A going out of business sale."
"WCLS00406","A gold necklace sold on ebay"
"WCLS00407","A good amount of charity work."
"WCLS00408","A good bargain - buying a car and haggling"
"WCLS00409","a good deal for just giving information /data"
"WCLS00410","A good deal for me when selling something on an online marketplace."
"WCLS00411","a good deal for them"
"WCLS00412","a good deed at christmas and feeling superior"
"WCLS00413","a good deed but feeling proud and humble."
"WCLS00414","A good discount to draw people in"
"WCLS00415","A good faith gesture to welcome a team member on board"
"WCLS00416","A good heart out to make change in the heart"
"WCLS00417","A good lunch from my favorite little shop."
"WCLS00418","A good online sale where my data is up for grabs!"
"WCLS00419","A good sale where the person is getting a bargain"
"WCLS00420","A good split to allow us to both make money"
"WCLS00421","a good surgery being approved"
"WCLS00422","A greedy billionnaire."
"WCLS00423","a greedy inconsiderate person"
"WCLS00424","A greedy or selfish individual who is given something for nothing which could be shared but keeps it to themselves"
"WCLS00425","A greedy person"
"WCLS00426","A greedy situation from someone wanting to gain as much as possible."
"WCLS00427","A greedy situation, just take and take, similar to healthcare in the USA."
"WCLS00428","A greedy unfeeling person who does not care about other people and is happy to take off those even those in need."
"WCLS00429","A grocery store reducing meat prices closer to the date of expiration."
"WCLS00430","A group of people are confident in their product and don't want to devalue it"
"WCLS00431","A group of people need to split 10 bucks"
"WCLS00432","A gym reduces its monthly membership fee because fewer people are signing up, so they drop the price to attract more customers."
"WCLS00433","A HALF PRICE DEAL BECAUSE THIS IS 50 % OFF THE TOTAL IT WAS BEFORE"
"WCLS00434","a half price deal on clothing items"
"WCLS00435","A half price offer, similar to a buy one get one free"
"WCLS00436","a half price sale for the weekend only"
"WCLS00437","A half price sale in a clothes shop where items are selling for half of what they originally were."
"WCLS00438","A half price sale in my store"
"WCLS00439","A half price sale on a cheap clothing product in a supermarket."
"WCLS00440","A half price sale on Black Friday"
"WCLS00441","A half price sale, suitable for black Friday or Cyber Monday"
"WCLS00442","A half price supermarket deal or a two for one offer"
"WCLS00443","A half-price Black Friday sale"
"WCLS00444","A halfoff sale in the store"
"WCLS00445","A handbag found on ebay"
"WCLS00446","A happy medium"
"WCLS00447","A hard negotiation for a used car."
"WCLS00448","a hard worker supporting someone less well off"
"WCLS00449","A heavy reduction used to incentivise a certain action."
"WCLS00450","A heavy shower of rain."
"WCLS00451","a high tax socialist economy"
"WCLS00452","A high-earner pays a little extra so all friends walk away with the same amount."
"WCLS00453","A high-school contest, where despite losing one still gets a certificate of participation"
"WCLS00454","A highly reduced sale item"
"WCLS00455","A homeless person asking for spare change but you have no cash on you so unable to give them any"
"WCLS00456","a huge discount is coming"
"WCLS00457","a hungry person"
"WCLS00458","a hustle a hustle a hustle"
"WCLS00459","A JOB I ONES DID AND DIDN'T GET PAID FOR IT"
"WCLS00460","A job. We are trading effort and time for money"
"WCLS00461","A judge deciding on how to allocate items in an estate case."
"WCLS00462","a kid receives a gift card for 12 bucks so he splits even with his brother 6/6 to buy something online"
"WCLS00463","A kind but small gesture to equal things out"
"WCLS00464","A kind gesture or gift"
"WCLS00465","a kind, generous and selfless person which is how I view myself"
"WCLS00466","a landlord and tenant meeting to discuss rent for next year, both expecting a negotiation but after talking, they agree to keep everything exactly the same."
"WCLS00467","A landlord decides not to change the rent when renewing a tenant’s lease."
"WCLS00468","A landlord refusing to make necessary repairs to an apartment despite receiving full rent."
"WCLS00469","A landlord renewing a lease at the exact same rent without increase."
"WCLS00470","A landlord who refuses to adjust costs for their tenant. Will leave them short on money."
"WCLS00471","A large corporation pays a fraction of what they earn to their entry-level workers"
"WCLS00472","A large discount which would not be acceptable"
"WCLS00473","A large donation from a wealthy individual."
"WCLS00474","a little bit more fair for the both of us"
"WCLS00475","A little bit unfair"
"WCLS00476","A little chocolate bar"
"WCLS00477","A little gift from my friend paying for a coffee out and not expecting any payment in return"
"WCLS00478","a little more fair"
"WCLS00479","a little more generous"
"WCLS00480","A little selfish"
"WCLS00481","A little selfish but better than not giving anything."
"WCLS00482","A local café usually sells iced coffee for £8, but a regular customer comes in every morning. The barista decides to charge them £6 instead as a small “regulars’ discount.”"
"WCLS00483","a loss which benefits no one"
"WCLS00484","A lot of extra effort was made doing something. For example, mowing someone's lawn but needing to charge extra because of weeding that needed to be done by hand."
"WCLS00485","A lot of people would negotiate for a higher price for their work if given the opportunity."
"WCLS00486","A lot of society, where people take from each other to get the highest benefit for themselves without thinking about the other person."
"WCLS00487","A lottery"
"WCLS00488","A lottery where no one wins any money from the big state game."
"WCLS00489","A lottery winner sharing his wins"
"WCLS00490","A low-profit business. Perhaps a new business trying to entice customers."
"WCLS00491","A lower introductory price designed to draw a customer in"
"WCLS00492","A loyalty discount in tesco's"
"WCLS00493","A loyalty price for returning customers or a deal on things, for example, two for tuesdays at dominoes"
"WCLS00494","a lunch"
"WCLS00495","A luxury brand refusing to put a high-value item on sale."
"WCLS00496","A magazine worth of money"
"WCLS00497","A major clearance sale at a store where prices are deeply discounted might be an example. For instance, imagine a winter coat originally priced at $12 is marked down by $8 to clear out stock before spring. This represents a significant price reduction, often seen during end-of-season sales when retailers want to quickly move merchandise."
"WCLS00498","A major health issue needing treatment."
"WCLS00499","A majority"
"WCLS00500","A man is reading the sale circular inside the local Piggly Wiggly supermarket."
"WCLS00501","A manufacturer or artisan in dire need of money and selling his or her original piece to an agent at a very high price in order to ensure a fast sale. The broker will rake in lots of money, and the artist will take the low bid due to the urgent need of the money and not the ultimate amount of money. It is a desperate sell."
"WCLS00502","A market seller has lots of competition"
"WCLS00503","A market seller refusing to negotiate on price."
"WCLS00504","A MASSIVE SALE BECAUSE THIS IS 80 % OFF THE ORIGIANL TOTAL PRICE i BELIEVE"
"WCLS00505","A meal deal"
"WCLS00506","A meal deal in a petrol station or shops, where if you buy multiple items, e.g. a sandwich, a drink and a snack, you get a discounted price overall."
"WCLS00507","a meal deal in pret"
"WCLS00508","A mean spirited approach."
"WCLS00509","A meaningless task with a dark ending."
"WCLS00510","A middle finger again."
"WCLS00511","a millionaire requesting his staff buy his lunch"
"WCLS00512","A minus price seems to be a bit unfair - having two children with two chocolate bars each and making one of them give one bar away"
"WCLS00513","A moderate shower of rain."
"WCLS00514","A moderate to heavy shower of rain."
"WCLS00515","A money-off deal on Amazon or eBay."
"WCLS00516","A monopoly - where one person or company has all the power."
"WCLS00517","A monopoly is setting the price."
"WCLS00518","A monthly price decrease for my house insurance"
"WCLS00519","A monthly price increase for my pet insurance."
