classification_id,category_num,classification_origin
WCLS11814,1,gpt_5_6_subagent_rowwise
WCLS11815,0,gpt_5_6_subagent_rowwise
WCLS11816,0,gpt_5_6_subagent_rowwise
WCLS11817,1,gpt_5_6_subagent_rowwise
WCLS11818,3,gpt_5_6_subagent_rowwise
WCLS11819,0,gpt_5_6_subagent_rowwise
WCLS11820,1,gpt_5_6_subagent_rowwise
WCLS11821,1,gpt_5_6_subagent_rowwise
WCLS11822,0,gpt_5_6_subagent_rowwise
WCLS11823,3,gpt_5_6_subagent_rowwise
WCLS11824,1,gpt_5_6_subagent_rowwise
WCLS11825,0,gpt_5_6_subagent_rowwise
WCLS11826,1,gpt_5_6_subagent_rowwise
WCLS11827,1,gpt_5_6_subagent_rowwise
WCLS11828,1,gpt_5_6_subagent_rowwise
WCLS11829,3,gpt_5_6_subagent_rowwise
WCLS11830,1,gpt_5_6_subagent_rowwise
WCLS11831,3,gpt_5_6_subagent_rowwise
WCLS11832,0,gpt_5_6_subagent_rowwise
WCLS11833,2,gpt_5_6_subagent_rowwise
WCLS11834,0,gpt_5_6_subagent_rowwise
WCLS11835,3,gpt_5_6_subagent_rowwise
WCLS11836,0,gpt_5_6_subagent_rowwise
WCLS11837,1,gpt_5_6_subagent_rowwise
WCLS11838,1,gpt_5_6_subagent_rowwise
WCLS11839,1,gpt_5_6_subagent_rowwise
WCLS11840,1,gpt_5_6_subagent_rowwise
WCLS11841,1,gpt_5_6_subagent_rowwise
WCLS11842,3,gpt_5_6_subagent_rowwise
WCLS11843,3,gpt_5_6_subagent_rowwise
WCLS11844,3,gpt_5_6_subagent_rowwise
WCLS11845,3,gpt_5_6_subagent_rowwise
WCLS11846,1,gpt_5_6_subagent_rowwise
WCLS11847,1,gpt_5_6_subagent_rowwise
WCLS11848,1,gpt_5_6_subagent_rowwise
WCLS11849,1,gpt_5_6_subagent_rowwise
WCLS11850,1,gpt_5_6_subagent_rowwise
WCLS11851,2,gpt_5_6_subagent_rowwise
WCLS11852,2,gpt_5_6_subagent_rowwise
WCLS11853,2,gpt_5_6_subagent_rowwise
WCLS11854,3,gpt_5_6_subagent_rowwise
WCLS11855,0,gpt_5_6_subagent_rowwise
WCLS11856,1,gpt_5_6_subagent_rowwise
WCLS11857,0,gpt_5_6_subagent_rowwise
WCLS11858,0,gpt_5_6_subagent_rowwise
WCLS11859,0,gpt_5_6_subagent_rowwise
WCLS11860,0,gpt_5_6_subagent_rowwise
WCLS11861,3,gpt_5_6_subagent_rowwise
WCLS11862,0,gpt_5_6_subagent_rowwise
WCLS11863,0,gpt_5_6_subagent_rowwise
WCLS11864,1,gpt_5_6_subagent_rowwise
WCLS11865,1,gpt_5_6_subagent_rowwise
WCLS11866,0,gpt_5_6_subagent_rowwise
WCLS11867,1,gpt_5_6_subagent_rowwise
WCLS11868,1,gpt_5_6_subagent_rowwise
WCLS11869,1,gpt_5_6_subagent_rowwise
WCLS11870,0,gpt_5_6_subagent_rowwise
WCLS11871,3,gpt_5_6_subagent_rowwise
WCLS11872,3,gpt_5_6_subagent_rowwise
WCLS11873,0,gpt_5_6_subagent_rowwise
WCLS11874,1,gpt_5_6_subagent_rowwise
WCLS11875,0,gpt_5_6_subagent_rowwise
WCLS11876,1,gpt_5_6_subagent_rowwise
WCLS11877,1,gpt_5_6_subagent_rowwise
WCLS11878,1,gpt_5_6_subagent_rowwise
WCLS11879,1,gpt_5_6_subagent_rowwise
WCLS11880,0,gpt_5_6_subagent_rowwise
WCLS11881,0,gpt_5_6_subagent_rowwise
WCLS11882,3,gpt_5_6_subagent_rowwise
WCLS11883,1,gpt_5_6_subagent_rowwise
WCLS11884,1,gpt_5_6_subagent_rowwise
WCLS11885,3,gpt_5_6_subagent_rowwise
WCLS11886,3,gpt_5_6_subagent_rowwise
WCLS11887,3,gpt_5_6_subagent_rowwise
WCLS11888,1,gpt_5_6_subagent_rowwise
WCLS11889,2,gpt_5_6_subagent_rowwise
WCLS11890,0,gpt_5_6_subagent_rowwise
WCLS11891,1,gpt_5_6_subagent_rowwise
WCLS11892,1,gpt_5_6_subagent_rowwise
WCLS11893,1,gpt_5_6_subagent_rowwise
WCLS11894,0,gpt_5_6_subagent_rowwise
WCLS11895,0,gpt_5_6_subagent_rowwise
WCLS11896,0,gpt_5_6_subagent_rowwise
WCLS11897,0,gpt_5_6_subagent_rowwise
WCLS11898,3,gpt_5_6_subagent_rowwise
WCLS11899,1,gpt_5_6_subagent_rowwise
WCLS11900,1,gpt_5_6_subagent_rowwise
WCLS11901,1,gpt_5_6_subagent_rowwise
WCLS11902,1,gpt_5_6_subagent_rowwise
WCLS11903,0,gpt_5_6_subagent_rowwise
WCLS11904,3,gpt_5_6_subagent_rowwise
WCLS11905,3,gpt_5_6_subagent_rowwise
WCLS11906,3,gpt_5_6_subagent_rowwise
WCLS11907,1,gpt_5_6_subagent_rowwise
WCLS11908,1,gpt_5_6_subagent_rowwise
WCLS11909,3,gpt_5_6_subagent_rowwise
WCLS11910,3,gpt_5_6_subagent_rowwise
WCLS11911,3,gpt_5_6_subagent_rowwise
WCLS11912,0,gpt_5_6_subagent_rowwise
WCLS11913,1,gpt_5_6_subagent_rowwise
WCLS11914,1,gpt_5_6_subagent_rowwise
WCLS11915,3,gpt_5_6_subagent_rowwise
WCLS11916,3,gpt_5_6_subagent_rowwise
WCLS11917,3,gpt_5_6_subagent_rowwise
WCLS11918,0,gpt_5_6_subagent_rowwise
WCLS11919,1,gpt_5_6_subagent_rowwise
WCLS11920,2,gpt_5_6_subagent_rowwise
WCLS11921,0,gpt_5_6_subagent_rowwise
WCLS11922,1,gpt_5_6_subagent_rowwise
WCLS11923,3,gpt_5_6_subagent_rowwise
WCLS11924,3,gpt_5_6_subagent_rowwise
WCLS11925,3,gpt_5_6_subagent_rowwise
WCLS11926,1,gpt_5_6_subagent_rowwise
WCLS11927,0,gpt_5_6_subagent_rowwise
WCLS11928,1,gpt_5_6_subagent_rowwise
WCLS11929,1,gpt_5_6_subagent_rowwise
WCLS11930,1,gpt_5_6_subagent_rowwise
WCLS11931,0,gpt_5_6_subagent_rowwise
WCLS11932,0,gpt_5_6_subagent_rowwise
WCLS11933,3,gpt_5_6_subagent_rowwise
WCLS11934,3,gpt_5_6_subagent_rowwise
WCLS11935,0,gpt_5_6_subagent_rowwise
WCLS11936,1,gpt_5_6_subagent_rowwise
WCLS11937,1,gpt_5_6_subagent_rowwise
WCLS11938,1,gpt_5_6_subagent_rowwise
WCLS11939,3,gpt_5_6_subagent_rowwise
WCLS11940,1,gpt_5_6_subagent_rowwise
WCLS11941,1,gpt_5_6_subagent_rowwise
WCLS11942,3,gpt_5_6_subagent_rowwise
WCLS11943,3,gpt_5_6_subagent_rowwise
WCLS11944,2,gpt_5_6_subagent_rowwise
WCLS11945,0,gpt_5_6_subagent_rowwise
WCLS11946,1,gpt_5_6_subagent_rowwise
WCLS11947,1,gpt_5_6_subagent_rowwise
WCLS11948,1,gpt_5_6_subagent_rowwise
WCLS11949,0,gpt_5_6_subagent_rowwise
WCLS11950,3,gpt_5_6_subagent_rowwise
WCLS11951,1,gpt_5_6_subagent_rowwise
WCLS11952,3,gpt_5_6_subagent_rowwise
WCLS11953,0,gpt_5_6_subagent_rowwise
WCLS11954,3,gpt_5_6_subagent_rowwise
WCLS11955,2,gpt_5_6_subagent_rowwise
WCLS11956,3,gpt_5_6_subagent_rowwise
WCLS11957,1,gpt_5_6_subagent_rowwise
WCLS11958,1,gpt_5_6_subagent_rowwise
WCLS11959,3,gpt_5_6_subagent_rowwise
WCLS11960,1,gpt_5_6_subagent_rowwise
WCLS11961,3,gpt_5_6_subagent_rowwise
WCLS11962,0,gpt_5_6_subagent_rowwise
WCLS11963,1,gpt_5_6_subagent_rowwise
WCLS11964,1,gpt_5_6_subagent_rowwise
WCLS11965,1,gpt_5_6_subagent_rowwise
WCLS11966,0,gpt_5_6_subagent_rowwise
WCLS11967,1,gpt_5_6_subagent_rowwise
WCLS11968,0,gpt_5_6_subagent_rowwise
WCLS11969,3,gpt_5_6_subagent_rowwise
WCLS11970,0,gpt_5_6_subagent_rowwise
WCLS11971,1,gpt_5_6_subagent_rowwise
WCLS11972,1,gpt_5_6_subagent_rowwise
WCLS11973,3,gpt_5_6_subagent_rowwise
WCLS11974,0,gpt_5_6_subagent_rowwise
WCLS11975,3,gpt_5_6_subagent_rowwise
WCLS11976,1,gpt_5_6_subagent_rowwise
WCLS11977,1,gpt_5_6_subagent_rowwise
WCLS11978,1,gpt_5_6_subagent_rowwise
WCLS11979,1,gpt_5_6_subagent_rowwise
WCLS11980,1,gpt_5_6_subagent_rowwise
WCLS11981,1,gpt_5_6_subagent_rowwise
WCLS11982,1,gpt_5_6_subagent_rowwise
WCLS11983,1,gpt_5_6_subagent_rowwise
WCLS11984,1,gpt_5_6_subagent_rowwise
WCLS11985,1,gpt_5_6_subagent_rowwise
WCLS11986,1,gpt_5_6_subagent_rowwise
WCLS11987,1,gpt_5_6_subagent_rowwise
WCLS11988,1,gpt_5_6_subagent_rowwise
WCLS11989,1,gpt_5_6_subagent_rowwise
WCLS11990,1,gpt_5_6_subagent_rowwise
WCLS11991,1,gpt_5_6_subagent_rowwise
WCLS11992,1,gpt_5_6_subagent_rowwise
WCLS11993,1,gpt_5_6_subagent_rowwise
WCLS11994,1,gpt_5_6_subagent_rowwise
WCLS11995,1,gpt_5_6_subagent_rowwise
WCLS11996,1,gpt_5_6_subagent_rowwise
WCLS11997,0,gpt_5_6_subagent_rowwise
WCLS11998,0,gpt_5_6_subagent_rowwise
WCLS11999,3,gpt_5_6_subagent_rowwise
WCLS12000,3,gpt_5_6_subagent_rowwise
WCLS12001,1,gpt_5_6_subagent_rowwise
WCLS12002,1,gpt_5_6_subagent_rowwise
WCLS12003,1,gpt_5_6_subagent_rowwise
WCLS12004,1,gpt_5_6_subagent_rowwise
WCLS12005,0,gpt_5_6_subagent_rowwise
WCLS12006,3,gpt_5_6_subagent_rowwise
WCLS12007,2,gpt_5_6_subagent_rowwise
WCLS12008,1,gpt_5_6_subagent_rowwise
WCLS12009,1,gpt_5_6_subagent_rowwise
WCLS12010,3,gpt_5_6_subagent_rowwise
WCLS12011,3,gpt_5_6_subagent_rowwise
WCLS12012,0,gpt_5_6_subagent_rowwise
WCLS12013,0,gpt_5_6_subagent_rowwise
WCLS12014,1,gpt_5_6_subagent_rowwise
WCLS12015,0,gpt_5_6_subagent_rowwise
WCLS12016,0,gpt_5_6_subagent_rowwise
WCLS12017,3,gpt_5_6_subagent_rowwise
WCLS12018,1,gpt_5_6_subagent_rowwise
WCLS12019,3,gpt_5_6_subagent_rowwise
WCLS12020,3,gpt_5_6_subagent_rowwise
WCLS12021,1,gpt_5_6_subagent_rowwise
WCLS12022,3,gpt_5_6_subagent_rowwise
WCLS12023,0,gpt_5_6_subagent_rowwise
WCLS12024,0,gpt_5_6_subagent_rowwise
WCLS12025,1,gpt_5_6_subagent_rowwise
WCLS12026,0,gpt_5_6_subagent_rowwise
WCLS12027,3,gpt_5_6_subagent_rowwise
WCLS12028,1,gpt_5_6_subagent_rowwise
WCLS12029,0,gpt_5_6_subagent_rowwise
WCLS12030,0,gpt_5_6_subagent_rowwise
WCLS12031,0,gpt_5_6_subagent_rowwise
WCLS12032,1,gpt_5_6_subagent_rowwise
WCLS12033,0,gpt_5_6_subagent_rowwise
WCLS12034,0,gpt_5_6_subagent_rowwise
WCLS12035,0,gpt_5_6_subagent_rowwise
WCLS12036,1,gpt_5_6_subagent_rowwise
WCLS12037,1,gpt_5_6_subagent_rowwise
WCLS12038,1,gpt_5_6_subagent_rowwise
WCLS12039,1,gpt_5_6_subagent_rowwise
WCLS12040,0,gpt_5_6_subagent_rowwise
WCLS12041,1,gpt_5_6_subagent_rowwise
WCLS12042,0,gpt_5_6_subagent_rowwise
WCLS12043,0,gpt_5_6_subagent_rowwise
WCLS12044,0,gpt_5_6_subagent_rowwise
WCLS12045,0,gpt_5_6_subagent_rowwise
WCLS12046,0,gpt_5_6_subagent_rowwise
WCLS12047,0,gpt_5_6_subagent_rowwise
WCLS12048,0,gpt_5_6_subagent_rowwise
WCLS12049,0,gpt_5_6_subagent_rowwise
WCLS12050,3,gpt_5_6_subagent_rowwise
WCLS12051,1,gpt_5_6_subagent_rowwise
WCLS12052,1,gpt_5_6_subagent_rowwise
WCLS12053,1,gpt_5_6_subagent_rowwise
WCLS12054,3,gpt_5_6_subagent_rowwise
WCLS12055,0,gpt_5_6_subagent_rowwise
WCLS12056,0,gpt_5_6_subagent_rowwise
WCLS12057,3,gpt_5_6_subagent_rowwise
WCLS12058,1,gpt_5_6_subagent_rowwise
WCLS12059,1,gpt_5_6_subagent_rowwise
WCLS12060,0,gpt_5_6_subagent_rowwise
WCLS12061,3,gpt_5_6_subagent_rowwise
WCLS12062,1,gpt_5_6_subagent_rowwise
WCLS12063,1,gpt_5_6_subagent_rowwise
WCLS12064,0,gpt_5_6_subagent_rowwise
WCLS12065,0,gpt_5_6_subagent_rowwise
WCLS12066,0,gpt_5_6_subagent_rowwise
WCLS12067,1,gpt_5_6_subagent_rowwise
WCLS12068,3,gpt_5_6_subagent_rowwise
WCLS12069,3,gpt_5_6_subagent_rowwise
WCLS12070,0,gpt_5_6_subagent_rowwise
WCLS12071,0,gpt_5_6_subagent_rowwise
WCLS12072,3,gpt_5_6_subagent_rowwise
WCLS12073,0,gpt_5_6_subagent_rowwise
WCLS12074,3,gpt_5_6_subagent_rowwise
WCLS12075,3,gpt_5_6_subagent_rowwise
WCLS12076,3,gpt_5_6_subagent_rowwise
WCLS12077,3,gpt_5_6_subagent_rowwise
WCLS12078,0,gpt_5_6_subagent_rowwise
WCLS12079,1,gpt_5_6_subagent_rowwise
WCLS12080,0,gpt_5_6_subagent_rowwise
WCLS12081,1,gpt_5_6_subagent_rowwise
WCLS12082,3,gpt_5_6_subagent_rowwise
WCLS12083,0,gpt_5_6_subagent_rowwise
WCLS12084,2,gpt_5_6_subagent_rowwise
WCLS12085,1,gpt_5_6_subagent_rowwise
WCLS12086,0,gpt_5_6_subagent_rowwise
WCLS12087,1,gpt_5_6_subagent_rowwise
WCLS12088,0,gpt_5_6_subagent_rowwise
WCLS12089,0,gpt_5_6_subagent_rowwise
WCLS12090,0,gpt_5_6_subagent_rowwise
WCLS12091,1,gpt_5_6_subagent_rowwise
WCLS12092,1,gpt_5_6_subagent_rowwise
WCLS12093,0,gpt_5_6_subagent_rowwise
WCLS12094,1,gpt_5_6_subagent_rowwise
WCLS12095,1,gpt_5_6_subagent_rowwise
WCLS12096,1,gpt_5_6_subagent_rowwise
WCLS12097,1,gpt_5_6_subagent_rowwise
WCLS12098,3,gpt_5_6_subagent_rowwise
WCLS12099,0,gpt_5_6_subagent_rowwise
WCLS12100,1,gpt_5_6_subagent_rowwise
WCLS12101,2,gpt_5_6_subagent_rowwise
WCLS12102,1,gpt_5_6_subagent_rowwise
WCLS12103,1,gpt_5_6_subagent_rowwise
WCLS12104,1,gpt_5_6_subagent_rowwise
WCLS12105,1,gpt_5_6_subagent_rowwise
WCLS12106,1,gpt_5_6_subagent_rowwise
WCLS12107,1,gpt_5_6_subagent_rowwise
WCLS12108,1,gpt_5_6_subagent_rowwise
WCLS12109,1,gpt_5_6_subagent_rowwise
WCLS12110,3,gpt_5_6_subagent_rowwise
WCLS12111,1,gpt_5_6_subagent_rowwise
WCLS12112,3,gpt_5_6_subagent_rowwise
WCLS12113,1,gpt_5_6_subagent_rowwise
WCLS12114,1,gpt_5_6_subagent_rowwise
WCLS12115,1,gpt_5_6_subagent_rowwise
WCLS12116,0,gpt_5_6_subagent_rowwise
WCLS12117,3,gpt_5_6_subagent_rowwise
WCLS12118,1,gpt_5_6_subagent_rowwise
WCLS12119,1,gpt_5_6_subagent_rowwise
WCLS12120,2,gpt_5_6_subagent_rowwise
WCLS12121,1,gpt_5_6_subagent_rowwise
WCLS12122,1,gpt_5_6_subagent_rowwise
WCLS12123,1,gpt_5_6_subagent_rowwise
WCLS12124,1,gpt_5_6_subagent_rowwise
WCLS12125,1,gpt_5_6_subagent_rowwise
WCLS12126,1,gpt_5_6_subagent_rowwise
WCLS12127,1,gpt_5_6_subagent_rowwise
WCLS12128,1,gpt_5_6_subagent_rowwise
WCLS12129,2,gpt_5_6_subagent_rowwise
WCLS12130,1,gpt_5_6_subagent_rowwise
WCLS12131,1,gpt_5_6_subagent_rowwise
WCLS12132,1,gpt_5_6_subagent_rowwise
WCLS12133,1,gpt_5_6_subagent_rowwise
WCLS12134,1,gpt_5_6_subagent_rowwise
WCLS12135,1,gpt_5_6_subagent_rowwise
WCLS12136,1,gpt_5_6_subagent_rowwise
WCLS12137,1,gpt_5_6_subagent_rowwise
WCLS12138,1,gpt_5_6_subagent_rowwise
WCLS12139,1,gpt_5_6_subagent_rowwise
WCLS12140,1,gpt_5_6_subagent_rowwise
WCLS12141,1,gpt_5_6_subagent_rowwise
WCLS12142,1,gpt_5_6_subagent_rowwise
WCLS12143,0,gpt_5_6_subagent_rowwise
WCLS12144,3,gpt_5_6_subagent_rowwise
WCLS12145,3,gpt_5_6_subagent_rowwise
WCLS12146,0,gpt_5_6_subagent_rowwise
WCLS12147,3,gpt_5_6_subagent_rowwise
WCLS12148,3,gpt_5_6_subagent_rowwise
WCLS12149,1,gpt_5_6_subagent_rowwise
WCLS12150,3,gpt_5_6_subagent_rowwise
WCLS12151,0,gpt_5_6_subagent_rowwise
WCLS12152,3,gpt_5_6_subagent_rowwise
WCLS12153,0,gpt_5_6_subagent_rowwise
WCLS12154,0,gpt_5_6_subagent_rowwise
WCLS12155,0,gpt_5_6_subagent_rowwise
WCLS12156,3,gpt_5_6_subagent_rowwise
WCLS12157,0,gpt_5_6_subagent_rowwise
WCLS12158,3,gpt_5_6_subagent_rowwise
WCLS12159,0,gpt_5_6_subagent_rowwise
WCLS12160,0,gpt_5_6_subagent_rowwise
WCLS12161,0,gpt_5_6_subagent_rowwise
WCLS12162,1,gpt_5_6_subagent_rowwise
WCLS12163,1,gpt_5_6_subagent_rowwise
WCLS12164,1,gpt_5_6_subagent_rowwise
WCLS12165,1,gpt_5_6_subagent_rowwise
WCLS12166,1,gpt_5_6_subagent_rowwise
WCLS12167,1,gpt_5_6_subagent_rowwise
WCLS12168,1,gpt_5_6_subagent_rowwise
WCLS12169,0,gpt_5_6_subagent_rowwise
WCLS12170,0,gpt_5_6_subagent_rowwise
WCLS12171,0,gpt_5_6_subagent_rowwise
WCLS12172,1,gpt_5_6_subagent_rowwise
WCLS12173,1,gpt_5_6_subagent_rowwise
WCLS12174,1,gpt_5_6_subagent_rowwise
WCLS12175,0,gpt_5_6_subagent_rowwise
WCLS12176,1,gpt_5_6_subagent_rowwise
WCLS12177,1,gpt_5_6_subagent_rowwise
WCLS12178,0,gpt_5_6_subagent_rowwise
WCLS12179,1,gpt_5_6_subagent_rowwise
WCLS12180,1,gpt_5_6_subagent_rowwise
WCLS12181,1,gpt_5_6_subagent_rowwise
WCLS12182,1,gpt_5_6_subagent_rowwise
WCLS12183,3,gpt_5_6_subagent_rowwise
WCLS12184,3,gpt_5_6_subagent_rowwise
WCLS12185,1,gpt_5_6_subagent_rowwise
WCLS12186,2,gpt_5_6_subagent_rowwise
WCLS12187,1,gpt_5_6_subagent_rowwise
WCLS12188,0,gpt_5_6_subagent_rowwise
WCLS12189,1,gpt_5_6_subagent_rowwise
WCLS12190,1,gpt_5_6_subagent_rowwise
WCLS12191,3,gpt_5_6_subagent_rowwise
WCLS12192,1,gpt_5_6_subagent_rowwise
WCLS12193,1,gpt_5_6_subagent_rowwise
WCLS12194,1,gpt_5_6_subagent_rowwise
WCLS12195,3,gpt_5_6_subagent_rowwise
WCLS12196,0,gpt_5_6_subagent_rowwise
WCLS12197,3,gpt_5_6_subagent_rowwise
WCLS12198,1,gpt_5_6_subagent_rowwise
WCLS12199,1,gpt_5_6_subagent_rowwise
WCLS12200,1,gpt_5_6_subagent_rowwise
WCLS12201,1,gpt_5_6_subagent_rowwise
WCLS12202,1,gpt_5_6_subagent_rowwise
WCLS12203,1,gpt_5_6_subagent_rowwise
WCLS12204,2,gpt_5_6_subagent_rowwise
WCLS12205,0,gpt_5_6_subagent_rowwise
WCLS12206,2,gpt_5_6_subagent_rowwise
WCLS12207,2,gpt_5_6_subagent_rowwise
WCLS12208,0,gpt_5_6_subagent_rowwise
WCLS12209,3,gpt_5_6_subagent_rowwise
WCLS12210,0,gpt_5_6_subagent_rowwise
WCLS12211,2,gpt_5_6_subagent_rowwise
WCLS12212,2,gpt_5_6_subagent_rowwise
WCLS12213,1,gpt_5_6_subagent_rowwise
WCLS12214,1,gpt_5_6_subagent_rowwise
WCLS12215,1,gpt_5_6_subagent_rowwise
WCLS12216,1,gpt_5_6_subagent_rowwise
WCLS12217,1,gpt_5_6_subagent_rowwise
WCLS12218,1,gpt_5_6_subagent_rowwise
WCLS12219,3,gpt_5_6_subagent_rowwise
WCLS12220,3,gpt_5_6_subagent_rowwise
WCLS12221,2,gpt_5_6_subagent_rowwise
WCLS12222,1,gpt_5_6_subagent_rowwise
WCLS12223,1,gpt_5_6_subagent_rowwise
WCLS12224,0,gpt_5_6_subagent_rowwise
WCLS12225,3,gpt_5_6_subagent_rowwise
WCLS12226,3,gpt_5_6_subagent_rowwise
WCLS12227,3,gpt_5_6_subagent_rowwise
WCLS12228,2,gpt_5_6_subagent_rowwise
WCLS12229,2,gpt_5_6_subagent_rowwise
WCLS12230,2,gpt_5_6_subagent_rowwise
WCLS12231,1,gpt_5_6_subagent_rowwise
WCLS12232,1,gpt_5_6_subagent_rowwise
WCLS12233,1,gpt_5_6_subagent_rowwise
WCLS12234,3,gpt_5_6_subagent_rowwise
WCLS12235,0,gpt_5_6_subagent_rowwise
WCLS12236,3,gpt_5_6_subagent_rowwise
WCLS12237,2,gpt_5_6_subagent_rowwise
WCLS12238,3,gpt_5_6_subagent_rowwise
WCLS12239,3,gpt_5_6_subagent_rowwise
WCLS12240,1,gpt_5_6_subagent_rowwise
WCLS12241,2,gpt_5_6_subagent_rowwise
WCLS12242,1,gpt_5_6_subagent_rowwise
WCLS12243,3,gpt_5_6_subagent_rowwise
WCLS12244,3,gpt_5_6_subagent_rowwise
WCLS12245,0,gpt_5_6_subagent_rowwise
WCLS12246,2,gpt_5_6_subagent_rowwise
WCLS12247,2,gpt_5_6_subagent_rowwise
WCLS12248,2,gpt_5_6_subagent_rowwise
WCLS12249,3,gpt_5_6_subagent_rowwise
WCLS12250,1,gpt_5_6_subagent_rowwise
WCLS12251,1,gpt_5_6_subagent_rowwise
WCLS12252,1,gpt_5_6_subagent_rowwise
WCLS12253,1,gpt_5_6_subagent_rowwise
WCLS12254,1,gpt_5_6_subagent_rowwise
WCLS12255,1,gpt_5_6_subagent_rowwise
WCLS12256,2,gpt_5_6_subagent_rowwise
WCLS12257,3,gpt_5_6_subagent_rowwise
WCLS12258,1,gpt_5_6_subagent_rowwise
WCLS12259,1,gpt_5_6_subagent_rowwise
WCLS12260,1,gpt_5_6_subagent_rowwise
WCLS12261,1,gpt_5_6_subagent_rowwise
WCLS12262,0,gpt_5_6_subagent_rowwise
WCLS12263,1,gpt_5_6_subagent_rowwise
WCLS12264,1,gpt_5_6_subagent_rowwise
WCLS12265,1,gpt_5_6_subagent_rowwise
WCLS12266,1,gpt_5_6_subagent_rowwise
WCLS12267,1,gpt_5_6_subagent_rowwise
WCLS12268,1,gpt_5_6_subagent_rowwise
WCLS12269,0,gpt_5_6_subagent_rowwise
WCLS12270,1,gpt_5_6_subagent_rowwise
WCLS12271,1,gpt_5_6_subagent_rowwise
WCLS12272,1,gpt_5_6_subagent_rowwise
WCLS12273,0,gpt_5_6_subagent_rowwise
WCLS12274,1,gpt_5_6_subagent_rowwise
WCLS12275,3,gpt_5_6_subagent_rowwise
WCLS12276,0,gpt_5_6_subagent_rowwise
WCLS12277,0,gpt_5_6_subagent_rowwise
WCLS12278,0,gpt_5_6_subagent_rowwise
WCLS12279,1,gpt_5_6_subagent_rowwise
WCLS12280,1,gpt_5_6_subagent_rowwise
WCLS12281,0,gpt_5_6_subagent_rowwise
WCLS12282,0,gpt_5_6_subagent_rowwise
WCLS12283,3,gpt_5_6_subagent_rowwise
WCLS12284,1,gpt_5_6_subagent_rowwise
WCLS12285,1,gpt_5_6_subagent_rowwise
WCLS12286,0,gpt_5_6_subagent_rowwise
WCLS12287,0,gpt_5_6_subagent_rowwise
WCLS12288,1,gpt_5_6_subagent_rowwise
WCLS12289,1,gpt_5_6_subagent_rowwise
WCLS12290,0,gpt_5_6_subagent_rowwise
WCLS12291,1,gpt_5_6_subagent_rowwise
