"classification_id","memory"
"WCLS04544","I find it similar to the fact that the other participant offered me $0 at the start of this survey"
"WCLS04545","i find it similar to the first round of questions that make absolutely no sense?"
"WCLS04546","I find it similar to the government taking money away from a tax return."
"WCLS04547","I find it similar to the modern world where your hard earned money is taken from you by the government and given to those who don't deserve it."
"WCLS04548","I find it similar to the money being something that I earned, but I cannot help but feel selfish in it if I am expected to give someone some of it."
"WCLS04549","I find it similar to the other day when I went to the casino and put in $ 20 to play blackjack and won nothing"
"WCLS04550","I find it similar to the other participate"
"WCLS04551","I find it similar to the other participate..the participate has the same decision making choice"
"WCLS04552","I find it similar to the other participate..we both have the right to make our choice on amount of money to send other participate"
"WCLS04553","I find it similar to the other person, possibly working harder and earning a little bit more of a payoff on a project we’ve done together"
"WCLS04554","I find it similar to the price raise of a subscription, for example Xbox Game Pass Ultimate was raised by roughly this amount."
"WCLS04555","I find it similar to the question right under this one"
"WCLS04556","I find it similar to the shirt jackie ordered online for Christmas for $12. She is going to wear at the upcoming Christmas Party."
"WCLS04557","I find it similar to the small discounts you sometimes get in shops"
"WCLS04558","I find it similar to the time I flipped a coin and it landed on heads which meant I won. At least I had a 50/50 chance of winning"
"WCLS04559","I find it similar to the time I worked my ___ off for a company I worked for remotley just recently and was never paid."
"WCLS04560","I find it similar to the time when economic conditions were great in our country and we could afford to buy essentials."
"WCLS04561","I find it similar to the times I have to the grocery stores to find red meat that I can afford. Groceries on the whole have gotten expensive and are sometimes outside of my budget."
"WCLS04562","I find it similar to the times where I was happy to see the selling prices go down and I could easily afford to pay."
"WCLS04563","I find it similar to the way some people in life only look out for themselves."
"WCLS04564","I find it similar to the way the world works now. There's no expectation fo receiving any additional funds for things we do."
"WCLS04565","I find it similar to the will that was set by my father in which the males of the family received much more than the females. The money was allocated by the sex of the person rather than divided equally."
"WCLS04566","I find it similar to them sending me money for a coffee or similar item."
"WCLS04567","I find it similar to thinking about selling something and deciding I have it at the right price so I keep it the same and do not change the value or price."
"WCLS04568","I find it similar to tipping or giving to a charity"
"WCLS04569","I find it similar to trading in an old item, such as a popular video game, and trying to convince the buyer that it's worth more."
"WCLS04570","I find it similar to transferring money to pay for a fountain drink if jill is short of cash."
"WCLS04571","i find it similar to treating someone to something nice"
"WCLS04572","I find it similar to trying to ell something online and noticing my product is not selling as much as I would like so I decide to lower the price by 4 dollars to try and get more sales."
"WCLS04573","I find it similar to trying to make it but making sure everyone else is ok"
"WCLS04574","I find it similar to trying to sell something and realizing I am not going to make enough profit for my item so I decide I need to raise the price by 4 dollars so I make enough profit."
"WCLS04575","I find it similar to trying to sell something and realizing the price is too high so I decide to lower the price by 2 dollars."
"WCLS04576","I find it similar to twelve dollars (12)"
"WCLS04577","I find it similar to two people who get along well and want to split the money evenly. Maybe they had an agreement before the split was decided to split it evenly."
"WCLS04578","I find it similar to undercharging for a service. It is not very financially wise"
"WCLS04579","I find it similar to using a coupon for your groceries from the supermarket."
"WCLS04580","I find it similar to using a deal in the grocery story last weekend. If you bought two rotisserie chickens, you saved $2, which is essentially marking the price of both down by $2"
"WCLS04581","I find it similar to using cash app"
"WCLS04582","I find it similar to walking past a charity worker and not donating anything."
"WCLS04583","I find it similar to walking past a homeless person asking for money or refusing to lend money to a friend"
"WCLS04584","I find it similar to walking past homeless people on the street or walking past charity donation stands"
"WCLS04585","I find it similar to wanting to feel generous, but also feeling a little bad about it - like I would like to do that, but don't really truly want to, but believing I will be blessed more abundantly if I do give."
"WCLS04586","I find it similar to watching somebody boast of taking action (say a politician) yet actually doing nothing"
"WCLS04587","I find it similar to when a certain cost of electronic stays the same like airpods for example, it will remain the same cost through time"
"WCLS04588","i find it similar to when companies do not take greed into account to increase prices"
"WCLS04589","I find it similar to when I buy what my siblings or relatives need. If I have more than I can use, I will always give to someone who is in need of help."
"WCLS04590","I find it similar to when I try to make money, but did not."
"WCLS04591","I find it similar to when I went to the store the other day and bought a gallon of milk with a $ 20 and got no change back"
"WCLS04592","I find it similar to when my friend's partner would help her out financially but he would send her what she needed for bills then a small amount on top so she could buy a treat"
"WCLS04593","I find it similar to when my kids have money they want to spend, and they don't quite have enough to pay for something they want, so I end up having to pay the difference. When the cashier gives me change, I split the change and take the higher amount (notes) whilst giving my kids the loose change."
"WCLS04594","I find it similar to when myself and my partner split the bill from a restaurant between each other, and it's an odd amount, deciding who will pay the larger sum."
"WCLS04595","I find it similar to when someone is beginning to understand the generous spirit but still holding on to a little bit of greed."
"WCLS04596","I find it similar to when someone learns it's good to share but it's hard for them to apply right away."
"WCLS04597","I find it similar to when the economic condition was better in our country prior to Covid."
"WCLS04598","I find it similar to when the government taxes me and I get an automatic deduction."
"WCLS04599","i find it similar to when you split things with friends at dinner"
"WCLS04600","I find it similar to winning a competition you agree to share winnings but in the end when you sin you refuse to give anything to the other person."
"WCLS04601","I find it similar to winning a small prize that no one else has won."
"WCLS04602","I find it similar to winning money from a lottery ticket that was gifted to you for free."
"WCLS04603","I find it similar to winning the a contest and keeping all the money."
"WCLS04604","I find it similar to working with a charity group for short period of time."
"WCLS04605","I find it similar too being a cheat and wanting everything for myself"
"WCLS04606","I find it similiar to giving money to a friend"
"WCLS04607","I find it similiar to knocking down bowilng pins"
"WCLS04608","I find it somewhat rewarding."
"WCLS04609","I find it the same as giving to chartiy"
"WCLS04610","I find it the same as taking something for myself from someone else"
"WCLS04611","i find it to be free, no price tag"
"WCLS04612","I find it to be giving alms to someone in need"
"WCLS04613","I find it to be less than you started with."
"WCLS04614","I find it to be like everyone getting what life has to offer them"
"WCLS04615","I find it to be similar $4"
"WCLS04616","I find it to be similar $6"
"WCLS04617","I find it to be similar $8"
"WCLS04618","I find it to be similar to -$12"
"WCLS04619","I find it to inviting someone to dinner and then when the bill comes I ask them to pay the total bill which includes the surf and turf dinner that I had."
"WCLS04620","I find it totally neutral."
"WCLS04621","I find jt similar to buying a candy bar."
"WCLS04622","I find paying this amount to an average price service."
"WCLS04623","I find that an even 50/50 split is the most fair for both of us doing the same thing in this survey"
"WCLS04624","I find that being similar to being treated fairly when you are made whole in a small claims court ruling in your favor."
"WCLS04625","I find that it is being helpful to those that need it."
"WCLS04626","I find that it ok. It is something stable which is hard to come by. Like with stocks."
"WCLS04627","I find that punishing a stranger."
"WCLS04628","I find that similar to being a greedy and unjust person. I would not like to take advantage of other people who probably are in the same position that I am in. I would be very uncomfortable with myself and I would rather give than receive. I would never imagine transferring $0 to the other participant."
"WCLS04629","I find that similar to getting a discount with a coupon at a store. The fixed amount off, in this case $4, would be equivalent to using a coupon for $4 off the price of item of clothing."
"WCLS04630","I find that similar to getting two sandwiches at a fast food and they make the second one free."
"WCLS04631","I find that similar to not being exactly fair in a situation."
"WCLS04632","I find that similar to people being greedy and not thinking of anyone but themselves."
"WCLS04633","I find that similar to selling something for an agreed price"
"WCLS04634","I find that similar to someone who has a sizeable savings. They aren't in any need of instant money at present but they think the other person is in need. In other words, they probably take pity on the other person."
"WCLS04635","I find that similar to the way people can be greedy in life, keeping everything for themselves."
"WCLS04636","i find that similiar to bank overdraft fees. in situations where i do not have enough money for a purchase, but the bank charges me, leaving me with nothing in my account."
"WCLS04637","I find that situation similar to the IRS and taxation."
"WCLS04638","i find that taking away from the participant and very unnecessary."
"WCLS04639","I find that to be altruistic. This is similar to giving someone a present."
"WCLS04640","I find that to be similar to big pharma taking money from people who are ill due to their errors in judgment and keeping people sick."
"WCLS04641","I find that very generous and similar to charity"
"WCLS04642","I find the new price similar to $12"
"WCLS04643","I find the new price similar to $4"
"WCLS04644","I find the new price similar to $6"
"WCLS04645","I find the new price similar to $8"
"WCLS04646","I find the price similar to getting a good deal on black friday"
"WCLS04647","I find this action to be thoughtful and appreciated. We as humans need to think about others. There is plenty to good around for all of us."
"WCLS04648","I find this allocation similar to deciding on a price when selling an item on eBay, and the person who buys the item pays the original asking price (the price I believed it was worth, and therefore listed it for)."
"WCLS04649","I find this allocation similar to when my friend owed me money for a hotel room we had booked to stay in when visiting another city. Although the room cost £65 each, I told my friend they could round this down and send me £60 instead."
"WCLS04650","I find this allocation similar to when one of my friends owed me a fair amount of money for a holiday we were going on that I organised. They claimed they could not pay me back but on their social media I could see they recently had some beauty treatments (acrylic nails, eyelash extensions, etc.) which meant they could have paid me some of the money they owed me, but they chose not to."
"WCLS04651","I find this amount similar to gifting someone something very nice and generous, and really feeling like you yourself do not need the funds."
"WCLS04652","I find this as a rip off as someone changing the prices at the store for common products."
"WCLS04653","I find this as a rip off. A similar situation where my pay was decreased for a job that I performed."
"WCLS04654","I find this confusing but if I have understood this correctly. The broker ends up with less than me. I don't know if this is fair or not as I don't know if they have worked as hard for the money as I have. So I would see this as similar to an agent making a reasonable cut of the profits that a book made - with the author getting more returns."
"WCLS04655","I find this cruel and greedy"
"WCLS04656","I find this extremely fair, i find this similar to the pursuit of equality in jobs, for example wage discrimination in women etc. So this act would make both parties equal."
"WCLS04657","I find this extremely unfair"
"WCLS04658","i find this fair and simple. it makes the most sense. it's like sharing food with your sibling - you have half each because that is the right thing to do."
"WCLS04659","I find this fair. This can be compared to prices not changing at my local restaurant."
"WCLS04660","I find this harder, I cannot think of a real world example besides paying what you expected to pay at a store."
"WCLS04661","I find this is fair as this is what was allocated to them in the first place"
"WCLS04662","I find this is similar to being overcharged by a small amount in a shop, enough to be slightly annoyed over but not enough to be angry about."
"WCLS04663","I find this is similar to indecision."
"WCLS04664","I find this is similar to losing a lot of money, for example on a bet or dropping by accident."
"WCLS04665","I find this is similar to not deserving all the recognition one expects to achieve for doing something well on a work project."
"WCLS04666","I find this like accepting in the shop the cost of something on the shelf. I know I cant change it."
"WCLS04667","I find this like me having a really good health day and i feel more energetic and can do more as its higher"
"WCLS04668","I find this reminds me of my family - they are quite open handed in their way of life."
"WCLS04669","I find this selfish. A situation this is similar to is no reparations on black descendents in America."
"WCLS04670","I find this similar in giving money to charity who needs it most."
"WCLS04671","i find this similar saving money"
"WCLS04672","I find this similar to a business transaction."
"WCLS04673","I find this similar to a calm day at work, nothing has changed, everything remains the same."
"WCLS04674","I find this similar to a consumer goods company that sells to retailers at a decent price, so that the retailer can sell to customers for a fair retail price, and everyone benefits."
"WCLS04675","I find this similar to a deep black friday sale, where prices are approx half off"
"WCLS04676","I find this similar to a friend offering to buy me coffee when we went to a local cafe. She told me it was her treat and I didn't owe her anything."
"WCLS04677","I find this similar to a friend that was trying to sell their product on Facebook and had to adjust the pricing based on demand"
"WCLS04678","I find this similar to a greedy person that I once knew. Although he knew this peron would be broke, he still took the money from the bet, knowing his situation."
"WCLS04679","I find this similar to a group of friends - Everyones money is their own"
"WCLS04680","I find this similar to a line manager who likes to look good infront of other people but behind the scenes is all for themselves"
"WCLS04681","I find this similar to a parent sacrificing some of their extra income to save up for their children's education."
"WCLS04682","I find this similar to a person allowing a friend to stay in their home for a few months."
"WCLS04683","I find this similar to a person trying to buy a car from another person who will not negotiate."
"WCLS04684","I find this similar to a price discount at a grocery store."
"WCLS04685","I find this similar to a promotional offer in a supermarket."
"WCLS04686","I find this similar to a situation when I worked on a project with another person and they financially funded more of the project. Therefore they received more of the resale and or reward."
"WCLS04687","I find this similar to a situation when someone needs an extra hand with their finances, knowing I've got enough money myself, I give them some extra money to help them out and to keep them going."
"WCLS04688","I find this similar to a situation where a broker is not allowed to make any profit, like selling something in a pawn shop and wanting to get the exact price for the item with the intention of no profit for the broker"
"WCLS04689","I find this similar to a stranger asking me for some spare change and I only have $12 but I need at least $8 to buy something that I need for my phone.I"
"WCLS04690","I find this similar to a time I was taken advantage of financially by a significant other. Someone who took and never gave."
"WCLS04691","I find this similar to a time when I gave to a charity. I actually didn't have much money and it was hard to part with, but I gave more that I really could afford anyway."
"WCLS04692","I find this similar to a warehouse club situation (e.g., Costco, Sam's Club) where the price is lower such that the savings can be passed on to the warehouse club members, allowing them to get a better bargain."
"WCLS04693","I find this similar to again, a friend who asks to borrow this amount."
"WCLS04694","I find this similar to an empty promise."
"WCLS04695","I find this similar to an equitable solution, whereby my partner and I would both receive the same amount of money."
"WCLS04696","I find this similar to an inheritance situation where you would split money evenly between siblings after the death of a parent."
"WCLS04697","I find this similar to an unfair situation. Maybe one where someone more fortunate doesnt give enough to those without"
"WCLS04698","I find this similar to asking them for a donation"
"WCLS04699","I find this similar to being a situation where we break even. They paid for some ice cream the day before and I paid for a coffee that same morning."
"WCLS04700","I find this similar to being at a fast-food restaurant and buying someone lunch."
"WCLS04701","I find this similar to being desperate to sell something, and so reducing the price by a large amount"
"WCLS04702","I find this similar to being hired to work a live event and giving an initial day rate based on the work described, but working an extra 8 hours that was not considered in the original agreed upon rate."
"WCLS04703","I find this similar to being polite and allowing the other person to have more than me."
"WCLS04704","I find this similar to being very generous. Paying your friend back for your meal."
"WCLS04705","I find this similar to borrowing money from the participant."
"WCLS04706","I find this similar to buying a bag of chips although this time I would get nothing"
"WCLS04707","I find this similar to buying a coffee for a friend when they have forgetten their purse."
"WCLS04708","I find this similar to buying a drink in a pub"
"WCLS04709","I find this similar to buying a hero from the store and splitting the cost evenly, and each person gets half of the sandwich."
"WCLS04710","I find this similar to buying a product on sale or promotion from $12 to $4."
"WCLS04711","I find this similar to buying dinner."
