context_id,vignette_id,rating
T05,V17,80
T05,V18,35
T05,V19,29
T05,V20,48
T05,V21,43
T05,V22,81
T05,V23,44
T05,V24,27
T05,V25,34
T05,V26,31
T05,V27,47
T05,V28,78
T05,V29,33
T05,V30,26
T06,V01,29
T06,V02,43
T06,V03,27
T06,V04,34
T06,V05,76
T06,V06,35
T06,V07,42
T06,V08,83
T06,V09,77
T06,V10,84
T06,V11,28
T06,V12,78
T06,V13,90
T06,V14,87
T06,V15,79
T06,V16,27
T06,V17,50
T06,V18,34
T06,V19,28
T06,V20,84
T06,V21,81
T06,V22,48
T06,V23,81
T06,V24,26
T06,V25,33
T06,V26,31
T06,V27,78
T06,V28,58
T06,V29,32
T06,V30,25
T07,V01,33
T07,V02,59
T07,V03,34
T07,V04,77
T07,V05,39
T07,V06,38
T07,V07,88
T07,V08,49
T07,V09,44
T07,V10,50
T07,V11,30
T07,V12,50
T07,V13,49
T07,V14,45
T07,V15,50
T07,V16,32
T07,V17,68
T07,V18,38
T07,V19,30
T07,V20,51
T07,V21,45
T07,V22,74
T07,V23,46
T07,V24,28
T07,V25,36
T07,V26,32
T07,V27,52
T07,V28,61
T07,V29,36
T07,V30,31
T08,V01,89
T08,V02,30
T08,V03,84
T08,V04,25
T08,V05,22
T08,V06,91
T08,V07,35
T08,V08,28
T08,V09,24
T08,V10,30
T08,V11,87
T08,V12,21
T08,V13,28
T08,V14,26
T08,V15,24
T08,V16,86
T08,V17,38
T08,V18,92
T08,V19,88
T08,V20,29
T08,V21,27
T08,V22,37
T08,V23,27
T08,V24,85
T08,V25,89
T08,V26,91
T08,V27,23
T08,V28,36
T08,V29,90
T08,V30,83
T09,V01,77
T09,V02,45
T09,V03,70
T09,V04,24
T09,V05,31
T09,V06,91
T09,V07,31
T09,V08,35
T09,V09,34
T09,V10,38
T09,V11,90
T09,V12,20
T09,V13,37
T09,V14,34
T09,V15,23
T09,V16,74
T09,V17,42
T09,V18,80
T09,V19,90
T09,V20,26
T09,V21,35
T09,V22,32
T09,V23,35
T09,V24,89
T09,V25,91
T09,V26,93
T09,V27,22
T09,V28,43
T09,V29,78
T09,V30,68
T10,V01,87
T10,V02,32
T10,V03,86
T10,V04,43
T10,V05,25
T10,V06,78
T10,V07,50
T10,V08,31
T10,V09,25
T10,V10,33
T10,V11,76
T10,V12,36
T10,V13,31
T10,V14,29
T10,V15,35
T10,V16,85
T10,V17,42
T10,V18,90
T10,V19,75
T10,V20,37
T10,V21,30
T10,V22,48
T10,V23,30
T10,V24,73
T10,V25,76
T10,V26,79
T10,V27,38
T10,V28,40
T10,V29,88
T10,V30,84
T11,V01,30
T11,V02,91
T11,V03,28
T11,V04,62
T11,V05,53
T11,V06,40
T11,V07,55
T11,V08,47
T11,V09,55
T11,V10,46
T11,V11,38
T11,V12,39
T11,V13,55
T11,V14,49
T11,V15,39
T11,V16,28
T11,V17,76
T11,V18,34
T11,V19,39
T11,V20,43
T11,V21,43
T11,V22,62
T11,V23,44
T11,V24,37
T11,V25,42
T11,V26,41
T11,V27,42
T11,V28,82
T11,V29,33
T11,V30,27
T12,V01,36
T12,V02,80
T12,V03,34
T12,V04,67
T12,V05,42
T12,V06,44
T12,V07,76
T12,V08,56
T12,V09,46
T12,V10,58
T12,V11,36
T12,V12,45
T12,V13,58
T12,V14,53
T12,V15,51
T12,V16,34
T12,V17,91
T12,V18,43
T12,V19,35
T12,V20,56
T12,V21,51
T12,V22,92
T12,V23,52
T12,V24,34
T12,V25,42
T12,V26,39
T12,V27,48
T12,V28,90
T12,V29,41
T12,V30,32
